Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration (uM),Time Point (hr),Time Interval (hr),Normalized Growth Rate Inhibition Value
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,15.91,13.5,0.9219
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,16.73,13.3,0.9478
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,18.59,13.3,0.9927
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,20.81,13.3,1.0299
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,23.04,13.3,1.0106
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,25.25,13.3,1.0042
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,27.48,13.3,1.0069
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,29.70,13.3,1.0322
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,31.92,13.3,0.9940
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,34.14,13.3,0.9772
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,36.36,13.3,0.9984
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,38.59,13.3,0.9725
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,40.81,13.3,0.9828
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,43.03,13.3,0.9742
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,45.25,13.3,0.9699
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,47.47,13.3,0.9671
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,49.69,13.3,0.9650
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,51.92,13.3,0.9741
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,54.14,13.3,0.9969
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,56.36,13.3,1.0183
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,58.58,13.3,1.0592
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,60.80,13.3,1.1157
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,63.02,13.3,1.0567
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,65.24,13.3,1.0561
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,67.47,13.3,1.0188
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,69.71,13.4,1.0180
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,71.94,13.4,1.0258
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,74.16,13.4,0.9757
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,76.38,13.4,1.0816
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,78.60,13.4,1.1046
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,80.82,13.4,1.0246
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,15.91,13.5,0.9718
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,16.73,13.3,1.0374
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,18.59,13.3,1.0044
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,20.81,13.3,1.0288
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,23.04,13.3,1.0065
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,25.25,13.3,1.0132
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,27.48,13.3,1.0184
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,29.70,13.3,1.0020
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,31.92,13.3,1.0046
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,34.14,13.3,1.0096
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,36.36,13.3,1.0113
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,38.59,13.3,0.9939
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,40.81,13.3,1.0033
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,43.03,13.3,1.0101
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,45.25,13.3,1.0196
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,47.47,13.3,1.0202
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,49.69,13.3,1.0255
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,51.92,13.3,1.0362
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,54.14,13.3,1.0133
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,56.36,13.3,1.0137
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,58.58,13.3,0.9947
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,60.80,13.3,1.0447
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,63.02,13.3,1.0132
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,65.24,13.3,0.9925
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,67.47,13.3,1.0373
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,69.71,13.4,1.0657
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,71.94,13.4,1.1241
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,74.16,13.4,1.0453
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,76.38,13.4,1.1509
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,78.60,13.4,1.1810
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,80.82,13.4,1.2197
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,15.91,13.5,0.9709
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,16.73,13.3,0.9979
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,18.59,13.3,0.9840
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,20.81,13.3,0.9543
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,23.04,13.3,0.9840
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,25.25,13.3,1.0192
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,27.48,13.3,0.9942
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,29.70,13.3,0.9651
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,31.92,13.3,0.9745
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,34.14,13.3,0.9852
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,36.36,13.3,0.9317
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,38.59,13.3,0.9698
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,40.81,13.3,0.9632
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,43.03,13.3,0.9810
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,45.25,13.3,0.9691
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,47.47,13.3,1.0054
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,49.69,13.3,1.0599
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,51.92,13.3,1.0202
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,54.14,13.3,1.0691
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,56.36,13.3,1.0621
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,58.58,13.3,1.0902
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,60.80,13.3,1.0789
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,63.02,13.3,1.0842
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,65.24,13.3,1.1394
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,67.47,13.3,1.1303
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,69.71,13.4,1.2154
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,71.94,13.4,1.2660
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,74.16,13.4,1.3426
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,76.38,13.4,1.3492
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,78.60,13.4,1.4190
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,80.82,13.4,1.4284
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.1,15.91,13.5,0.9564
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.1,16.73,13.3,0.8973
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.1,18.59,13.3,0.9324
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.1,20.81,13.3,0.9190
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.1,23.04,13.3,0.9408
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.1,25.25,13.3,1.0199
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.1,27.48,13.3,0.9580
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.1,29.70,13.3,0.9700
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.1,31.92,13.3,0.9794
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.1,34.14,13.3,0.9682
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.1,36.36,13.3,0.9760
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.1,38.59,13.3,0.9585
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.1,40.81,13.3,0.9529
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.1,43.03,13.3,0.9899
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.1,45.25,13.3,0.9911
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.1,47.47,13.3,1.0133
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.1,49.69,13.3,1.0161
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.1,51.92,13.3,1.0030
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.1,54.14,13.3,1.0289
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.1,56.36,13.3,1.0358
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.1,58.58,13.3,1.0260
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.1,60.80,13.3,1.0492
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.1,63.02,13.3,0.9862
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.1,65.24,13.3,1.0161
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.1,67.47,13.3,1.0348
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.1,69.71,13.4,1.0162
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.1,71.94,13.4,1.1594
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.1,74.16,13.4,1.1677
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.1,76.38,13.4,1.2498
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.1,78.60,13.4,1.2484
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.1,80.82,13.4,1.3115
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.31623,15.91,13.5,0.8547
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.31623,16.73,13.3,1.0100
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.31623,18.59,13.3,0.9551
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.31623,20.81,13.3,0.8886
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.31623,23.04,13.3,0.9431
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.31623,25.25,13.3,0.9311
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.31623,27.48,13.3,0.9332
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.31623,29.70,13.3,0.9614
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.31623,31.92,13.3,0.9153
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.31623,34.14,13.3,0.9390
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.31623,36.36,13.3,0.9402
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.31623,38.59,13.3,0.9376
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.31623,40.81,13.3,0.9427
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.31623,43.03,13.3,0.9647
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.31623,45.25,13.3,1.0089
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.31623,47.47,13.3,0.9802
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.31623,49.69,13.3,0.9518
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.31623,51.92,13.3,0.9410
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.31623,54.14,13.3,0.9949
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.31623,56.36,13.3,0.9774
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.31623,58.58,13.3,0.9293
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.31623,60.80,13.3,0.9405
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.31623,63.02,13.3,0.9613
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.31623,65.24,13.3,0.8998
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.31623,67.47,13.3,0.8417
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.31623,69.71,13.4,0.8212
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.31623,71.94,13.4,0.9234
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.31623,74.16,13.4,0.8873
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.31623,76.38,13.4,0.8200
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.31623,78.60,13.4,0.8865
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.31623,80.82,13.4,0.8123
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.56234,15.91,13.5,0.8765
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.56234,16.73,13.3,0.9295
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.56234,18.59,13.3,0.8819
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.56234,20.81,13.3,0.8933
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.56234,23.04,13.3,0.9010
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.56234,25.25,13.3,0.9110
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.56234,27.48,13.3,0.8857
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.56234,29.70,13.3,0.8795
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.56234,31.92,13.3,0.8566
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.56234,34.14,13.3,0.8647
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.56234,36.36,13.3,0.8841
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.56234,38.59,13.3,0.8956
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.56234,40.81,13.3,0.9368
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.56234,43.03,13.3,0.9494
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.56234,45.25,13.3,0.9999
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.56234,47.47,13.3,1.0026
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.56234,49.69,13.3,1.0067
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.56234,51.92,13.3,0.9975
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.56234,54.14,13.3,0.9790
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.56234,56.36,13.3,0.9948
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.56234,58.58,13.3,0.9731
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.56234,60.80,13.3,0.9741
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.56234,63.02,13.3,0.9237
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.56234,65.24,13.3,0.9473
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.56234,67.47,13.3,0.9195
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.56234,69.71,13.4,0.9151
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.56234,71.94,13.4,0.9595
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.56234,74.16,13.4,0.9707
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.56234,76.38,13.4,1.0539
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.56234,78.60,13.4,0.9860
