Cell Line HMS LINCS ID,Cell Line Name,Unclassified Perturbagen HMS LINCS ID,Unclassified Perturbagen Name,Protein HMS LINCS ID,Protein Name,Image,Protein Ligand Concentration,Conc unit,Time,Time unit,Measured Protein,Measured Protein Value
50105-2,BT-20,,,200865,IL-1 alpha,25000,1,ng/ml,10,minute,pErk,225.264
50105-2,BT-20,,,200865,IL-1 alpha,24740,100,ng/ml,10,minute,pErk,972.426
50105-2,BT-20,,,200865,IL-1 alpha,24836,1,ng/ml,30,minute,pErk,376.301
50105-2,BT-20,,,200865,IL-1 alpha,24944,100,ng/ml,30,minute,pErk,1235.565
50105-2,BT-20,,,200865,IL-1 alpha,24744,1,ng/ml,90,minute,pErk,404.075
50105-2,BT-20,,,200865,IL-1 alpha,24900,100,ng/ml,90,minute,pErk,507.506
50105-2,BT-20,,,200865,IL-1 alpha,24400,1,ng/ml,10,minute,pSTAT1,135.151
50105-2,BT-20,,,200865,IL-1 alpha,24644,100,ng/ml,10,minute,pSTAT1,132.646
50105-2,BT-20,,,200865,IL-1 alpha,24572,1,ng/ml,30,minute,pSTAT1,130.696
50105-2,BT-20,,,200865,IL-1 alpha,24532,100,ng/ml,30,minute,pSTAT1,143.881
50105-2,BT-20,,,200865,IL-1 alpha,24608,1,ng/ml,90,minute,pSTAT1,130.538
50105-2,BT-20,,,200865,IL-1 alpha,24604,100,ng/ml,90,minute,pSTAT1,145.513
50105-2,BT-20,,,200865,IL-1 alpha,24588,1,ng/ml,10,minute,pSTAT3,153.402
50105-2,BT-20,,,200865,IL-1 alpha,24632,100,ng/ml,10,minute,pSTAT3,164.600
50105-2,BT-20,,,200865,IL-1 alpha,24564,1,ng/ml,30,minute,pSTAT3,131.357
50105-2,BT-20,,,200865,IL-1 alpha,24520,100,ng/ml,30,minute,pSTAT3,98.580
50105-2,BT-20,,,200865,IL-1 alpha,24652,1,ng/ml,90,minute,pSTAT3,137.416
50105-2,BT-20,,,200865,IL-1 alpha,24592,100,ng/ml,90,minute,pSTAT3,167.041
50106-2,BT-474,,,200865,IL-1 alpha,53551,1,ng/ml,10,minute,NF-kB,1.167
50106-2,BT-474,,,200865,IL-1 alpha,53707,100,ng/ml,10,minute,NF-kB,2.778
50106-2,BT-474,,,200865,IL-1 alpha,53779,1,ng/ml,30,minute,NF-kB,2.367
50106-2,BT-474,,,200865,IL-1 alpha,53783,100,ng/ml,30,minute,NF-kB,5.219
50106-2,BT-474,,,200865,IL-1 alpha,53711,1,ng/ml,90,minute,NF-kB,8.495
50106-2,BT-474,,,200865,IL-1 alpha,53479,100,ng/ml,90,minute,NF-kB,2.712
50106-2,BT-474,,,200865,IL-1 alpha,53563,1,ng/ml,10,minute,pErk,279.901
50106-2,BT-474,,,200865,IL-1 alpha,53603,100,ng/ml,10,minute,pErk,310.145
50106-2,BT-474,,,200865,IL-1 alpha,53511,1,ng/ml,30,minute,pErk,280.295
50106-2,BT-474,,,200865,IL-1 alpha,53759,100,ng/ml,30,minute,pErk,296.605
