Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration,Small Mol Conc Unit,LJP Library Plate,Timepoint,Timepoint Unit,Mean Total Cell Count Before Treatment,Mean Total Cell Count After Treatment,Mean Total Control Cell Count,Mean Relative Cell Count,Mean Normalized Growth Rate Inhibition Value
50057-3,SK-BR-3,10031-101-1,KIN001-043,0.37,uM,LJP6,72,hr,2543,4779,5418,0.8822,0.7831
50057-3,SK-BR-3,10031-101-1,KIN001-043,1.11,uM,LJP6,72,hr,2543,4273,5418,0.7888,0.6089
50057-3,SK-BR-3,10031-101-1,KIN001-043,3.33,uM,LJP6,72,hr,2543,4206,5418,0.7761,0.5845
50057-3,SK-BR-3,10031-101-1,KIN001-043,10,uM,LJP6,72,hr,2543,2923,5418,0.5400,0.1367
50057-3,SK-BR-3,10032-101-1,Saracatinib,0.04,uM,LJP6,72,hr,2543,5777,5418,1.0665,1.1220
50057-3,SK-BR-3,10032-101-1,Saracatinib,0.12,uM,LJP6,72,hr,2543,5463,5418,1.0088,1.0171
50057-3,SK-BR-3,10032-101-1,Saracatinib,0.37,uM,LJP6,72,hr,2543,5274,5418,0.9737,0.9522
50057-3,SK-BR-3,10032-101-1,Saracatinib,1.11,uM,LJP6,72,hr,2543,4967,5418,0.9169,0.8468
50057-3,SK-BR-3,10032-101-1,Saracatinib,3.33,uM,LJP6,72,hr,2543,4591,5418,0.8476,0.7188
50057-3,SK-BR-3,10032-101-1,Saracatinib,10,uM,LJP6,72,hr,2543,2760,5418,0.5096,0.0776
50057-3,SK-BR-3,10035-101-1,Sigma A6730,0.04,uM,LJP5,72,hr,2543,4404,5752,0.7656,0.5932
50057-3,SK-BR-3,10035-101-1,Sigma A6730,0.12,uM,LJP5,72,hr,2543,4904,5752,0.8526,0.7467
50057-3,SK-BR-3,10035-101-1,Sigma A6730,0.37,uM,LJP5,72,hr,2543,4912,5752,0.8539,0.7490
50057-3,SK-BR-3,10035-101-1,Sigma A6730,1.11,uM,LJP5,72,hr,2543,4238,5752,0.7369,0.5431
50057-3,SK-BR-3,10035-101-1,Sigma A6730,3.33,uM,LJP5,72,hr,2543,4423,5752,0.7690,0.6000
50057-3,SK-BR-3,10035-101-1,Sigma A6730,10,uM,LJP5,72,hr,2543,3338,5752,0.5804,0.2598
50057-3,SK-BR-3,10039-101-1,WH-4-025,0.04,uM,LJP5,72,hr,2543,6253,5752,1.0871,1.1469
50057-3,SK-BR-3,10039-101-1,WH-4-025,0.12,uM,LJP5,72,hr,2543,5617,5752,0.9765,0.9601
50057-3,SK-BR-3,10039-101-1,WH-4-025,0.37,uM,LJP5,72,hr,2543,5334,5752,0.9274,0.8760
50057-3,SK-BR-3,10039-101-1,WH-4-025,1.11,uM,LJP5,72,hr,2543,5260,5752,0.9145,0.8537
50057-3,SK-BR-3,10039-101-1,WH-4-025,3.33,uM,LJP5,72,hr,2543,4894,5752,0.8508,0.7431
50057-3,SK-BR-3,10039-101-1,WH-4-025,10,uM,LJP5,72,hr,2543,1680,5752,0.2920,-0.2981
50057-3,SK-BR-3,10040-101-1,R406,0.04,uM,LJP6,72,hr,2543,5331,5418,0.9846,0.9731
50057-3,SK-BR-3,10040-101-1,R406,0.12,uM,LJP6,72,hr,2543,5197,5418,0.9598,0.9272
50057-3,SK-BR-3,10040-101-1,R406,0.37,uM,LJP6,72,hr,2543,5319,5418,0.9818,0.9667
50057-3,SK-BR-3,10040-101-1,R406,1.11,uM,LJP6,72,hr,2543,5424,5418,1.0016,1.0042
50057-3,SK-BR-3,10040-101-1,R406,3.33,uM,LJP6,72,hr,2543,5508,5418,1.0177,1.0347
50057-3,SK-BR-3,10040-101-1,R406,10,uM,LJP6,72,hr,2543,4380,5418,0.8090,0.6477
50057-3,SK-BR-3,10041-101-1,BI-2536,0.04,uM,LJP6,72,hr,2543,1493,5418,0.2753,-0.3872
50057-3,SK-BR-3,10041-101-1,BI-2536,0.12,uM,LJP6,72,hr,2543,1559,5418,0.2877,-0.3621
50057-3,SK-BR-3,10041-101-1,BI-2536,0.37,uM,LJP6,72,hr,2543,1517,5418,0.2799,-0.3779
50057-3,SK-BR-3,10041-101-1,BI-2536,1.11,uM,LJP6,72,hr,2543,1439,5418,0.2657,-0.4071
50057-3,SK-BR-3,10041-101-1,BI-2536,3.33,uM,LJP6,72,hr,2543,1481,5418,0.2732,-0.3916
50057-3,SK-BR-3,10041-101-1,BI-2536,10,uM,LJP6,72,hr,2543,1198,5418,0.2210,-0.4991
50057-3,SK-BR-3,10045-101-1,A443654,0.04,uM,LJP6,72,hr,2543,1613,5418,0.2978,-0.3416
50057-3,SK-BR-3,10045-101-1,A443654,0.12,uM,LJP6,72,hr,2543,1373,5418,0.2534,-0.4322
50057-3,SK-BR-3,10045-101-1,A443654,0.37,uM,LJP6,72,hr,2543,1321,5418,0.2439,-0.4518
50057-3,SK-BR-3,10045-101-1,A443654,1.11,uM,LJP6,72,hr,2543,1204,5418,0.2225,-0.4962
50057-3,SK-BR-3,10045-101-1,A443654,3.33,uM,LJP6,72,hr,2543,1182,5418,0.2179,-0.5053
50057-3,SK-BR-3,10045-101-1,A443654,10,uM,LJP6,72,hr,2543,1031,5418,0.1903,-0.5635
50057-3,SK-BR-3,10046-101-1,SB590885,0.04,uM,LJP5,72,hr,2543,6271,5752,1.0903,1.1524
50057-3,SK-BR-3,10046-101-1,SB590885,0.12,uM,LJP5,72,hr,2543,6223,5752,1.0820,1.1385
50057-3,SK-BR-3,10046-101-1,SB590885,0.37,uM,LJP5,72,hr,2543,6254,5752,1.0872,1.1472
50057-3,SK-BR-3,10046-101-1,SB590885,1.11,uM,LJP5,72,hr,2543,6185,5752,1.0752,1.1271
50057-3,SK-BR-3,10046-101-1,SB590885,3.33,uM,LJP5,72,hr,2543,6154,5752,1.0699,1.1181
50057-3,SK-BR-3,10046-101-1,SB590885,10,uM,LJP5,72,hr,2543,1608,5752,0.2796,-0.3226
50057-3,SK-BR-3,10047-101-1,Pictilisib,0.04,uM,LJP6,72,hr,2543,3368,5418,0.6223,0.2948
50057-3,SK-BR-3,10047-101-1,Pictilisib,0.12,uM,LJP6,72,hr,2543,3061,5418,0.5653,0.1851
50057-3,SK-BR-3,10047-101-1,Pictilisib,0.37,uM,LJP6,72,hr,2543,2595,5418,0.4788,0.0175
50057-3,SK-BR-3,10047-101-1,Pictilisib,1.11,uM,LJP6,72,hr,2543,2194,5418,0.4054,-0.1264
50057-3,SK-BR-3,10047-101-1,Pictilisib,3.33,uM,LJP6,72,hr,2543,2093,5418,0.3865,-0.1638
50057-3,SK-BR-3,10047-101-1,Pictilisib,10,uM,LJP6,72,hr,2543,1732,5418,0.3196,-0.2976
50057-3,SK-BR-3,10048-101-1,PD184352,0.04,uM,LJP5,72,hr,2543,5964,5752,1.0369,1.0624
50057-3,SK-BR-3,10048-101-1,PD184352,0.12,uM,LJP5,72,hr,2543,5922,5752,1.0296,1.0502
50057-3,SK-BR-3,10048-101-1,PD184352,0.37,uM,LJP5,72,hr,2543,5866,5752,1.0198,1.0336
50057-3,SK-BR-3,10048-101-1,PD184352,1.11,uM,LJP5,72,hr,2543,5706,5752,0.9920,0.9863
50057-3,SK-BR-3,10048-101-1,PD184352,3.33,uM,LJP5,72,hr,2543,5495,5752,0.9554,0.9239
50057-3,SK-BR-3,10048-101-1,PD184352,10,uM,LJP5,72,hr,2543,4349,5752,0.7561,0.5769
50057-3,SK-BR-3,10049-101-1,PLX-4720,0.04,uM,LJP5,72,hr,2543,5778,5752,1.0046,1.0078
50057-3,SK-BR-3,10049-101-1,PLX-4720,0.12,uM,LJP5,72,hr,2543,5710,5752,0.9928,0.9877
50057-3,SK-BR-3,10049-101-1,PLX-4720,0.37,uM,LJP5,72,hr,2543,6025,5752,1.0475,1.0804
50057-3,SK-BR-3,10049-101-1,PLX-4720,1.11,uM,LJP5,72,hr,2543,6085,5752,1.0580,1.0982
50057-3,SK-BR-3,10049-101-1,PLX-4720,3.33,uM,LJP5,72,hr,2543,4164,5752,0.7241,0.5150
50057-3,SK-BR-3,10049-101-1,PLX-4720,10,uM,LJP5,72,hr,2543,2546,5752,0.4428,-0.0022
50057-3,SK-BR-3,10051-104-1,Lapatinib,0.04,uM,LJP6,72,hr,2543,2334,5418,0.4312,-0.0755
50057-3,SK-BR-3,10051-104-1,Lapatinib,0.12,uM,LJP6,72,hr,2543,2296,5418,0.4245,-0.0886
50057-3,SK-BR-3,10051-104-1,Lapatinib,0.37,uM,LJP6,72,hr,2543,2186,5418,0.4035,-0.1301
50057-3,SK-BR-3,10051-104-1,Lapatinib,1.11,uM,LJP6,72,hr,2543,2160,5418,0.3989,-0.1392
50057-3,SK-BR-3,10051-104-1,Lapatinib,3.33,uM,LJP6,72,hr,2543,2167,5418,0.3995,-0.1383
50057-3,SK-BR-3,10051-104-1,Lapatinib,10,uM,LJP6,72,hr,2543,2824,5418,0.5208,0.0986
50057-3,SK-BR-3,10052-101-1,Sirolimus,0.04,uM,LJP6,72,hr,2543,3667,5418,0.6769,0.3982
50057-3,SK-BR-3,10052-101-1,Sirolimus,0.12,uM,LJP6,72,hr,2543,3685,5418,0.6801,0.4039
50057-3,SK-BR-3,10052-101-1,Sirolimus,0.37,uM,LJP6,72,hr,2543,3469,5418,0.6403,0.3286
50057-3,SK-BR-3,10052-101-1,Sirolimus,1.11,uM,LJP6,72,hr,2543,3505,5418,0.6467,0.3400
50057-3,SK-BR-3,10052-101-1,Sirolimus,3.33,uM,LJP6,72,hr,2543,3462,5418,0.6392,0.3267
50057-3,SK-BR-3,10052-101-1,Sirolimus,10,uM,LJP6,72,hr,2543,3256,5418,0.6007,0.2525
50057-3,SK-BR-3,10053-101-1,ZSTK474,0.04,uM,LJP6,72,hr,2543,5056,5418,0.9338,0.8795
50057-3,SK-BR-3,10053-101-1,ZSTK474,0.12,uM,LJP6,72,hr,2543,4005,5418,0.7398,0.5179
50057-3,SK-BR-3,10053-101-1,ZSTK474,0.37,uM,LJP6,72,hr,2543,2667,5418,0.4932,0.0463
50057-3,SK-BR-3,10053-101-1,ZSTK474,1.11,uM,LJP6,72,hr,2543,2252,5418,0.4157,-0.1061
50057-3,SK-BR-3,10053-101-1,ZSTK474,3.33,uM,LJP6,72,hr,2543,2036,5418,0.3760,-0.1846
50057-3,SK-BR-3,10053-101-1,ZSTK474,10,uM,LJP6,72,hr,2543,2048,5418,0.3781,-0.1806
50057-3,SK-BR-3,10055-101-1,BX-912,0.04,uM,LJP5,72,hr,2543,4938,5752,0.8585,0.7567
50057-3,SK-BR-3,10055-101-1,BX-912,0.12,uM,LJP5,72,hr,2543,5148,5752,0.8951,0.8204
50057-3,SK-BR-3,10055-101-1,BX-912,0.37,uM,LJP5,72,hr,2543,3736,5752,0.6496,0.3864
50057-3,SK-BR-3,10055-101-1,BX-912,1.11,uM,LJP5,72,hr,2543,2125,5752,0.3694,-0.1417
50057-3,SK-BR-3,10055-101-1,BX-912,3.33,uM,LJP5,72,hr,2543,2256,5752,0.3922,-0.0970
50057-3,SK-BR-3,10055-101-1,BX-912,10,uM,LJP5,72,hr,2543,2154,5752,0.3745,-0.1317
50057-3,SK-BR-3,10056-101-1,Selumetinib,0.04,uM,LJP6,72,hr,2543,5818,5418,1.0746,1.1384
50057-3,SK-BR-3,10056-101-1,Selumetinib,0.12,uM,LJP6,72,hr,2543,5492,5418,1.0144,1.0281
50057-3,SK-BR-3,10056-101-1,Selumetinib,0.37,uM,LJP6,72,hr,2543,5549,5418,1.0246,1.0461
50057-3,SK-BR-3,10056-101-1,Selumetinib,1.11,uM,LJP6,72,hr,2543,5511,5418,1.0173,1.0317
50057-3,SK-BR-3,10056-101-1,Selumetinib,3.33,uM,LJP6,72,hr,2543,5397,5418,0.9971,0.9968
50057-3,SK-BR-3,10056-101-1,Selumetinib,10,uM,LJP6,72,hr,2543,5264,5418,0.9725,0.9513
50057-3,SK-BR-3,10057-102-1,MK2206,0.04,uM,LJP6,72,hr,2543,4652,5418,0.8593,0.7415
50057-3,SK-BR-3,10057-102-1,MK2206,0.12,uM,LJP6,72,hr,2543,4103,5418,0.7576,0.5509
50057-3,SK-BR-3,10057-102-1,MK2206,0.37,uM,LJP6,72,hr,2543,3718,5418,0.6864,0.4161
50057-3,SK-BR-3,10057-102-1,MK2206,1.11,uM,LJP6,72,hr,2543,3610,5418,0.6667,0.3792
50057-3,SK-BR-3,10057-102-1,MK2206,3.33,uM,LJP6,72,hr,2543,3143,5418,0.5809,0.2158
50057-3,SK-BR-3,10057-102-1,MK2206,10,uM,LJP6,72,hr,2543,2333,5418,0.4308,-0.0763
50057-3,SK-BR-3,10059-101-1,AZD-6482,0.04,uM,LJP5,72,hr,2543,5673,5752,0.9864,0.9767
50057-3,SK-BR-3,10059-101-1,AZD-6482,0.12,uM,LJP5,72,hr,2543,5521,5752,0.9599,0.9315
50057-3,SK-BR-3,10059-101-1,AZD-6482,0.37,uM,LJP5,72,hr,2543,5751,5752,0.9999,0.9997
50057-3,SK-BR-3,10059-101-1,AZD-6482,1.11,uM,LJP5,72,hr,2543,5513,5752,0.9584,0.9290
50057-3,SK-BR-3,10059-101-1,AZD-6482,3.33,uM,LJP5,72,hr,2543,3544,5752,0.6163,0.3248
50057-3,SK-BR-3,10059-101-1,AZD-6482,10,uM,LJP5,72,hr,2543,1693,5752,0.2945,-0.2933
50057-3,SK-BR-3,10061-101-1,NU7441,0.04,uM,LJP5,72,hr,2543,5767,5752,1.0025,1.0042
50057-3,SK-BR-3,10061-101-1,NU7441,0.12,uM,LJP5,72,hr,2543,5567,5752,0.9679,0.9453
50057-3,SK-BR-3,10061-101-1,NU7441,0.37,uM,LJP5,72,hr,2543,5232,5752,0.9096,0.8451
50057-3,SK-BR-3,10061-101-1,NU7441,1.11,uM,LJP5,72,hr,2543,4652,5752,0.8088,0.6692
50057-3,SK-BR-3,10061-101-1,NU7441,3.33,uM,LJP5,72,hr,2543,4653,5752,0.8089,0.6698
50057-3,SK-BR-3,10061-101-1,NU7441,10,uM,LJP5,72,hr,2543,3417,5752,0.5942,0.2852
50057-3,SK-BR-3,10063-102-1,OSI-027,0.04,uM,LJP6,72,hr,2543,4867,5418,0.8992,0.8159
50057-3,SK-BR-3,10063-102-1,OSI-027,0.12,uM,LJP6,72,hr,2543,3457,5418,0.6386,0.3258
50057-3,SK-BR-3,10063-102-1,OSI-027,0.37,uM,LJP6,72,hr,2543,2495,5418,0.4613,-0.0163
50057-3,SK-BR-3,10063-102-1,OSI-027,1.11,uM,LJP6,72,hr,2543,2274,5418,0.4201,-0.0974
50057-3,SK-BR-3,10063-102-1,OSI-027,3.33,uM,LJP6,72,hr,2543,2265,5418,0.4182,-0.1012
50057-3,SK-BR-3,10063-102-1,OSI-027,10,uM,LJP6,72,hr,2543,2120,5418,0.3917,-0.1535
50057-3,SK-BR-3,10064-101-1,WYE-125132,0.04,uM,LJP6,72,hr,2543,2445,5418,0.4512,-0.0364
50057-3,SK-BR-3,10064-101-1,WYE-125132,0.12,uM,LJP6,72,hr,2543,2145,5418,0.3955,-0.1462
50057-3,SK-BR-3,10064-101-1,WYE-125132,0.37,uM,LJP6,72,hr,2543,2034,5418,0.3754,-0.1860
50057-3,SK-BR-3,10064-101-1,WYE-125132,1.11,uM,LJP6,72,hr,2543,2052,5418,0.3786,-0.1797
50057-3,SK-BR-3,10064-101-1,WYE-125132,3.33,uM,LJP6,72,hr,2543,1935,5418,0.3571,-0.2223
50057-3,SK-BR-3,10064-101-1,WYE-125132,10,uM,LJP6,72,hr,2543,1916,5418,0.3536,-0.2294
50057-3,SK-BR-3,10067-101-1,Barasertib,0.04,uM,LJP5,72,hr,2543,2155,5752,0.3747,-0.1313
50057-3,SK-BR-3,10067-101-1,Barasertib,0.12,uM,LJP5,72,hr,2543,2088,5752,0.3631,-0.1542
50057-3,SK-BR-3,10067-101-1,Barasertib,0.37,uM,LJP5,72,hr,2543,2071,5752,0.3600,-0.1603
50057-3,SK-BR-3,10067-101-1,Barasertib,1.11,uM,LJP5,72,hr,2543,2087,5752,0.3628,-0.1549
50057-3,SK-BR-3,10067-101-1,Barasertib,3.33,uM,LJP5,72,hr,2543,2030,5752,0.3530,-0.1742
50057-3,SK-BR-3,10067-101-1,Barasertib,10,uM,LJP5,72,hr,2543,2064,5752,0.3589,-0.1625
50057-3,SK-BR-3,10068-101-1,Vemurafenib,0.04,uM,LJP5,72,hr,2543,5654,5752,0.9830,0.9708
50057-3,SK-BR-3,10068-101-1,Vemurafenib,0.12,uM,LJP5,72,hr,2543,5722,5752,0.9949,0.9912
50057-3,SK-BR-3,10068-101-1,Vemurafenib,0.37,uM,LJP5,72,hr,2543,5948,5752,1.0339,1.0572
50057-3,SK-BR-3,10068-101-1,Vemurafenib,1.11,uM,LJP5,72,hr,2543,5932,5752,1.0313,1.0529
50057-3,SK-BR-3,10068-101-1,Vemurafenib,3.33,uM,LJP5,72,hr,2543,5733,5752,0.9966,0.9939
50057-3,SK-BR-3,10068-101-1,Vemurafenib,10,uM,LJP5,72,hr,2543,5192,5752,0.9026,0.8331
50057-3,SK-BR-3,10069-101-1,Enzastaurin,0.04,uM,LJP5,72,hr,2543,6067,5752,1.0547,1.0924
50057-3,SK-BR-3,10069-101-1,Enzastaurin,0.12,uM,LJP5,72,hr,2543,5924,5752,1.0298,1.0505
50057-3,SK-BR-3,10069-101-1,Enzastaurin,0.37,uM,LJP5,72,hr,2543,5960,5752,1.0362,1.0613
50057-3,SK-BR-3,10069-101-1,Enzastaurin,1.11,uM,LJP5,72,hr,2543,5864,5752,1.0195,1.0331
50057-3,SK-BR-3,10069-101-1,Enzastaurin,3.33,uM,LJP5,72,hr,2543,5783,5752,1.0053,1.0088
50057-3,SK-BR-3,10069-101-1,Enzastaurin,10,uM,LJP5,72,hr,2543,6171,5752,1.0728,1.1228
50057-3,SK-BR-3,10071-101-1,Palbociclib,0.04,uM,LJP6,72,hr,2543,4893,5418,0.9038,0.8242
50057-3,SK-BR-3,10071-101-1,Palbociclib,0.12,uM,LJP6,72,hr,2543,4466,5418,0.8249,0.6775
50057-3,SK-BR-3,10071-101-1,Palbociclib,0.37,uM,LJP6,72,hr,2543,4243,5418,0.7840,0.6013
50057-3,SK-BR-3,10071-101-1,Palbociclib,1.11,uM,LJP6,72,hr,2543,4116,5418,0.7605,0.5570
50057-3,SK-BR-3,10071-101-1,Palbociclib,3.33,uM,LJP6,72,hr,2543,4033,5418,0.7456,0.5295
50057-3,SK-BR-3,10071-101-1,Palbociclib,10,uM,LJP6,72,hr,2543,3847,5418,0.7111,0.4643
50057-3,SK-BR-3,10072-101-1,PF562271,0.04,uM,LJP6,72,hr,2543,5675,5418,1.0480,1.0891
50057-3,SK-BR-3,10072-101-1,PF562271,0.12,uM,LJP6,72,hr,2543,5530,5418,1.0215,1.0412
50057-3,SK-BR-3,10072-101-1,PF562271,0.37,uM,LJP6,72,hr,2543,4812,5418,0.8897,0.7996
50057-3,SK-BR-3,10072-101-1,PF562271,1.11,uM,LJP6,72,hr,2543,3045,5418,0.5628,0.1809
50057-3,SK-BR-3,10072-101-1,PF562271,3.33,uM,LJP6,72,hr,2543,2136,5418,0.3947,-0.1475
50057-3,SK-BR-3,10072-101-1,PF562271,10,uM,LJP6,72,hr,2543,1079,5418,0.1994,-0.5446
50057-3,SK-BR-3,10073-101-1,PHA-793887,0.04,uM,LJP6,72,hr,2543,2708,5418,0.4999,0.0588
50057-3,SK-BR-3,10073-101-1,PHA-793887,0.12,uM,LJP6,72,hr,2543,2647,5418,0.4891,0.0381
50057-3,SK-BR-3,10073-101-1,PHA-793887,0.37,uM,LJP6,72,hr,2543,2348,5418,0.4341,-0.0697
50057-3,SK-BR-3,10073-101-1,PHA-793887,1.11,uM,LJP6,72,hr,2543,2231,5418,0.4118,-0.1138
50057-3,SK-BR-3,10073-101-1,PHA-793887,3.33,uM,LJP6,72,hr,2543,2108,5418,0.3895,-0.1578
50057-3,SK-BR-3,10073-101-1,PHA-793887,10,uM,LJP6,72,hr,2543,1097,5418,0.2025,-0.5377
50057-3,SK-BR-3,10075-101-1,QL-X-138,0.04,uM,LJP6,72,hr,2543,3613,5418,0.6680,0.3826
50057-3,SK-BR-3,10075-101-1,QL-X-138,0.12,uM,LJP6,72,hr,2543,3605,5418,0.6664,0.3795
50057-3,SK-BR-3,10075-101-1,QL-X-138,0.37,uM,LJP6,72,hr,2543,2880,5418,0.5321,0.1216
50057-3,SK-BR-3,10075-101-1,QL-X-138,1.11,uM,LJP6,72,hr,2543,2704,5418,0.4995,0.0583
50057-3,SK-BR-3,10075-101-1,QL-X-138,3.33,uM,LJP6,72,hr,2543,2425,5418,0.4481,-0.0421
50057-3,SK-BR-3,10075-101-1,QL-X-138,10,uM,LJP6,72,hr,2543,1254,5418,0.2318,-0.4771
50057-3,SK-BR-3,10077-101-1,QL-XII-47,0.04,uM,LJP6,72,hr,2543,4115,5418,0.7603,0.5566
50057-3,SK-BR-3,10077-101-1,QL-XII-47,0.12,uM,LJP6,72,hr,2543,3824,5418,0.7067,0.4555
50057-3,SK-BR-3,10077-101-1,QL-XII-47,0.37,uM,LJP6,72,hr,2543,2650,5418,0.4897,0.0391
50057-3,SK-BR-3,10077-101-1,QL-XII-47,1.11,uM,LJP6,72,hr,2543,1965,5418,0.3627,-0.2112
50057-3,SK-BR-3,10077-101-1,QL-XII-47,3.33,uM,LJP6,72,hr,2543,1409,5418,0.2602,-0.4182
50057-3,SK-BR-3,10077-101-1,QL-XII-47,10,uM,LJP6,72,hr,2543,1744,5418,0.3221,-0.2926
50057-3,SK-BR-3,10079-101-1,Torin1,0.04,uM,LJP6,72,hr,2543,2070,5418,0.3822,-0.1724
50057-3,SK-BR-3,10079-101-1,Torin1,0.12,uM,LJP6,72,hr,2543,1952,5418,0.3602,-0.2161
50057-3,SK-BR-3,10079-101-1,Torin1,0.37,uM,LJP6,72,hr,2543,1917,5418,0.3545,-0.2277
50057-3,SK-BR-3,10079-101-1,Torin1,1.11,uM,LJP6,72,hr,2543,1702,5418,0.3148,-0.3075
50057-3,SK-BR-3,10079-101-1,Torin1,3.33,uM,LJP6,72,hr,2543,1639,5418,0.3028,-0.3316
50057-3,SK-BR-3,10079-101-1,Torin1,10,uM,LJP6,72,hr,2543,1414,5418,0.2612,-0.4163
50057-3,SK-BR-3,10080-101-1,Torin2,0.04,uM,LJP5,72,hr,2543,1780,5752,0.3094,-0.2618
50057-3,SK-BR-3,10080-101-1,Torin2,0.12,uM,LJP5,72,hr,2543,1789,5752,0.3111,-0.2582
50057-3,SK-BR-3,10080-101-1,Torin2,0.37,uM,LJP5,72,hr,2543,1710,5752,0.2974,-0.2861
50057-3,SK-BR-3,10080-101-1,Torin2,1.11,uM,LJP5,72,hr,2543,1616,5752,0.2810,-0.3196
50057-3,SK-BR-3,10080-101-1,Torin2,3.33,uM,LJP5,72,hr,2543,1676,5752,0.2914,-0.2985
50057-3,SK-BR-3,10080-101-1,Torin2,10,uM,LJP5,72,hr,2543,1112,5752,0.1933,-0.5048
50057-3,SK-BR-3,10082-101-1,WZ-4-145,0.04,uM,LJP6,72,hr,2543,3377,5418,0.6233,0.2960
50057-3,SK-BR-3,10082-101-1,WZ-4-145,0.12,uM,LJP6,72,hr,2543,3543,5418,0.6538,0.3537
50057-3,SK-BR-3,10082-101-1,WZ-4-145,0.37,uM,LJP6,72,hr,2543,3449,5418,0.6366,0.3216
50057-3,SK-BR-3,10082-101-1,WZ-4-145,1.11,uM,LJP6,72,hr,2543,2903,5418,0.5356,0.1275
50057-3,SK-BR-3,10082-101-1,WZ-4-145,3.33,uM,LJP6,72,hr,2543,2737,5418,0.5053,0.0692
50057-3,SK-BR-3,10082-101-1,WZ-4-145,10,uM,LJP6,72,hr,2543,1089,5418,0.2011,-0.5408
50057-3,SK-BR-3,10084-101-1,WZ3105,0.04,uM,LJP5,72,hr,2543,1222,5752,0.2125,-0.4638
50057-3,SK-BR-3,10084-101-1,WZ3105,0.12,uM,LJP5,72,hr,2543,1188,5752,0.2067,-0.4763
50057-3,SK-BR-3,10084-101-1,WZ3105,0.37,uM,LJP5,72,hr,2543,1190,5752,0.2070,-0.4756
50057-3,SK-BR-3,10084-101-1,WZ3105,1.11,uM,LJP5,72,hr,2543,1190,5752,0.2070,-0.4759
50057-3,SK-BR-3,10084-101-1,WZ3105,3.33,uM,LJP5,72,hr,2543,1303,5752,0.2266,-0.4336
50057-3,SK-BR-3,10084-101-1,WZ3105,10,uM,LJP5,72,hr,2543,1308,5752,0.2274,-0.4320
50057-3,SK-BR-3,10086-101-1,XMD11-50,0.04,uM,LJP6,72,hr,2543,4144,5418,0.7627,0.5547
50057-3,SK-BR-3,10086-101-1,XMD11-50,0.12,uM,LJP6,72,hr,2543,4140,5418,0.7618,0.5527
50057-3,SK-BR-3,10086-101-1,XMD11-50,0.37,uM,LJP6,72,hr,2543,4028,5418,0.7424,0.5192
50057-3,SK-BR-3,10086-101-1,XMD11-50,1.11,uM,LJP6,72,hr,2543,3587,5418,0.6607,0.3644
50057-3,SK-BR-3,10086-101-1,XMD11-50,3.33,uM,LJP6,72,hr,2543,3048,5418,0.5611,0.1746
50057-3,SK-BR-3,10086-101-1,XMD11-50,10,uM,LJP6,72,hr,2543,2193,5418,0.4034,-0.1318
50057-3,SK-BR-3,10087-101-1,XMD11-85h,0.04,uM,LJP6,72,hr,2543,4045,5418,0.7472,0.5317
50057-3,SK-BR-3,10087-101-1,XMD11-85h,0.12,uM,LJP6,72,hr,2543,4685,5418,0.8646,0.7498
50057-3,SK-BR-3,10087-101-1,XMD11-85h,0.37,uM,LJP6,72,hr,2543,4635,5418,0.8556,0.7331
50057-3,SK-BR-3,10087-101-1,XMD11-85h,1.11,uM,LJP6,72,hr,2543,4492,5418,0.8294,0.6851
50057-3,SK-BR-3,10087-101-1,XMD11-85h,3.33,uM,LJP6,72,hr,2543,4600,5418,0.8484,0.7184
50057-3,SK-BR-3,10087-101-1,XMD11-85h,10,uM,LJP6,72,hr,2543,3696,5418,0.6813,0.4046
50057-3,SK-BR-3,10091-101-1,XMD16-144,0.04,uM,LJP5,72,hr,2543,4035,5752,0.7015,0.4800
50057-3,SK-BR-3,10091-101-1,XMD16-144,0.12,uM,LJP5,72,hr,2543,2098,5752,0.3647,-0.1510
50057-3,SK-BR-3,10091-101-1,XMD16-144,0.37,uM,LJP5,72,hr,2543,2278,5752,0.3961,-0.0891
50057-3,SK-BR-3,10091-101-1,XMD16-144,1.11,uM,LJP5,72,hr,2543,2158,5752,0.3753,-0.1301
50057-3,SK-BR-3,10091-101-1,XMD16-144,3.33,uM,LJP5,72,hr,2543,2262,5752,0.3933,-0.0948
50057-3,SK-BR-3,10091-101-1,XMD16-144,10,uM,LJP5,72,hr,2543,1406,5752,0.2444,-0.3956
50057-3,SK-BR-3,10097-101-1,Erlotinib,0.04,uM,LJP5,72,hr,2543,4825,5752,0.8389,0.7228
50057-3,SK-BR-3,10097-101-1,Erlotinib,0.12,uM,LJP5,72,hr,2543,5536,5752,0.9624,0.9360
50057-3,SK-BR-3,10097-101-1,Erlotinib,0.37,uM,LJP5,72,hr,2543,5861,5752,1.0189,1.0320
50057-3,SK-BR-3,10097-101-1,Erlotinib,1.11,uM,LJP5,72,hr,2543,5616,5752,0.9764,0.9598
50057-3,SK-BR-3,10097-101-1,Erlotinib,3.33,uM,LJP5,72,hr,2543,5607,5752,0.9749,0.9573
50057-3,SK-BR-3,10097-101-1,Erlotinib,10,uM,LJP5,72,hr,2543,2664,5752,0.4632,0.0400
50057-3,SK-BR-3,10098-101-1,Gefitinib,0.04,uM,LJP6,72,hr,2543,5005,5418,0.9222,0.8530
