Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration (uM),Time Point (hr),Time Interval (hr),Normalized Growth Rate Inhibition Value
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,15.08,11.9,1.0715
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,16.79,11.9,0.9570
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,18.49,11.9,0.9850
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,20.19,11.9,0.9167
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,21.90,11.9,0.9120
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,23.60,11.9,0.9061
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,25.30,11.9,0.9087
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,27.00,11.9,0.9479
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,28.71,11.9,1.0581
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,30.41,11.9,0.9405
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,32.11,11.9,0.9593
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,33.82,11.9,0.9825
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,35.52,11.9,0.9350
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,37.23,11.9,0.9389
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,38.93,11.9,0.9533
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,40.63,11.9,0.9811
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,42.33,11.9,0.9921
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,44.03,11.9,0.9545
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,45.74,11.9,0.9556
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,47.45,11.9,1.0243
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,49.15,11.9,0.9790
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,50.86,11.9,0.9296
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,52.56,11.9,0.9055
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,54.25,11.9,0.8974
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,55.97,11.9,0.9129
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,57.67,11.9,0.8370
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,59.37,11.9,0.7276
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,61.08,11.9,0.8047
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,62.78,11.9,0.7506
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,64.49,11.9,0.7107
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,66.19,11.9,0.7445
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,67.89,11.9,0.8178
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,69.60,11.9,1.2537
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,71.30,11.9,1.3500
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,73.49,11.9,-0.1024
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,76.90,11.9,-0.0031
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,80.31,11.9,-0.1342
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,85.43,11.9,0.3963
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,85.43,12.0,0.3178
