Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration,Small Mol Conc Unit,LJP Library Plate,Replicate,Assay Well,Timepoint,Timepoint Unit,Total Cell Count Before Treatment,Total Cell Count After Treatment,Total Control Cell Count,Relative Cell Count,Normalized Growth Rate Inhibition Value
50029-3,MCF7,10006-101-1,AZD7762,0.12,uM,LJP6,3,L05,72,hr,1235,1665,4126,0.4035,0.1871
50029-3,MCF7,10006-101-1,AZD7762,0.37,uM,LJP6,1,L04,72,hr,1235,1658,3974,0.4172,0.1907
50029-3,MCF7,10006-101-1,AZD7762,0.37,uM,LJP6,2,L04,72,hr,1235,1507,4070,0.3702,0.1225
50029-3,MCF7,10006-101-1,AZD7762,0.37,uM,LJP6,3,L04,72,hr,1235,1467,4126,0.3555,0.1038
50029-3,MCF7,10006-101-1,AZD7762,1.11,uM,LJP6,1,L03,72,hr,1235,1294,3974,0.3256,0.0279
50029-3,MCF7,10006-101-1,AZD7762,1.11,uM,LJP6,2,L03,72,hr,1235,1272,4070,0.3125,0.0171
50029-3,MCF7,10006-101-1,AZD7762,1.11,uM,LJP6,3,L03,72,hr,1235,1365,4126,0.3308,0.0590
50029-3,MCF7,10006-101-1,AZD7762,3.33,uM,LJP6,1,L02,72,hr,1235,1118,3974,0.2813,-0.0575
50029-3,MCF7,10006-101-1,AZD7762,3.33,uM,LJP6,2,L02,72,hr,1235,993,4070,0.2440,-0.1192
50029-3,MCF7,10006-101-1,AZD7762,3.33,uM,LJP6,3,L02,72,hr,1235,1060,4126,0.2569,-0.0842
50029-3,MCF7,10006-101-1,AZD7762,10,uM,LJP6,1,L01,72,hr,1235,728,3974,0.1832,-0.2693
50029-3,MCF7,10006-101-1,AZD7762,10,uM,LJP6,2,L01,72,hr,1235,796,4070,0.1956,-0.2255
50029-3,MCF7,10006-101-1,AZD7762,10,uM,LJP6,3,L01,72,hr,1235,773,4126,0.1873,-0.2362
50029-3,MCF7,10007-101-1,AZD8055,0.04,uM,LJP6,1,A12,72,hr,1235,1330,3974,0.3347,0.0448
50029-3,MCF7,10007-101-1,AZD8055,0.04,uM,LJP6,2,A12,72,hr,1235,1464,4070,0.3597,0.1037
50029-3,MCF7,10007-101-1,AZD8055,0.04,uM,LJP6,3,A12,72,hr,1235,1129,4126,0.2736,-0.0504
50029-3,MCF7,10007-101-1,AZD8055,0.12,uM,LJP6,1,A11,72,hr,1235,1329,3974,0.3344,0.0443
50029-3,MCF7,10007-101-1,AZD8055,0.12,uM,LJP6,2,A11,72,hr,1235,1279,4070,0.3142,0.0204
50029-3,MCF7,10007-101-1,AZD8055,0.12,uM,LJP6,3,A11,72,hr,1235,1350,4126,0.3272,0.0523
50029-3,MCF7,10007-101-1,AZD8055,0.37,uM,LJP6,1,A10,72,hr,1235,1396,3974,0.3513,0.0752
50029-3,MCF7,10007-101-1,AZD8055,0.37,uM,LJP6,2,A10,72,hr,1235,1236,4070,0.3037,0.0003
50029-3,MCF7,10007-101-1,AZD8055,0.37,uM,LJP6,3,A10,72,hr,1235,1235,4126,0.2993,-0.0002
50029-3,MCF7,10007-101-1,AZD8055,1.11,uM,LJP6,1,A09,72,hr,1235,1397,3974,0.3515,0.0757
50029-3,MCF7,10007-101-1,AZD8055,1.11,uM,LJP6,2,A09,72,hr,1235,1227,4070,0.3015,-0.0040
50029-3,MCF7,10007-101-1,AZD8055,1.11,uM,LJP6,3,A09,72,hr,1235,1251,4126,0.3032,0.0072
50029-3,MCF7,10007-101-1,AZD8055,3.33,uM,LJP6,1,A08,72,hr,1235,1388,3974,0.3493,0.0715
50029-3,MCF7,10007-101-1,AZD8055,3.33,uM,LJP6,2,A08,72,hr,1235,1154,4070,0.2835,-0.0388
50029-3,MCF7,10007-101-1,AZD8055,3.33,uM,LJP6,3,A08,72,hr,1235,1184,4126,0.2869,-0.0241
50029-3,MCF7,10007-101-1,AZD8055,10,uM,LJP6,1,A07,72,hr,1235,1197,3974,0.3012,-0.0186
50029-3,MCF7,10007-101-1,AZD8055,10,uM,LJP6,2,A07,72,hr,1235,1120,4070,0.2752,-0.0554
50029-3,MCF7,10007-101-1,AZD8055,10,uM,LJP6,3,A07,72,hr,1235,1032,4126,0.2501,-0.0982
50029-3,MCF7,10008-101-1,Sorafenib,0.04,uM,LJP6,1,B12,72,hr,1235,4045,3974,1.0178,1.0211
50029-3,MCF7,10008-101-1,Sorafenib,0.04,uM,LJP6,2,B12,72,hr,1235,3919,4070,0.9628,0.9564
50029-3,MCF7,10008-101-1,Sorafenib,0.04,uM,LJP6,3,B12,72,hr,1235,3858,4126,0.9350,0.9242
50029-3,MCF7,10008-101-1,Sorafenib,0.12,uM,LJP6,1,B11,72,hr,1235,3391,3974,0.8533,0.8203
50029-3,MCF7,10008-101-1,Sorafenib,0.12,uM,LJP6,2,B11,72,hr,1235,3779,4070,0.9284,0.9155
50029-3,MCF7,10008-101-1,Sorafenib,0.12,uM,LJP6,3,B11,72,hr,1235,3513,4126,0.8514,0.8233
50029-3,MCF7,10008-101-1,Sorafenib,0.37,uM,LJP6,1,B10,72,hr,1235,3940,3974,0.9914,0.9898
50029-3,MCF7,10008-101-1,Sorafenib,0.37,uM,LJP6,2,B10,72,hr,1235,4099,4070,1.0070,1.0082
50029-3,MCF7,10008-101-1,Sorafenib,0.37,uM,LJP6,3,B10,72,hr,1235,3685,4126,0.8930,0.8741
50029-3,MCF7,10008-101-1,Sorafenib,1.11,uM,LJP6,1,B09,72,hr,1235,3864,3974,0.9723,0.9669
50029-3,MCF7,10008-101-1,Sorafenib,1.11,uM,LJP6,2,B09,72,hr,1235,3416,4070,0.8392,0.8063
50029-3,MCF7,10008-101-1,Sorafenib,1.11,uM,LJP6,3,B09,72,hr,1235,3760,4126,0.9112,0.8959
50029-3,MCF7,10008-101-1,Sorafenib,3.33,uM,LJP6,1,B08,72,hr,1235,3658,3974,0.9205,0.9040
50029-3,MCF7,10008-101-1,Sorafenib,3.33,uM,LJP6,2,B08,72,hr,1235,3388,4070,0.8324,0.7977
50029-3,MCF7,10008-101-1,Sorafenib,3.33,uM,LJP6,3,B08,72,hr,1235,3293,4126,0.7980,0.7568
50029-3,MCF7,10008-101-1,Sorafenib,10,uM,LJP6,1,B07,72,hr,1235,1776,3974,0.4469,0.2403
50029-3,MCF7,10008-101-1,Sorafenib,10,uM,LJP6,2,B07,72,hr,1235,1624,4070,0.3990,0.1723
50029-3,MCF7,10008-101-1,Sorafenib,10,uM,LJP6,3,B07,72,hr,1235,1537,4126,0.3725,0.1338
50029-3,MCF7,10009-101-1,CP466722,0.04,uM,LJP5,1,I12,72,hr,1235,4735,4119,1.1495,1.1670
50029-3,MCF7,10009-101-1,CP466722,0.04,uM,LJP5,2,I12,72,hr,1235,4694,4356,1.0775,1.0838
50029-3,MCF7,10009-101-1,CP466722,0.04,uM,LJP5,3,I12,72,hr,1235,5124,4326,1.1843,1.1962
50029-3,MCF7,10009-101-1,CP466722,0.12,uM,LJP5,1,I11,72,hr,1235,4392,4119,1.0662,1.0752
50029-3,MCF7,10009-101-1,CP466722,0.12,uM,LJP5,2,I11,72,hr,1235,4834,4356,1.1097,1.1178
50029-3,MCF7,10009-101-1,CP466722,0.12,uM,LJP5,3,I11,72,hr,1235,4387,4326,1.0140,1.0154
50029-3,MCF7,10009-101-1,CP466722,0.37,uM,LJP5,1,I10,72,hr,1235,4429,4119,1.0752,1.0852
50029-3,MCF7,10009-101-1,CP466722,0.37,uM,LJP5,2,I10,72,hr,1235,5225,4356,1.1994,1.2104
50029-3,MCF7,10009-101-1,CP466722,0.37,uM,LJP5,3,I10,72,hr,1235,4833,4326,1.1171,1.1263
50029-3,MCF7,10009-101-1,CP466722,1.11,uM,LJP5,1,I09,72,hr,1235,4563,4119,1.1077,1.1213
50029-3,MCF7,10009-101-1,CP466722,1.11,uM,LJP5,2,I09,72,hr,1235,4853,4356,1.1140,1.1224
50029-3,MCF7,10009-101-1,CP466722,1.11,uM,LJP5,3,I09,72,hr,1235,4645,4326,1.0736,1.0801
50029-3,MCF7,10009-101-1,CP466722,3.33,uM,LJP5,1,I08,72,hr,1235,3958,4119,0.9609,0.9546
50029-3,MCF7,10009-101-1,CP466722,3.33,uM,LJP5,2,I08,72,hr,1235,4132,4356,0.9485,0.9427
50029-3,MCF7,10009-101-1,CP466722,3.33,uM,LJP5,3,I08,72,hr,1235,4601,4326,1.0635,1.0692
50029-3,MCF7,10009-101-1,CP466722,10,uM,LJP5,1,I07,72,hr,1235,1943,4119,0.4717,0.2978
50029-3,MCF7,10009-101-1,CP466722,10,uM,LJP5,2,I07,72,hr,1235,1881,4356,0.4318,0.2602
50029-3,MCF7,10009-101-1,CP466722,10,uM,LJP5,3,I07,72,hr,1235,2092,4326,0.4835,0.3382
50029-3,MCF7,10010-101-1,CP724714,0.04,uM,LJP5,1,A12,72,hr,1235,3347,4119,0.8125,0.7748
50029-3,MCF7,10010-101-1,CP724714,0.04,uM,LJP5,2,A12,72,hr,1235,3088,4356,0.7089,0.6552
50029-3,MCF7,10010-101-1,CP724714,0.04,uM,LJP5,3,A12,72,hr,1235,3306,4326,0.7641,0.7235
50029-3,MCF7,10010-101-1,CP724714,0.12,uM,LJP5,1,A11,72,hr,1235,3397,4119,0.8247,0.7900
50029-3,MCF7,10010-101-1,CP724714,0.12,uM,LJP5,2,A11,72,hr,1235,3229,4356,0.7412,0.6963
50029-3,MCF7,10010-101-1,CP724714,0.12,uM,LJP5,3,A11,72,hr,1235,3463,4326,0.8004,0.7683
50029-3,MCF7,10010-101-1,CP724714,0.37,uM,LJP5,1,A10,72,hr,1235,3413,4119,0.8286,0.7948
50029-3,MCF7,10010-101-1,CP724714,0.37,uM,LJP5,2,A10,72,hr,1235,3323,4356,0.7628,0.7233
50029-3,MCF7,10010-101-1,CP724714,0.37,uM,LJP5,3,A10,72,hr,1235,3494,4326,0.8076,0.7771
50029-3,MCF7,10010-101-1,CP724714,1.11,uM,LJP5,1,A09,72,hr,1235,3209,4119,0.7790,0.7323
50029-3,MCF7,10010-101-1,CP724714,1.11,uM,LJP5,2,A09,72,hr,1235,3383,4356,0.7766,0.7403
50029-3,MCF7,10010-101-1,CP724714,1.11,uM,LJP5,3,A09,72,hr,1235,3320,4326,0.7674,0.7276
50029-3,MCF7,10010-101-1,CP724714,3.33,uM,LJP5,1,A08,72,hr,1235,3204,4119,0.7778,0.7307
50029-3,MCF7,10010-101-1,CP724714,3.33,uM,LJP5,2,A08,72,hr,1235,3436,4356,0.7888,0.7553
50029-3,MCF7,10010-101-1,CP724714,3.33,uM,LJP5,3,A08,72,hr,1235,3196,4326,0.7387,0.6916
50029-3,MCF7,10010-101-1,CP724714,10,uM,LJP5,1,A07,72,hr,1235,2139,4119,0.5193,0.3716
50029-3,MCF7,10010-101-1,CP724714,10,uM,LJP5,2,A07,72,hr,1235,2057,4356,0.4722,0.3237
50029-3,MCF7,10010-101-1,CP724714,10,uM,LJP5,3,A07,72,hr,1235,2135,4326,0.4935,0.3533
50029-3,MCF7,10011-101-1,Alvocidib,0.04,uM,LJP6,1,A18,72,hr,1235,1106,3974,0.2783,-0.0635
50029-3,MCF7,10011-101-1,Alvocidib,0.04,uM,LJP6,2,A18,72,hr,1235,1183,4070,0.2906,-0.0249
50029-3,MCF7,10011-101-1,Alvocidib,0.04,uM,LJP6,3,A18,72,hr,1235,1089,4126,0.2639,-0.0699
50029-3,MCF7,10011-101-1,Alvocidib,0.12,uM,LJP6,1,A17,72,hr,1235,722,3974,0.1817,-0.2729
50029-3,MCF7,10011-101-1,Alvocidib,0.12,uM,LJP6,2,A17,72,hr,1235,631,4070,0.1550,-0.3233
50029-3,MCF7,10011-101-1,Alvocidib,0.12,uM,LJP6,3,A17,72,hr,1235,675,4126,0.1636,-0.2935
50029-3,MCF7,10011-101-1,Alvocidib,0.37,uM,LJP6,1,A16,72,hr,1235,677,3974,0.1704,-0.3001
50029-3,MCF7,10011-101-1,Alvocidib,0.37,uM,LJP6,2,A16,72,hr,1235,712,4070,0.1749,-0.2741
50029-3,MCF7,10011-101-1,Alvocidib,0.37,uM,LJP6,3,A16,72,hr,1235,694,4126,0.1682,-0.2821
50029-3,MCF7,10011-101-1,Alvocidib,1.11,uM,LJP6,1,A15,72,hr,1235,609,3974,0.1532,-0.3427
50029-3,MCF7,10011-101-1,Alvocidib,1.11,uM,LJP6,2,A15,72,hr,1235,521,4070,0.1280,-0.3946
50029-3,MCF7,10011-101-1,Alvocidib,1.11,uM,LJP6,3,A15,72,hr,1235,589,4126,0.1427,-0.3467
50029-3,MCF7,10011-101-1,Alvocidib,3.33,uM,LJP6,1,A14,72,hr,1235,563,3974,0.1417,-0.3726
50029-3,MCF7,10011-101-1,Alvocidib,3.33,uM,LJP6,2,A14,72,hr,1235,559,4070,0.1373,-0.3693
50029-3,MCF7,10011-101-1,Alvocidib,3.33,uM,LJP6,3,A14,72,hr,1235,505,4126,0.1224,-0.4020
50029-3,MCF7,10011-101-1,Alvocidib,10,uM,LJP6,1,A13,72,hr,1235,329,3974,0.0828,-0.5438
50029-3,MCF7,10011-101-1,Alvocidib,10,uM,LJP6,2,A13,72,hr,1235,578,4070,0.1420,-0.3570
50029-3,MCF7,10011-101-1,Alvocidib,10,uM,LJP6,3,A13,72,hr,1235,630,4126,0.1527,-0.3209
50029-3,MCF7,10014-101-1,GW843682X,0.04,uM,LJP6,1,B18,72,hr,1235,2869,3974,0.7219,0.6485
50029-3,MCF7,10014-101-1,GW843682X,0.04,uM,LJP6,2,B18,72,hr,1235,3246,4070,0.7975,0.7535
50029-3,MCF7,10014-101-1,GW843682X,0.04,uM,LJP6,3,B18,72,hr,1235,2952,4126,0.7154,0.6498
50029-3,MCF7,10014-101-1,GW843682X,0.12,uM,LJP6,1,B17,72,hr,1235,1318,3974,0.3318,0.0394
50029-3,MCF7,10014-101-1,GW843682X,0.12,uM,LJP6,2,B17,72,hr,1235,1769,4070,0.4346,0.2321
50029-3,MCF7,10014-101-1,GW843682X,0.12,uM,LJP6,3,B17,72,hr,1235,1761,4126,0.4268,0.2260
50029-3,MCF7,10014-101-1,GW843682X,0.37,uM,LJP6,1,B16,72,hr,1235,1653,3974,0.4159,0.1886
50029-3,MCF7,10014-101-1,GW843682X,0.37,uM,LJP6,2,B16,72,hr,1235,1399,4070,0.3437,0.0750
50029-3,MCF7,10014-101-1,GW843682X,0.37,uM,LJP6,3,B16,72,hr,1235,1500,4126,0.3635,0.1180
50029-3,MCF7,10014-101-1,GW843682X,1.11,uM,LJP6,1,B15,72,hr,1235,1453,3974,0.3656,0.1010
50029-3,MCF7,10014-101-1,GW843682X,1.11,uM,LJP6,2,B15,72,hr,1235,1472,4070,0.3616,0.1072
50029-3,MCF7,10014-101-1,GW843682X,1.11,uM,LJP6,3,B15,72,hr,1235,1374,4126,0.3330,0.0630
50029-3,MCF7,10014-101-1,GW843682X,3.33,uM,LJP6,1,B14,72,hr,1235,1417,3974,0.3566,0.0848
50029-3,MCF7,10014-101-1,GW843682X,3.33,uM,LJP6,2,B14,72,hr,1235,1271,4070,0.3123,0.0167
50029-3,MCF7,10014-101-1,GW843682X,3.33,uM,LJP6,3,B14,72,hr,1235,1297,4126,0.3143,0.0284
50029-3,MCF7,10014-101-1,GW843682X,10,uM,LJP6,1,B13,72,hr,1235,1619,3974,0.4074,0.1740
50029-3,MCF7,10014-101-1,GW843682X,10,uM,LJP6,2,B13,72,hr,1235,1632,4070,0.4010,0.1757
50029-3,MCF7,10014-101-1,GW843682X,10,uM,LJP6,3,B13,72,hr,1235,1587,4126,0.3846,0.1548
50029-3,MCF7,10015-101-1,HG-5-113-01,0.04,uM,LJP5,1,B12,72,hr,1235,3730,4119,0.9055,0.8890
50029-3,MCF7,10015-101-1,HG-5-113-01,0.04,uM,LJP5,2,B12,72,hr,1235,3456,4356,0.7933,0.7609
50029-3,MCF7,10015-101-1,HG-5-113-01,0.04,uM,LJP5,3,B12,72,hr,1235,3353,4326,0.7750,0.7371
50029-3,MCF7,10015-101-1,HG-5-113-01,0.12,uM,LJP5,1,B11,72,hr,1235,2879,4119,0.6989,0.6274
50029-3,MCF7,10015-101-1,HG-5-113-01,0.12,uM,LJP5,2,B11,72,hr,1235,2318,4356,0.5321,0.4136
50029-3,MCF7,10015-101-1,HG-5-113-01,0.12,uM,LJP5,3,B11,72,hr,1235,2612,4326,0.6037,0.5130
50029-3,MCF7,10015-101-1,HG-5-113-01,0.37,uM,LJP5,1,B10,72,hr,1235,1841,4119,0.4469,0.2581
50029-3,MCF7,10015-101-1,HG-5-113-01,0.37,uM,LJP5,2,B10,72,hr,1235,1691,4356,0.3882,0.1885
50029-3,MCF7,10015-101-1,HG-5-113-01,0.37,uM,LJP5,3,B10,72,hr,1235,1586,4326,0.3666,0.1482
50029-3,MCF7,10015-101-1,HG-5-113-01,1.11,uM,LJP5,1,B09,72,hr,1235,1405,4119,0.3411,0.0769
50029-3,MCF7,10015-101-1,HG-5-113-01,1.11,uM,LJP5,2,B09,72,hr,1235,1534,4356,0.3521,0.1265
50029-3,MCF7,10015-101-1,HG-5-113-01,1.11,uM,LJP5,3,B09,72,hr,1235,1399,4326,0.3234,0.0712
50029-3,MCF7,10015-101-1,HG-5-113-01,3.33,uM,LJP5,1,B08,72,hr,1235,1364,4119,0.3311,0.0587
50029-3,MCF7,10015-101-1,HG-5-113-01,3.33,uM,LJP5,2,B08,72,hr,1235,1436,4356,0.3296,0.0863
