Cell Line HMS LINCS ID,Cell Line Name,Cell Count,FI_EGF,FI_FGF,FI_GMCSF,FI_HGF,FI_IL-5,FI_IL-6,FI_IL-8,FI_IL-10,FI_IL-13,FI_MCP-1,FI_PDGF,FI_TGF-a,FI_VEGF
50084-1,A549,1,128,1149,67,10,17,109,2228,21,136,176,17,24,193
50084-1,A549,1,85,327,9,-11,23,24,123,53,414,14072,34,8,228
50084-1,A549,1,99,165,21,51,19,24,188,51,399,9010,57,-2,321
50084-1,A549,1,64,257,42,23,56,45,650,98,440,5068,95,46,158
50084-1,A549,1,161,212,-34,21,1,-8,790,-25,155,9404,3,-53,174
50084-1,A549,1,104,173,13,15,37,43,108,23,246,14837,22,-49,515
50084-1,A549,1,118,158,5,21,36,38,866,32,120,11524,51,-14,79
50084-1,A549,1,263,835,14,39,2,35,3531,32,214,4943,26,-25,121
50084-1,A549,1,135,182,14,-11,-6,1692,11126,2,271,9857,35,-19,585
50084-1,A549,1,254,436,71,52,58,2004,4218,37,253,7820,90,58,952
50084-1,A549,1,179,507,13,78,27,90,8144,-47,200,15122,41,77,303
50084-1,A549,1,100,8980,160,79,27,281,11955,18,496,11749,78,34,237
50084-1,A549,1,27,4081,-2,112,32,80,1668,19,441,169,18,10,41
50084-1,A549,1,107,290,14,-20,-8,22,2870,2,60,101,17,-3,65
50084-1,A549,1,102,2667,-8,-11,20,18,1190,10,33,81,33,22,71
50084-1,A549,1,126,187,-9,84,39,-13,54,-24,362,19067,32,14,146
50084-1,A549,1,131,570,27,-23,-2,19,2332,18,417,5117,51,-14,218
50084-1,A549,1,77,2243,89,6,55,-4,122,38,393,128,-6,16,151
50084-1,A549,1,221,344,-2,-10,22,1388,8466,0,389,14635,41,6,610
50084-1,A549,1,128,2924,-8,18,6,-16,389,20,123,1137,93,12,306
50084-1,A549,1,49,-11,40,15,4,57,3211,28,437,852,70,-9,628
50084-1,A549,1,51,2128,13,58,3,28,1025,-11,290,3611,43,-9,110
50084-1,A549,1,337,653,47,110,-9,6,10557,0,473,9997,2,307,262
50084-1,A549,1,121,197,-21,48,25,8,887,65,430,17770,48,37,552
50084-1,A549,1,236,425,14,62,29,14,152,118,228,84,92,24,166
50084-1,A549,1,77,243,42,59,26,69,3898,-21,465,7516,20,-16,114
50084-1,A549,1,43,9,64,-10,46,57,72,6,440,99,41,17,34
50084-1,A549,1,194,393,13,71,47,11,329,73,435,202,85,-42,114
50084-1,A549,1,181,288,-26,-26,46,-1,2855,11,176,11942,-10,5,194
50084-1,A549,1,173,522,-25,-8,-4,51,6870,15,41,2303,43,9,198
50084-1,A549,1,140,218,-14,82,-15,24,6496,26,109,11956,32,13,312
50084-1,A549,1,34,126,-8,10,20,-15,3479,5,104,1797,2,-9,86
50084-1,A549,1,141,779,-43,23,44,73,10382,0,53,14897,-3,18,1162
50084-1,A549,1,112,273,41,20,15,13,5831,14,92,2003,5,-8,149
50084-1,A549,1,179,204,33,6,-21,157,2507,15,277,182,-34,6,564
50084-1,A549,1,130,241,5,73,18,6,249,44,61,3963,-30,30,213
50084-1,A549,1,98,209,91,29,23,107,2946,23,71,6136,55,9,417
50084-1,A549,1,-8,43,1,3,-30,20,83,-2,92,37,17,-25,1
50084-1,A549,1,142,175,-11,30,4,69,11500,20,88,14195,56,32,429
50084-1,A549,1,94,930,5,30,25,-10,2523,72,321,47,45,28,70
50084-1,A549,1,48,227,-25,24,31,89,10788,23,277,15977,22,23,291
50084-1,A549,1,116,154,-32,11,20,45,7951,33,151,8051,43,1,173
50084-1,A549,1,-18,31,-4,9,-18,-12,11771,37,108,122,22,37,56
50084-1,A549,1,94,172,8,31,41,-11,6063,-27,217,1071,50,-5,93
50084-1,A549,1,53,171,-70,2,27,9,11084,-5,181,17741,7,19,688
50084-1,A549,1,9,89,-14,14,18,138,3515,-44,177,3312,15,-6,75
50084-1,A549,1,104,70,-9,15,4,8,45,2,92,24,-40,10,24
50084-1,A549,1,78,43,1,9,20,-3,359,-4,117,1298,-6,-36,51
50084-1,A549,1,89,101,-17,23,16,12,911,27,138,15914,-22,-10,63
50084-1,A549,1,58,108,68,1,28,456,2789,-15,155,7095,-2,35,676
50084-1,A549,1,158,115,-30,13,4,22,10419,10,165,11115,41,-2,131
50084-1,A549,1,51,115,13,-3,-34,10,1338,23,80,6784,24,-18,185
50084-1,A549,1,59,4475,-20,-15,13,-12,45,-23,23,-42,-5,11,82
50084-1,A549,1,219,724,-4,33,17,-3,412,-18,73,895,12,-43,106
50084-1,A549,1,69,437,23,13,18,22,384,-22,-18,2835,-27,-19,16
50084-1,A549,1,36,74,-14,2,15,154,274,13,135,13760,9,-10,107
50084-1,A549,1,85,1524,11,33,19,29,234,-5,66,68,9,9,63
50084-1,A549,1,115,136,-25,22,14,25,443,8,21,14477,41,8,312
50084-1,A549,1,108,38,1,6,-3,-1,1719,39,104,11280,19,23,276
50084-1,A549,1,-1,106,20,-8,28,50,2060,-6,111,12223,31,2,200
50084-1,A549,1,35,757,-15,34,12,11,675,-17,71,13,43,20,7
50084-1,A549,1,-21,-7,-8,29,6,-15,83,1,72,13580,-12,0,32
50084-1,A549,1,74,1010,0,-49,28,22,126,7,55,13006,34,6,47
50084-1,A549,1,83,195,-6,-12,-15,13,252,-4,87,38,-12,-6,32
50084-1,A549,1,119,989,17,23,27,17,1900,15,31,38,-9,4,90
50084-1,A549,1,86,650,1,6,73,-33,601,-8,24,431,9,30,35
50084-1,A549,1,74,705,17,-31,23,-9,418,-16,66,412,18,-18,10
50084-1,A549,1,23,514,-40,-24,21,9,115,-3,94,351,19,-11,-6
