Cell Line HMS LINCS ID,Cell Line Name,Cell Count,FI_EGF,FI_FGF,FI_GMCSF,FI_HGF,FI_IL-5,FI_IL-6,FI_IL-8,FI_IL-10,FI_IL-13,FI_MCP-1,FI_PDGF,FI_TGF-a,FI_VEGF
50084-1,A549,1,422,110,-1,19,-37,2539,775,14,192,2202,7,50,194
50084-1,A549,1,373,141,2,15,61,35,1988,12,157,2345,8,48,225
50084-1,A549,1,410,91,13,28,-13,12,1403,7,234,3242,-14,-36,116
50084-1,A549,1,487,77,54,-7,52,5,256,-4,267,3178,13,4,75
50084-1,A549,1,887,138,131,4,80,335,4860,22,253,2895,74,87,113
50084-1,A549,1,473,152,-3,-14,61,71,2695,7,418,1819,40,118,110
50084-1,A549,1,557,2870,15,-1,-1,51,795,19,106,6013,39,116,32
50084-1,A549,1,527,194,75,46,56,5108,4978,-10,334,4568,32,83,251
50084-1,A549,1,980,164,-16,42,-14,26,2076,39,291,2839,73,35,131
50084-1,A549,1,722,176,9,65,23,29,1039,18,98,3025,17,25,122
50084-1,A549,1,496,26,19,29,-1,6,1463,37,392,8055,-3,32,125
50084-1,A549,1,884,92,135,-11,2,17,9289,18,397,5087,25,97,434
50084-1,A549,1,664,95,51,-7,-31,12,7014,0,396,3773,7,94,163
50084-1,A549,1,1328,871,41,21,-12,184,1760,19,303,4769,59,69,115
50084-1,A549,1,1097,391,-26,44,14,5,135,56,216,93,99,41,79
50084-1,A549,1,454,303,-26,15,23,53,851,3,231,180,-1,54,71
50084-1,A549,1,508,26,40,8,43,728,11765,51,510,7191,60,138,335
50084-1,A549,1,240,503,-22,0,29,926,1070,16,189,6365,55,280,63
50084-1,A549,1,217,918,68,31,27,-17,1185,61,400,1166,82,34,137
50084-1,A549,1,221,598,49,103,32,138,4841,38,200,2756,70,452,486
50084-1,A549,1,303,2077,11,26,21,4,455,88,291,2245,60,130,98
50084-1,A549,1,266,5157,-84,-16,14,40,12884,31,291,16710,60,150,289
50084-1,A549,1,256,2851,-21,16,24,415,1375,-31,97,2635,-3,22,357
50084-1,A549,1,293,551,44,-13,38,28,1209,54,127,1027,39,42,60
50084-1,A549,1,256,395,57,-15,-31,43,3470,5,149,4810,-11,40,327
50084-1,A549,1,379,334,14,-9,-7,33,1860,6,205,6082,17,76,105
50084-1,A549,1,137,47,937,-44,3,115,7128,-2,269,2723,51,120,137
50084-1,A549,1,186,82,31,33,-47,20,4325,9,153,2773,-3,69,159
50084-1,A549,1,187,109,14,-59,-4,41,596,-45,188,1278,9,28,75
50084-1,A549,1,251,31,41,-78,27,4,793,10,147,2754,42,36,147
50084-1,A549,1,297,351,-18,-8,6,-7,4658,-10,111,7107,41,55,80
50084-1,A549,1,492,80,15,-1,-7,5,1788,9,306,1687,65,-8,119
50084-1,A549,1,469,317,-7,93,31,-13,7747,-9,52,1200,53,82,85
50084-1,A549,1,88,82,35,-19,60,34,3052,-15,409,7601,36,151,236
50084-1,A549,1,92,59,39,-10,29,435,7234,16,363,4223,43,130,212
50084-1,A549,1,57,105,57,27,44,53,793,34,391,3237,40,14,95
50084-1,A549,1,341,880,309,20,29,36,379,35,177,294,100,33,55
50084-1,A549,1,389,256,50,43,44,20,1169,-19,176,5892,36,9,99
50084-1,A549,1,30,106,41,-31,3,-10,1741,-12,241,3487,53,64,230
50084-1,A549,1,45,169,3,54,-21,40,1044,3,287,1456,35,92,120
50084-1,A549,1,140,167,25,-15,25,10,1223,7,405,3847,46,92,335
50084-1,A549,1,77,158,41,8,29,100,3125,46,287,3389,34,52,284
50084-1,A549,1,220,615,32,-17,30,5,744,11,143,83,47,45,141
50084-1,A549,1,295,94,4,0,-7,34,381,34,382,3221,25,59,132
50084-1,A549,1,222,53,-8,-5,46,107,2198,-18,237,4633,24,31,134
50084-1,A549,1,246,118,-31,27,8,31,1489,-24,246,949,-7,32,151
50084-1,A549,1,224,119,65,31,43,78,4025,-9,303,636,39,55,176
50084-1,A549,1,145,145,6,18,18,-10,2346,-20,370,310,31,19,153
50084-1,A549,1,222,406,60,-7,18,342,1173,38,448,714,33,63,103
50084-1,A549,1,68,1259,71,65,40,-28,884,51,119,1282,55,91,131
50084-1,A549,1,46,349,-3,43,20,4,140,0,194,2086,2,-22,49
50084-1,A549,1,128,787,51,60,-34,145,5315,11,72,769,72,37,111
50084-1,A549,1,265,263,30,6,3,35,989,21,96,1392,36,38,200
50084-1,A549,1,190,362,44,0,-10,204,1119,47,169,1840,51,56,238
50084-1,A549,1,181,166,8,37,10,5,2059,43,138,2602,8,90,494
50084-1,A549,1,272,203,17,21,27,-10,916,20,230,2793,-8,48,148
50084-1,A549,1,440,393,20,41,42,20,305,-22,132,5025,52,80,96
50084-1,A549,1,213,346,-5,55,95,155,9559,-9,343,5281,56,88,191
50084-1,A549,1,159,295,13,44,6,1787,1808,58,440,1531,2,52,318
50084-1,A549,1,189,349,-6,65,42,1,1281,-24,431,5293,38,42,190
50084-1,A549,1,39,49,-21,-6,32,-9,5024,-3,241,5878,3,89,117
50084-1,A549,1,301,325,11,61,50,289,2742,15,200,7566,63,70,193
50084-1,A549,1,147,909,40,72,31,847,624,71,307,1135,128,118,133
50084-1,A549,1,18,104,-20,14,-5,24,4233,16,235,4097,56,118,243
50084-1,A549,1,173,944,13,0,21,12,1904,-24,334,2849,68,56,149
50084-1,A549,1,65,227,48,-18,33,49,943,82,398,5436,74,59,190
50084-1,A549,1,116,183,45,-13,-7,604,2389,5,238,2260,39,130,592
50084-1,A549,1,77,190,10,-13,-9,130,1363,31,354,3678,52,89,235
50084-1,A549,1,75,31,1,-25,54,31,523,51,380,1129,65,69,188
50084-1,A549,1,110,144,-7,-1,51,48,242,48,317,4768,62,73,171
50084-1,A549,1,88,253,-12,38,18,45,325,53,339,5455,15,122,424
