Small Molecule HMS LINCS ID,Small Molecule Name,Cell Line HMS LINCS ID,Cell Line Name,log10[max. dose (M)],R^2 (goodness of fit),log10[EC50 (M)],log10[IC50 (M)],log10[GI50 (M)],HillSlope,E_inf,E_max,AUC
10172-101-2,GSK1059615,50213-1,HCC1954,-3.8761,0.9806,-6.4821,-6.4688,-6.6416,1.7280,0.0209,0.0209,4.9360
10172-101-2,GSK1059615,50214-1,HCC202,-3.8761,0.9640,-6.5396,-6.3348,-7.0861,1.2425,0.2168,0.2172,5.4872
10172-101-2,GSK1059615,50216-1,HCC38,-3.8761,0.9259,-5.8441,-5.7804,-6.0941,1.6170,0.1049,0.1052,6.1396
10172-101-2,GSK1059615,50219-1,HCC70,-3.8761,0.9860,-6.1671,-6.1571,-6.7682,1.0470,0.0096,0.0180,5.3747
10172-101-2,GSK1059615,50238-1,Hs 578T,-3.8761,0.9639,-5.5771,-5.5431,-5.7678,1.2410,0.0261,0.0406,6.2605
10172-101-2,GSK1059615,50324-1,MB 157,-3.8761,0.9303,-5.3471,-5.1653,-6.1416,0.9344,0.1621,0.1960,6.7770
10172-101-2,GSK1059615,50327-1,MDA-MB-134-VI,-3.8761,0.9728,-5.7421,-5.7232,-6.2573,1.6810,0.0075,0.0147,5.8201
10172-101-2,GSK1059615,50328-1,MDA-MB-157,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10172-101-2,GSK1059615,50329-1,MDA-MB-175-VII,-3.8761,0.9661,-5.7096,-5.6435,-6.2973,1.1415,0.0827,0.0908,6.0761
10172-101-2,GSK1059615,50331-1,MDA-MB-361,-3.8761,0.9495,-5.4711,-5.3520,-5.9326,0.9915,0.0984,0.1096,6.6257
10172-101-2,GSK1059615,50333-1,MDA-MB-436,-3.8761,0.8235,-6.1261,-5.7066,-6.5611,1.0757,0.2918,0.3127,6.4231
10172-101-2,GSK1059615,50334-1,MDA-MB-453,-3.8761,0.9721,-6.2611,-6.1978,-6.5344,1.4305,0.0940,0.0944,5.4412
10172-101-2,GSK1059615,50335-1,MDA-MB-468,-3.8761,0.8850,-6.0401,-6.0191,-6.1832,3.9980,0.0894,0.0894,6.0591
10172-101-2,GSK1059615,50541-1,T47D,-3.8761,0.9767,-6.1936,-6.0514,-6.9077,0.7031,0.1031,0.1270,5.5762
10172-101-2,GSK1059615,50556-1,UACC-812,-3.8761,0.9593,-5.9671,-5.8291,-6.4559,1.3025,0.1687,0.1703,6.2995
10172-101-2,GSK1059615,50557-1,UACC-893,-3.8761,0.9457,-6.4781,-6.4285,-6.9731,1.5100,0.0723,0.0727,5.2500
10172-101-2,GSK1059615,50574-1,ZR-75-1,-3.8761,0.9687,-5.6631,-5.5259,-5.9889,1.0260,0.1305,0.1531,6.5481
10172-101-2,GSK1059615,50576-1,184B5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10172-101-2,GSK1059615,50578-1,HCC1187,-3.8761,0.9667,-5.8266,-5.8267,-6.7042,0.7908,0.0000,0.0283,5.6757
10172-101-2,GSK1059615,50583-1,MCF 10A,-3.8761,0.9898,-6.4736,-6.4606,-6.6011,1.1270,0.0213,0.0228,4.9008
10172-101-2,GSK1059615,50584-1,MCF 10F,-3.8761,0.9758,-6.5361,-6.4562,-6.7332,0.9002,0.0756,0.0794,5.1553
10172-101-2,GSK1059615,51081-1,SUM1315MO2,-3.8761,0.9604,-5.9386,-5.8331,-6.4593,1.1460,0.1221,0.1270,5.9782
10172-101-2,GSK1059615,51082-1,SUM149PT,-3.8761,0.9712,-5.9691,-5.9579,-6.0461,2.5850,0.0364,0.0378,5.6620
10172-101-2,GSK1059615,51083-1,SUM159PT,-3.8761,0.9804,-6.6931,-6.6443,-6.7490,1.4790,0.0657,0.0659,4.7272
10172-101-2,GSK1059615,51084-1,SUM185PE,-3.8761,0.9628,-6.3681,-6.2921,-7.0653,0.7818,0.0638,0.0742,5.3114
10172-101-2,GSK1059615,51085-1,SUM225CWN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10172-101-2,GSK1059615,51086-1,SUM229PE,-3.8761,0.9551,-5.9816,-5.9458,-6.2709,1.3390,0.0505,0.0549,5.6768
10172-101-2,GSK1059615,51087-1,SUM52PE,-3.8761,0.9310,-6.6981,-6.5460,-6.7975,1.4890,0.2331,0.2331,5.7665
10172-101-2,GSK1059615,51088-1,184A1,-3.8761,0.9610,-7.3446,-6.9876,-7.7542,1.1090,0.2956,0.2957,5.1600
10172-101-2,GSK1059615,51089-1,MCF12A,-3.8761,0.9580,-5.9441,-5.9254,-6.3645,1.0795,0.0238,0.0324,5.6533
10172-101-2,GSK1059615,51090-1,MX1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10172-101-2,GSK1059615,51091-1,T47DKBLUC,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10172-101-2,GSK1059615,51092-1,600MPE,-3.8761,0.9156,-6.1581,-5.6704,-6.3063,1.2430,0.2979,0.3079,6.3566
10172-101-2,GSK1059615,51093-1,HCC2185,-3.8761,0.9628,-5.9776,-5.8904,-6.8382,0.9244,0.0998,0.1112,5.8856
10172-101-2,GSK1059615,51094-1,HCC3153,-3.8761,0.9657,-5.2936,-5.1741,-5.5645,1.1540,0.1244,0.1454,6.8109
10172-101-2,GSK1059615,51095-1,LY2,-3.8761,0.9865,-5.9671,-5.8627,-5.9883,3.9940,0.3078,0.3078,6.7193
10172-101-2,GSK1059615,51096-1,ZR75B,-3.8761,0.9793,-6.3201,-6.1835,-6.5403,1.3120,0.1690,0.1695,5.7162
10175-106-3,Sunitinib,50029-1,MCF7,-3.7773,0.9778,-5.1203,-5.1200,-5.2371,3.2140,0.0021,0.0024,6.5030
10175-106-3,Sunitinib,50057-1,SK-BR-3,-3.7773,0.9750,-5.0748,-5.0748,-5.1762,2.4590,0.0000,0.0007,6.4568
10175-106-3,Sunitinib,50058-1,MDA-MB-231,-3.7773,0.9510,-5.3458,-5.3460,-5.4018,2.7870,0.0000,0.0008,6.3279
10175-106-3,Sunitinib,50091-1,AU565,-3.7773,0.9773,-5.3158,-5.3157,-5.4531,1.4640,0.0000,0.0058,6.2895
10175-106-3,Sunitinib,50105-1,BT-20,-3.7773,0.9703,-4.8163,-4.8163,-4.9181,3.9950,0.0000,0.0001,7.0490
10175-106-3,Sunitinib,50106-1,BT-474,-3.7773,0.9747,-4.8004,-4.8006,-4.9414,3.9815,0.0000,0.0001,7.2094
10175-106-3,Sunitinib,50107-1,BT-483,-3.7773,0.9482,-4.8363,-4.8355,-5.0244,3.9990,0.0049,0.0049,6.5248
10175-106-3,Sunitinib,50108-1,BT-549,-3.7773,0.9542,-5.2298,-5.2301,-5.2835,2.1910,0.0000,0.0017,6.7587
10175-106-3,Sunitinib,50131-1,CAMA-1,-3.7773,0.9798,-4.9863,-4.9856,-5.0970,4.0000,0.0030,0.0031,6.6815
10175-106-3,Sunitinib,50205-1,HCC1143,-3.7773,0.9790,-5.0783,-5.0756,-5.1346,4.0000,0.0126,0.0126,6.9305
10175-106-3,Sunitinib,50206-1,HCC1395,-3.7773,0.8577,-5.1438,-5.1190,-5.2641,3.5555,0.0908,0.0908,6.7614
10175-106-3,Sunitinib,50207-1,HCC1419,-3.7773,0.8508,-4.8313,-4.7988,-5.0314,3.9970,0.1123,0.1123,7.4474
10175-106-3,Sunitinib,50208-1,HCC1428,-3.7773,0.9792,-5.0478,-5.0479,-5.2565,2.5880,0.0000,0.0006,6.4400
10175-106-3,Sunitinib,50210-1,HCC1569,-3.7773,0.9785,-5.0693,-5.0677,-5.1025,3.5100,0.0059,0.0059,6.7454
10175-106-3,Sunitinib,50211-1,HCC1806,-3.7773,0.9660,-5.2428,-5.2423,-5.3269,2.8690,0.0014,0.0022,6.6067
10175-106-3,Sunitinib,50212-1,HCC1937,-3.7773,0.9900,-5.1233,-5.1220,-5.1909,3.9990,0.0073,0.0073,7.1586
10175-106-3,Sunitinib,50213-1,HCC1954,-3.7773,0.8580,-5.2013,-5.1552,-5.2709,2.3805,0.0964,0.0968,6.5831
10175-106-3,Sunitinib,50214-1,HCC202,-3.7773,0.9672,-4.8723,-4.8721,-5.0692,3.4510,0.0000,0.0002,7.0261
10175-106-3,Sunitinib,50216-1,HCC38,-3.7773,0.9828,-5.2658,-5.2654,-5.3474,3.3930,0.0016,0.0016,6.2730
10175-106-3,Sunitinib,50219-1,HCC70,-3.7773,0.9709,-5.2273,-5.2269,-5.6217,1.1930,0.0000,0.0183,6.3482
10175-106-3,Sunitinib,50238-1,Hs 578T,-3.7773,0.8796,-5.3033,-5.3035,-5.4180,1.6020,0.0000,0.0025,6.2252
10175-106-3,Sunitinib,50324-1,MB 157,-3.7773,0.8627,-5.4393,-5.4390,-5.6747,0.9393,0.0000,0.0268,5.6750
10175-106-3,Sunitinib,50327-1,MDA-MB-134-VI,-3.7773,0.9658,-4.9123,-4.9109,-5.0599,3.6070,0.0046,0.0047,6.6684
10175-106-3,Sunitinib,50328-1,MDA-MB-157,-3.7773,0.9732,-5.1423,-5.1219,-5.2297,3.9920,0.0060,0.0060,6.5503
10175-106-3,Sunitinib,50329-1,MDA-MB-175-VII,-3.7773,0.9650,-5.0423,-5.0426,-5.2229,3.3880,0.0000,0.0001,6.4103
10175-106-3,Sunitinib,50331-1,MDA-MB-361,-3.7773,0.9747,-4.8393,-4.8396,-4.9777,2.4310,0.0000,0.0026,7.0481
10175-106-3,Sunitinib,50333-1,MDA-MB-436,-3.7773,0.9707,-5.3423,-5.3419,-5.4884,1.3390,0.0000,0.0080,6.0490
10175-106-3,Sunitinib,50334-1,MDA-MB-453,-3.7773,0.7115,-5.2463,-5.1553,-5.3328,2.3890,0.1964,0.1967,6.8202
10175-106-3,Sunitinib,50335-1,MDA-MB-468,-3.7773,0.9604,-5.2273,-5.2275,-5.4078,1.2605,0.0000,0.0155,6.2161
10175-106-3,Sunitinib,50541-1,T47D,-3.7773,0.9814,-4.8833,-4.8830,-4.9736,3.9960,0.0000,0.0000,7.1754
10175-106-3,Sunitinib,50556-1,UACC-812,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10175-106-3,Sunitinib,50557-1,UACC-893,-3.7773,0.7020,-4.9393,-4.8858,-5.0728,3.9840,0.1943,0.1943,7.5005
10175-106-3,Sunitinib,50574-1,ZR-75-1,-3.7773,0.9837,-4.8408,-4.8407,-4.9558,3.8465,0.0000,0.0001,7.0373
10175-106-3,Sunitinib,50576-1,184B5,-3.7773,0.9902,-5.1233,-5.1228,-5.2864,2.5950,0.0021,0.0045,6.6070
10175-106-3,Sunitinib,50578-1,HCC1187,-3.7773,0.9785,-5.1068,-5.1071,-5.2545,3.3595,0.0000,0.0001,6.7382
10175-106-3,Sunitinib,50583-1,MCF 10A,-3.7773,0.9650,-5.2223,-5.2222,-5.3010,1.7760,0.0000,0.0024,6.1671
10175-106-3,Sunitinib,50584-1,MCF 10F,-3.7773,0.9685,-5.2723,-5.2671,-5.3932,2.8860,0.0177,0.0178,6.5541
10175-106-3,Sunitinib,51081-1,SUM1315MO2,-3.7773,0.9914,-5.0033,-5.0029,-5.1409,3.6140,0.0000,0.0000,6.7848
10175-106-3,Sunitinib,51082-1,SUM149PT,-3.7773,0.9739,-5.4943,-5.4940,-5.6171,1.6930,0.0000,0.0012,6.0576
10175-106-3,Sunitinib,51083-1,SUM159PT,-3.7773,0.9527,-5.8123,-5.8125,-5.8594,1.4710,0.0000,0.0010,5.2877
10175-106-3,Sunitinib,51084-1,SUM185PE,-3.7773,0.9616,-5.4933,-5.4929,-6.0636,0.9412,0.0000,0.0237,5.6919
10175-106-3,Sunitinib,51085-1,SUM225CWN,-3.7773,0.9767,-5.0768,-5.0769,-5.2252,3.1835,0.0000,0.0001,6.7349
10175-106-3,Sunitinib,51086-1,SUM229PE,-3.7773,0.9788,-5.3173,-5.3169,-5.5009,1.2770,0.0000,0.0107,6.0188
10175-106-3,Sunitinib,51087-1,SUM52PE,-3.7773,0.9788,-5.6913,-5.6909,-5.9821,1.1640,0.0000,0.0059,5.4960
10175-106-3,Sunitinib,51088-1,184A1,-3.7773,0.9722,-5.2038,-5.2018,-5.3508,2.4980,0.0078,0.0101,6.7274
10175-106-3,Sunitinib,51089-1,MCF12A,-3.7773,0.9671,-5.1293,-5.1288,-5.1979,3.0015,0.0015,0.0024,6.7915
10175-106-3,Sunitinib,51090-1,MX1,-3.7773,0.9657,-5.0223,-5.0223,-5.2285,2.7100,0.0000,0.0004,6.3318
10175-106-3,Sunitinib,51091-1,T47DKBLUC,-3.7773,0.9780,-4.9393,-4.9395,-5.0752,4.0000,0.0014,0.0014,6.9655
10175-106-3,Sunitinib,51092-1,600MPE,-3.7773,0.9440,-5.1878,-5.1875,-5.4358,2.6935,0.0032,0.0056,6.2428
10175-106-3,Sunitinib,51093-1,HCC2185,-3.7773,0.9682,-4.7913,-4.7911,-4.9707,2.5710,0.0000,0.0025,7.1741
10175-106-3,Sunitinib,51094-1,HCC3153,-3.7773,0.9888,-4.9143,-4.9136,-5.0281,3.8275,0.0030,0.0031,6.9172
10175-106-3,Sunitinib,51095-1,LY2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10175-106-3,Sunitinib,51096-1,ZR75B,-3.7773,0.7264,-5.1123,-5.0614,-5.1454,3.9930,0.1860,0.1860,6.8685
10189-101-2,Bosutinib,50029-1,MCF7,-4.0000,0.8507,-5.8570,-4.1284,-5.6468,0.7495,0.4747,0.4952,7.2106
10189-101-2,Bosutinib,50057-1,SK-BR-3,-4.0000,0.8715,-5.1340,-5.1339,-5.5027,0.9151,0.0000,0.0840,6.5434
10189-101-2,Bosutinib,50058-1,MDA-MB-231,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10189-101-2,Bosutinib,50091-1,AU565,-4.0000,0.9332,-5.4350,-5.4352,-5.7471,1.0990,0.0000,0.0258,6.2163
10189-101-2,Bosutinib,50105-1,BT-20,-4.0000,0.9551,-5.7175,-5.6373,-5.9379,1.7315,0.1361,0.1370,6.2649
10189-101-2,Bosutinib,50106-1,BT-474,-4.0000,0.8176,-5.4900,-5.2670,-5.8510,1.1260,0.2199,0.2359,7.0213
10189-101-2,Bosutinib,50107-1,BT-483,-4.0000,0.7948,-5.1210,-4.0000,-5.4556,1.5260,0.5649,0.5732,7.6559
10189-101-2,Bosutinib,50108-1,BT-549,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10189-101-2,Bosutinib,50131-1,CAMA-1,-4.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.5865
10189-101-2,Bosutinib,50205-1,HCC1143,-4.0000,0.8653,-5.1790,-4.9768,-5.3941,0.6335,0.1278,0.2603,6.7936
10189-101-2,Bosutinib,50206-1,HCC1395,-4.0000,0.9760,-5.6770,-5.6685,-5.9803,1.7565,0.0179,0.0190,6.0510
10189-101-2,Bosutinib,50207-1,HCC1419,-4.0000,0.9393,-4.8085,-4.5681,-5.9518,0.8169,0.1819,0.3286,7.6251
10189-101-2,Bosutinib,50208-1,HCC1428,-4.0000,0.9322,-5.1295,-5.0767,-5.4463,1.6100,0.0831,0.0969,6.7432
10189-101-2,Bosutinib,50210-1,HCC1569,-4.0000,0.9711,-5.7160,-5.6117,-5.8001,1.8370,0.1784,0.1790,6.5227
10189-101-2,Bosutinib,50211-1,HCC1806,-4.0000,0.8647,-5.7690,-5.6161,-5.7744,1.6460,0.2202,0.2212,6.4751
10189-101-2,Bosutinib,50212-1,HCC1937,-4.0000,0.9229,-5.8000,-5.6693,-5.9173,1.5120,0.1828,0.1844,6.2029
10189-101-2,Bosutinib,50213-1,HCC1954,-4.0000,0.9519,-5.6770,-5.6774,-5.9761,0.8742,0.0000,0.0330,6.0581
10189-101-2,Bosutinib,50214-1,HCC202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10189-101-2,Bosutinib,50216-1,HCC38,-4.0000,0.9731,-5.9755,-5.9672,-6.0692,2.5445,0.0214,0.0214,5.5518
10189-101-2,Bosutinib,50219-1,HCC70,-4.0000,0.9873,-5.7220,-5.6902,-6.0259,1.1990,0.0422,0.0503,6.1858
10189-101-2,Bosutinib,50238-1,Hs 578T,-4.0000,0.9693,-5.7360,-5.7364,-5.8619,1.4470,0.0000,0.0031,5.8191
10189-101-2,Bosutinib,50324-1,MB 157,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10189-101-2,Bosutinib,50327-1,MDA-MB-134-VI,-4.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.2521
10189-101-2,Bosutinib,50328-1,MDA-MB-157,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10189-101-2,Bosutinib,50329-1,MDA-MB-175-VII,-4.0000,0.9177,-5.5350,-4.9551,-6.0929,1.0670,0.2680,0.2731,6.9592
10189-101-2,Bosutinib,50331-1,MDA-MB-361,-4.0000,0.9274,-5.6650,-4.7758,-5.9260,1.4710,0.4711,0.4753,7.3993
10189-101-2,Bosutinib,50333-1,MDA-MB-436,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10189-101-2,Bosutinib,50334-1,MDA-MB-453,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10189-101-2,Bosutinib,50335-1,MDA-MB-468,-4.0000,0.8656,-5.5170,-5.5174,-5.7201,0.7277,0.0000,0.0729,5.9214
10189-101-2,Bosutinib,50541-1,T47D,-4.0000,0.8399,-5.2610,-5.2203,-5.3032,3.9980,0.1573,0.1573,7.0304
10189-101-2,Bosutinib,50556-1,UACC-812,-4.0000,0.8277,-5.3385,-4.9183,-5.6207,1.1256,0.3057,0.3563,7.1592
10189-101-2,Bosutinib,50557-1,UACC-893,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10189-101-2,Bosutinib,50574-1,ZR-75-1,-4.0000,0.9250,-4.7659,-4.7424,-4.9383,3.0220,0.0874,0.0954,7.5654
10189-101-2,Bosutinib,50576-1,184B5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10189-101-2,Bosutinib,50578-1,HCC1187,-4.0000,0.9408,-5.3700,-5.2599,-5.5473,1.2390,0.1344,0.1515,6.6336
10189-101-2,Bosutinib,50583-1,MCF 10A,-4.0000,0.9541,-5.9050,-5.8507,-5.9161,2.1120,0.1164,0.1165,6.3996
10189-101-2,Bosutinib,50584-1,MCF 10F,-4.0000,0.9306,-5.7910,-5.5139,-5.7838,1.4200,0.2978,0.2998,7.1248
10189-101-2,Bosutinib,51081-1,SUM1315MO2,-4.0000,0.9731,-5.9780,-5.8879,-6.3627,1.3390,0.1212,0.1232,6.1475
10189-101-2,Bosutinib,51082-1,SUM149PT,-4.0000,0.9696,-6.0195,-6.0187,-6.1801,1.1295,0.0009,0.0061,5.4414
10189-101-2,Bosutinib,51083-1,SUM159PT,-4.0000,0.9516,-5.8740,-5.8739,-5.9188,1.1170,0.0000,0.0080,5.7606
10189-101-2,Bosutinib,51084-1,SUM185PE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10189-101-2,Bosutinib,51085-1,SUM225CWN,-4.0000,0.8073,-5.2475,-4.8760,-5.9288,0.6629,0.1917,0.3358,6.7676
10189-101-2,Bosutinib,51086-1,SUM229PE,-4.0000,0.9394,-5.7620,-5.7256,-5.9268,0.9843,0.0391,0.0565,5.9801
10189-101-2,Bosutinib,51087-1,SUM52PE,-4.0000,0.9261,-5.6950,-5.4253,-5.8994,0.9732,0.1686,0.1870,6.4607
10189-101-2,Bosutinib,51088-1,184A1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10189-101-2,Bosutinib,51089-1,MCF12A,-4.0000,0.9718,-5.8800,-5.8329,-6.1058,1.1810,0.0598,0.0655,5.7722
10189-101-2,Bosutinib,51090-1,MX1,-4.0000,0.9513,-5.3855,-5.3279,-6.0879,0.9348,0.0465,0.1042,6.9979
10189-101-2,Bosutinib,51091-1,T47DKBLUC,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10189-101-2,Bosutinib,51092-1,600MPE,-4.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.9187
10189-101-2,Bosutinib,51093-1,HCC2185,-4.0000,0.7770,-5.0781,-4.0268,-5.3078,2.4852,0.5525,0.5899,8.1813
10189-101-2,Bosutinib,51094-1,HCC3153,-4.0000,0.9073,-5.2690,-4.6338,-5.2733,2.0420,0.3259,0.3274,7.3590
10189-101-2,Bosutinib,51095-1,LY2,-4.0000,0.9002,-5.4480,-5.4177,-5.5750,3.9990,0.1218,0.1218,7.0093
10189-101-2,Bosutinib,51096-1,ZR75B,-4.0000,0.8570,-5.2020,-4.9518,-5.2095,1.6070,0.3021,0.3102,7.0835
10223-101-2,AG1478,50029-1,MCF7,-3.7773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.3896
10223-101-2,AG1478,50057-1,SK-BR-3,-3.7773,0.9169,-5.3328,-5.1505,-5.8981,1.0261,0.1277,0.1548,6.6778
10223-101-2,AG1478,50058-1,MDA-MB-231,-3.7773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.0930
10223-101-2,AG1478,50091-1,AU565,-3.7773,0.9725,-5.2063,-5.1690,-5.2744,2.3610,0.0909,0.0913,7.2424
10223-101-2,AG1478,50105-1,BT-20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10223-101-2,AG1478,50106-1,BT-474,-3.7773,0.9026,-5.3923,-4.7868,-6.1906,0.6954,0.3103,0.3586,6.9758
10223-101-2,AG1478,50107-1,BT-483,-3.7773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.5199
10223-101-2,AG1478,50108-1,BT-549,-3.7773,0.9396,-4.2818,-4.2818,-4.2287,2.3875,0.0000,0.0865,7.5564
10223-101-2,AG1478,50131-1,CAMA-1,-3.7773,0.9699,-4.3808,-4.3485,-4.4601,3.9990,0.1285,0.1319,7.9986
10223-101-2,AG1478,50205-1,HCC1143,-3.7773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.3802
10223-101-2,AG1478,50206-1,HCC1395,-3.7773,0.9075,-4.2678,-4.2678,-4.6761,1.4320,0.0000,0.1656,8.2363
10223-101-2,AG1478,50207-1,HCC1419,-3.7773,0.8604,-5.5218,-4.4282,-5.8626,2.5230,0.3929,0.4050,7.2197
10223-101-2,AG1478,50208-1,HCC1428,-3.7773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.3255
10223-101-2,AG1478,50210-1,HCC1569,-3.7773,0.8190,-5.0463,-4.6358,-5.3792,0.7269,0.1016,0.3161,6.6668
10223-101-2,AG1478,50211-1,HCC1806,-3.7773,0.9534,-6.3023,-3.7773,-3.7773,1.5080,0.6517,0.6518,6.9397
10223-101-2,AG1478,50212-1,HCC1937,-3.7773,0.9197,-4.6281,-4.6283,-4.9480,1.0191,0.0000,0.1244,6.9966
10223-101-2,AG1478,50213-1,HCC1954,-3.7773,0.9352,-4.9543,-4.9541,-5.5348,0.5090,0.0000,0.2011,6.6781
10223-101-2,AG1478,50214-1,HCC202,-3.7773,0.8163,-5.1303,-4.8364,-5.8491,0.9804,0.2192,0.2629,6.9668
10223-101-2,AG1478,50216-1,HCC38,-3.7773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.3723
10223-101-2,AG1478,50219-1,HCC70,-3.7773,0.9170,-4.1941,-4.1941,-4.6819,1.5635,0.0000,0.2163,7.9914
10223-101-2,AG1478,50238-1,Hs 578T,-3.7773,0.9142,-4.3285,-4.3284,-4.5702,1.5250,0.0000,0.1262,8.1692
10223-101-2,AG1478,50324-1,MB 157,-3.7773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.6966
10223-101-2,AG1478,50327-1,MDA-MB-134-VI,-3.7773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.7857
10223-101-2,AG1478,50328-1,MDA-MB-157,-3.7773,0.7145,-4.8183,-4.7075,-4.8684,3.9330,0.3162,0.3163,7.9140
10223-101-2,AG1478,50329-1,MDA-MB-175-VII,-3.7773,0.9670,-5.8983,-5.5761,-5.9872,2.3250,0.2522,0.2522,6.7153
10223-101-2,AG1478,50331-1,MDA-MB-361,-3.7773,0.8186,-4.5263,-3.9210,-4.8228,1.0250,0.1829,0.4632,7.9758
10223-101-2,AG1478,50333-1,MDA-MB-436,-3.7773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.3179
10223-101-2,AG1478,50334-1,MDA-MB-453,-3.7773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.7398
10223-101-2,AG1478,50335-1,MDA-MB-468,-3.7773,0.8328,-4.4971,-4.4810,-4.5745,3.9940,0.0689,0.0701,9.0026
10223-101-2,AG1478,50541-1,T47D,-3.7773,0.7221,-4.4695,-4.1221,-4.7567,0.6829,0.2105,0.4094,7.5112
10223-101-2,AG1478,50556-1,UACC-812,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10223-101-2,AG1478,50557-1,UACC-893,-3.7773,0.9200,-5.0053,-5.0051,-5.3225,1.6350,0.0000,0.0097,6.7084
10223-101-2,AG1478,50574-1,ZR-75-1,-3.7773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.7425
10223-101-2,AG1478,50576-1,184B5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10223-101-2,AG1478,50578-1,HCC1187,-3.7773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.6922
10223-101-2,AG1478,50583-1,MCF 10A,-3.7773,0.9641,-6.6213,-6.5368,-6.6626,1.9980,0.1438,0.1438,5.2300
10223-101-2,AG1478,50584-1,MCF 10F,-3.7773,0.9376,-6.7693,-6.5018,-6.7736,1.6970,0.3084,0.3112,5.8805
10223-101-2,AG1478,51081-1,SUM1315MO2,-3.7773,0.8266,-6.9173,-3.7773,-6.9054,1.0770,0.7156,0.7157,7.6587
10223-101-2,AG1478,51082-1,SUM149PT,-3.7773,0.9100,-6.0908,-4.5747,-5.8612,1.0668,0.2918,0.3464,6.5414
10223-101-2,AG1478,51083-1,SUM159PT,-3.7773,0.9493,-4.7715,-4.7713,-4.7804,1.5250,0.0006,0.0526,7.0240
10223-101-2,AG1478,51084-1,SUM185PE,-3.7773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.8422
10223-101-2,AG1478,51085-1,SUM225CWN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10223-101-2,AG1478,51086-1,SUM229PE,-3.7773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.8340
10223-101-2,AG1478,51087-1,SUM52PE,-3.7773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.2111
10223-101-2,AG1478,51088-1,184A1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10223-101-2,AG1478,51089-1,MCF12A,-3.7773,0.9479,-6.4083,-6.2259,-6.6869,2.1085,0.2565,0.2578,5.7717
10223-101-2,AG1478,51090-1,MX1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10223-101-2,AG1478,51091-1,T47DKBLUC,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10223-101-2,AG1478,51092-1,600MPE,-3.7773,0.8255,-4.0708,-4.0707,-4.5520,1.5110,0.0000,0.2648,8.2796
10223-101-2,AG1478,51093-1,HCC2185,-3.7773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.2831
10223-101-2,AG1478,51094-1,HCC3153,-3.7773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.6709
