Cell Line HMS LINCS ID,Cell Line Name,Cell Count,FI_GMCSF,FI_IFN-y,FI_IL-1B,FI_IL-2,FI_IL-4,FI_IL-6,FI_IL-8,FI_IL-10,FI_IL-12,FI_MCP-1,FI_RANTES,FI_TGF-a,FI_TNF-a,FI_TNF-b
50869-1,U-937,1,-10,-4,30,2,11,26,2938,11,27,2213,3216,39,1201,57
50869-1,U-937,1,-6,-4,1,34,0,9,34,-9,-19,-20,148,-3,130,-10
50869-1,U-937,1,3,-25,10,46,45,22,48,12,10,31,5111,-13,575,15
50869-1,U-937,1,6,19,4,10,10,1,156,46,18,29,88,43,13,11
50869-1,U-937,1,58,-4,12,-11,0,52,128,-4,41,3,151,13,1,28
50869-1,U-937,1,-1,10,17,8,33,7,59,44,15,-3,214,39,48,20
50869-1,U-937,1,50,-4,18,14,-3,30,140,7,46,41,624,31,812,-3
50869-1,U-937,1,33,1,8,32,-16,41,82,14,26,-8,180,11,250,33
50869-1,U-937,1,27,8,21,12,-7,98,496,47,25,27,710,22,248,-7
50869-1,U-937,1,64,10,-12,-8,-8,57,106,70,72,61,124,33,5,30
50869-1,U-937,1,27,27,21,36,15,33,683,6,56,62,638,54,220,18
50869-1,U-937,1,26,-7,44,3,-2,27,105,30,31,20,486,26,24,16
50869-1,U-937,1,59,18,23,37,19,47,80,29,69,36,827,8,186,3
50869-1,U-937,1,86,18,23,25,0,69,133,25,47,33,433,28,104,17
50869-1,U-937,1,59,10,32,-2,38,18,1586,24,25,26,1001,57,684,22
50869-1,U-937,1,73,14,10,11,12,38,43,42,27,19,860,-7,2098,-4
50869-1,U-937,1,11,-4,24,25,4,48,1069,47,25,21,521,30,1268,14
50869-1,U-937,1,17,-15,18,-15,-26,47,128,27,4,73,235,24,121,26
50869-1,U-937,1,40,-13,-2,-15,-14,27,94,28,19,-3,1434,-24,476,-2
50869-1,U-937,1,18,18,31,33,10,36,24,37,66,1,154,-9,17,10
50869-1,U-937,1,2,4,11,32,11,14,37,7,19,5,251,-19,149,21
50869-1,U-937,1,36,11,22,31,35,40,759,22,19,55,292,51,1664,52
50869-1,U-937,1,148,21,10,32,108,98,361,17,48,51,441,77,53,30
50869-1,U-937,1,43,12,27,48,113,15,247,18,15,84,228,9,1093,5
50869-1,U-937,1,28,-2,32,-9,15,35,1166,47,28,35,1225,15,901,6
50869-1,U-937,1,-9,22,12,25,48,32,413,29,49,-10,266,-14,33,-12
50869-1,U-937,1,13,-4,8,40,74,16,2265,3,62,38,2117,-21,1592,8
50869-1,U-937,1,11,-1,4,29,64,-6,1581,12,32,115,2549,40,174,0
50869-1,U-937,1,50,3,33,23,18,-5,5960,36,-3,50,1847,-54,1312,13
50869-1,U-937,1,15,4,4,-10,93,-4,275,4,13,-17,155,11,737,-13
50869-1,U-937,1,13,25,-12,20,59,15,251,19,29,12,165,-19,66,-10
50869-1,U-937,1,25,-4,7,11,32,10,229,19,39,63,565,35,67,-12
50869-1,U-937,1,34,22,6,10,45,55,165,42,10,22,692,-5,455,21
50869-1,U-937,1,43,26,21,9,13,22,74,17,45,28,142,0,41,21
50869-1,U-937,1,-17,10,24,27,26,-8,118,-20,3,-8,150,-10,3,-10
50869-1,U-937,1,0,-13,11,5,51,15,78,26,5,-11,127,4,38,-8
50869-1,U-937,1,-25,-16,3,24,22,20,150,18,15,5,128,-1,29,35
50869-1,U-937,1,30,-6,18,10,14,15,190,20,17,33,1427,-18,146,6
50869-1,U-937,1,5,-6,63,24,57,23,1115,12,40,49,1030,0,2557,22
50869-1,U-937,1,4,3,17,40,67,-2,984,-12,19,1,1257,4,367,14
50869-1,U-937,1,61,11,1,-1,28,34,178,14,25,8,252,20,73,15
50869-1,U-937,1,11,0,11,1,9,27,170,8,-8,14,168,20,205,13
50869-1,U-937,1,22,8,3,9,-13,14,106,33,39,27,241,41,45,13
50869-1,U-937,1,68,6,-20,33,-23,53,127,-7,52,21,415,17,41,1
50869-1,U-937,1,21,6,9,12,21,9,81,24,41,20,785,28,1977,-10
50869-1,U-937,1,24,0,-6,24,7,36,142,21,23,15,584,18,3,31
50869-1,U-937,1,36,-7,16,22,45,14,1568,42,51,24,797,-12,1041,17
50869-1,U-937,1,15,-33,3,12,12,42,94,53,30,24,522,-3,1152,-2
50869-1,U-937,1,8,16,41,30,56,58,773,75,59,-14,622,46,786,1
50869-1,U-937,1,-5,4,16,10,27,31,2068,47,66,77,677,86,42,-15
50869-1,U-937,1,24,12,10,15,14,23,1375,23,32,32,770,58,937,8
50869-1,U-937,1,38,13,4,0,55,3,130,35,29,19,135,20,45,270
50869-1,U-937,1,24,31,6,-7,34,-1,129,6,6,6,133,-7,9,13
50869-1,U-937,1,33,0,14,-2,34,28,6473,7,25,37,526,22,1224,5
50869-1,U-937,1,-46,19,16,52,67,88,107,-9,21,-10,82,50,-1,-6
50869-1,U-937,1,57,19,14,35,61,72,95,15,40,7,139,31,-24,14
50869-1,U-937,1,31,12,-3,25,13,46,61,11,50,46,134,5,-4,-5
50869-1,U-937,1,18,-5,8,42,32,7,22,14,4,25,284,34,46,16
50869-1,U-937,1,25,0,11,18,29,63,68,21,54,20,534,1,10,-14
50869-1,U-937,1,30,-12,25,30,38,56,56,43,14,24,223,-3,7,16
50869-1,U-937,1,30,8,19,29,27,41,11,26,34,21,91,-10,-4,30
50869-1,U-937,1,40,43,24,-19,32,81,72,29,9,66,640,45,489,41
50869-1,U-937,1,72,15,-17,29,42,56,-9,40,22,33,381,24,564,17
50869-1,U-937,1,-3,-6,-14,9,21,16,144,23,41,22,297,-24,933,48
50869-1,U-937,1,34,17,-7,25,28,71,130,13,40,73,1094,47,664,9
50869-1,U-937,1,28,32,6,9,48,60,61,24,71,19,161,7,26,37
50869-1,U-937,1,42,-10,13,13,47,50,7,4,-14,58,229,-24,386,31
50869-1,U-937,1,27,-24,38,35,25,46,16,39,54,32,164,-7,758,45
50869-1,U-937,1,-12,7,-2,-9,-10,5,-6,-2,-8,-26,-29,-18,11,-15
50869-1,U-937,1,61,2,12,27,2,38,8,6,54,52,1019,-7,655,29
50869-1,U-937,1,81,-8,18,0,67,95,55,45,60,46,369,-5,91,32
50869-1,U-937,1,-8,7,37,0,28,22,268,-17,48,-3,406,15,174,17
50869-1,U-937,1,29,14,1,24,26,29,231,1,43,-10,132,1,47,30
50869-1,U-937,1,43,33,-17,3,50,13,380,38,7,39,107,1,79,21
50869-1,U-937,1,4,-9,64,-18,12,21,440,13,32,19,267,-20,132,-4
50869-1,U-937,1,-12,0,22,-4,18,4,4213,-11,27,67,531,-13,2588,-28
50869-1,U-937,1,36,1,24,-7,42,5,178,12,129,70,216,-13,67,34
50869-1,U-937,1,52,10,25,12,15,38,112,13,33,-11,121,18,15,-13
50869-1,U-937,1,7,0,16,13,27,27,-15,10,6,15,204,-21,1095,22
50869-1,U-937,1,32,8,7,18,21,52,-20,16,-9,38,289,-16,1923,4
50869-1,U-937,1,28,-10,6,21,24,32,-14,19,19,27,357,-19,1076,22
50869-1,U-937,1,-1,19,10,23,15,-2,-16,0,5,6,140,-13,98,5
50869-1,U-937,1,33,16,32,20,8,22,-11,29,13,5,121,-4,31,15
50869-1,U-937,1,38,-7,1,5,27,31,105,44,32,40,321,-1,462,8
50869-1,U-937,1,16,8,13,22,52,42,72,27,0,10,108,15,193,41
50869-1,U-937,1,42,5,7,47,24,72,47,18,61,29,1159,16,465,57
50869-1,U-937,1,24,2,3,51,61,53,671,27,1,12,99,-28,2804,16
50869-1,U-937,1,63,19,10,18,39,55,118,64,85,46,142,11,25,9
50869-1,U-937,1,10,-8,14,20,76,71,40,36,36,1,186,-10,49,35
50869-1,U-937,1,69,3,71,78,62,21,62,6,27,26,663,36,392,17
50869-1,U-937,1,73,27,26,20,46,49,1058,39,93,23,311,33,1680,28
50869-1,U-937,1,56,3,1,22,5,57,72,39,54,6,562,-4,134,13
50869-1,U-937,1,29,6,13,3,53,21,186,21,27,21,146,-43,83,24
50869-1,U-937,1,32,-14,1,26,26,47,11321,51,63,61,2332,2,1303,33
50869-1,U-937,1,33,-20,-6,68,17,1,108,-3,11,16,194,-23,28,18
50869-1,U-937,1,17,13,9,17,66,42,312,49,25,14,183,1,1810,-1
50869-1,U-937,1,45,7,-4,12,30,47,160,44,34,42,265,17,56,-3
50869-1,U-937,1,16,-14,15,23,20,24,1152,10,16,5,862,26,1290,17
50869-1,U-937,1,47,6,20,-8,-17,24,820,29,46,81,2372,38,109,-37
50869-1,U-937,1,11,-16,-2,37,77,28,99,19,28,3,360,7,-2,-6
50869-1,U-937,1,75,5,29,3,39,43,2342,62,106,65,2317,18,70,37
50869-1,U-937,1,74,-7,-2,41,25,32,66,9,32,17,548,1,633,44
50869-1,U-937,1,67,-36,19,-3,54,60,1388,38,57,66,701,66,56,25
50869-1,U-937,1,52,29,45,21,52,51,171,73,19,15,868,24,265,28
50869-1,U-937,1,47,7,-13,45,-10,38,50,-16,35,22,114,18,14,9
50869-1,U-937,1,27,-2,22,9,36,32,28,21,52,23,84,-24,25,8
50869-1,U-937,1,61,55,51,26,55,59,222,57,58,49,2356,1,619,11
50869-1,U-937,1,42,13,3,-5,17,-4,2630,33,64,31,2995,85,12,3
50869-1,U-937,1,53,-7,0,20,70,14,1238,41,69,461,10836,38,23,-13
50869-1,U-937,1,50,8,36,40,54,107,11606,29,63,57,8229,-18,1108,30
50869-1,U-937,1,16,-1,16,60,40,75,47,11,27,29,3439,-61,1311,45
50869-1,U-937,1,6,6,23,17,37,41,77,12,24,8,478,12,70,8
50869-1,U-937,1,-2,-6,12,34,49,79,1353,1,29,53,1494,46,821,17
50869-1,U-937,1,10,10,9,2,24,66,34,13,33,-45,1294,-51,698,0
50869-1,U-937,1,20,9,17,51,46,29,116,22,51,15,3185,-33,823,9
50869-1,U-937,1,12,0,55,79,14,50,128,45,29,-12,2207,26,16,24
50869-1,U-937,1,64,-9,29,64,79,64,206,33,63,48,3544,-17,813,20
50869-1,U-937,1,36,1,28,38,12,35,89,39,61,37,344,-12,7,11
50869-1,U-937,1,6,-19,3,31,54,31,109,-17,24,2,6188,-103,217,3
50869-1,U-937,1,124,42,35,2,36,75,430,59,100,1268,7556,125,33,27
50869-1,U-937,1,7,25,25,35,78,52,93,53,8,135,7303,-11,288,8
50869-1,U-937,1,-29,-3,47,65,43,-27,-13,-43,-21,45,5423,-64,42,25
50869-1,U-937,1,35,-5,76,36,104,115,851,38,62,80,2676,20,1401,18
50869-1,U-937,1,8,9,77,15,68,68,-2,30,44,10,1682,-52,1890,3
50869-1,U-937,1,63,43,39,23,82,102,79,46,78,58,528,25,91,1
50869-1,U-937,1,40,-6,59,54,65,128,250,77,128,39,1427,43,236,28
50869-1,U-937,1,38,15,63,54,74,46,50,28,55,26,1107,-38,901,5
50869-1,U-937,1,98,15,35,34,40,86,39,53,48,31,1831,46,310,54
50869-1,U-937,1,-20,-10,14,36,79,46,1,-25,-18,-21,159,-3,4,32
50869-1,U-937,1,30,8,32,31,74,41,29,-24,1,8,547,-19,27,40
50869-1,U-937,1,11,32,10,32,37,58,73,-5,31,19,626,33,69,25
50869-1,U-937,1,-5,32,12,27,71,52,64,8,9,27,503,-30,327,11
50869-1,U-937,1,47,2,15,-16,55,44,96,-3,56,82,1180,40,265,13
50869-1,U-937,1,0,-6,65,63,54,43,41,-2,14,16,2763,-65,888,27
50869-1,U-937,1,37,-5,24,54,28,78,126,20,34,-1,398,7,82,27
50869-1,U-937,1,38,-36,24,30,42,38,29,14,15,41,392,-6,7,-16
50869-1,U-937,1,86,-13,10,11,75,44,114,1,53,93,654,29,165,-15
50869-1,U-937,1,15,-31,47,19,28,28,81,42,4,58,482,-9,1527,-6
50869-1,U-937,1,58,1,20,103,13,133,71,50,40,68,1958,15,151,0
50869-1,U-937,1,47,29,20,35,51,64,8387,-8,37,32,4565,23,945,-7
50869-1,U-937,1,68,-29,2,-4,98,117,1223,25,57,-4,1750,69,1154,45
50869-1,U-937,1,39,38,31,103,69,69,250,-12,12,36,609,6,746,1
50869-1,U-937,1,-12,18,22,37,45,25,290,6,0,39,342,-9,279,13
50869-1,U-937,1,53,53,4,85,137,77,351,50,70,31,324,-60,44,-2
50869-1,U-937,1,71,13,59,83,154,73,1601,50,51,102,1631,0,593,16
50869-1,U-937,1,20,37,19,70,63,73,435,106,87,35,1962,-26,418,7
50869-1,U-937,1,96,-37,-9,36,51,113,697,70,89,81,3520,9,139,-10
50869-1,U-937,1,70,-13,69,99,84,99,1052,20,56,52,1904,-47,2118,-2
50869-1,U-937,1,19,-15,16,70,54,113,414,66,54,20,1212,-3,870,-40
50869-1,U-937,1,117,-1,31,70,93,161,696,118,61,129,3615,42,3091,35
50869-1,U-937,1,123,24,33,55,120,85,477,136,78,62,2861,-34,444,18
50869-1,U-937,1,38,3,43,80,76,83,585,-39,41,47,689,-38,127,-27
50869-1,U-937,1,94,-3,68,115,95,121,671,66,139,84,2249,3,440,34
50869-1,U-937,1,-14,17,54,85,103,79,3754,-8,100,41,1294,15,1932,33
50869-1,U-937,1,37,38,-13,93,68,41,264,52,-10,35,1801,-98,751,49
50869-1,U-937,1,50,-21,2,53,141,83,635,42,48,46,1953,18,350,-4
50869-1,U-937,1,153,2,32,42,112,84,13815,96,79,910,3117,177,7399,151
50869-1,U-937,1,67,11,58,125,126,31,256,81,43,28,1480,-40,429,43
50869-1,U-937,1,90,19,65,66,147,71,464,58,111,88,1045,24,121,52
50869-1,U-937,1,81,-11,-23,23,97,53,2162,45,92,166,3324,82,78,17
50869-1,U-937,1,52,4,41,55,89,106,385,65,27,63,1719,13,202,31
50869-1,U-937,1,96,-4,17,41,80,113,600,55,99,54,2116,50,83,38
50869-1,U-937,1,90,29,100,74,106,47,261,80,90,142,4221,-1,241,26
50869-1,U-937,1,73,25,65,44,94,32,497,38,88,62,1780,-58,508,54
50869-1,U-937,1,43,11,58,76,65,99,599,74,63,107,2514,-53,849,38
50869-1,U-937,1,6,53,67,18,107,60,386,-35,-18,24,2553,-59,512,36
50869-1,U-937,1,41,11,5,59,147,34,562,54,66,189,1087,-15,128,18
50869-1,U-937,1,33,12,36,71,100,52,12555,14,58,901,4659,22,1232,29
50869-1,U-937,1,2,2,-40,30,16,24,546,42,20,67,2637,-6,89,-46
50869-1,U-937,1,16,31,-2,24,63,72,433,62,63,21,1361,-30,126,15
50869-1,U-937,1,-15,20,27,69,114,-18,374,92,112,23,1533,-25,409,-13
50869-1,U-937,1,26,-15,45,70,104,68,609,44,46,69,3241,-65,188,-1
50869-1,U-937,1,-10,2,-6,17,70,-17,11001,-16,5,75,2076,17,1184,-30
50869-1,U-937,1,20,2,29,120,5,16,540,29,52,59,689,-52,145,33
50869-1,U-937,1,42,-3,38,43,113,78,792,35,35,52,1057,-17,163,63
50869-1,U-937,1,22,29,10,96,87,63,298,-32,25,36,453,-16,120,31
50869-1,U-937,1,51,-2,33,68,56,29,2962,31,82,62,740,-14,468,-19
50869-1,U-937,1,-23,198,3,33,38,38,637,33,73,50,1839,-28,110,51
50869-1,U-937,1,70,47,52,77,45,64,3346,0,26,35,1022,-25,1272,20
50869-1,U-937,1,43,7,-7,-60,54,45,1661,19,48,26,2293,70,37,26
50869-1,U-937,1,21,29,68,35,58,65,9650,50,47,123,2029,59,1249,5
50869-1,U-937,1,32,-20,21,63,50,68,306,66,104,48,1256,38,248,60
50869-1,U-937,1,-10,16,-13,7,56,23,223,14,31,43,122,-30,63,16
50869-1,U-937,1,15,5,13,-5,34,56,501,17,24,21,187,33,70,1
50869-1,U-937,1,15,53,5,-16,0,50,552,14,19,15,204,53,46,-8
50869-1,U-937,1,-7,-8,-16,-3,35,40,541,16,11,-31,184,5,32,19
50869-1,U-937,1,-5,-2,23,8,23,44,575,21,29,32,229,15,45,0
50869-1,U-937,1,14,-21,20,32,36,37,446,17,44,30,187,28,114,21
50869-1,U-937,1,12,-29,-20,21,69,0,352,14,39,20,247,5,-2,-12
50869-1,U-937,1,-4,5,12,-9,70,14,360,23,2,9,197,-10,118,-31
50869-1,U-937,1,6,7,-36,3,79,51,204,2,11,37,228,28,202,-5
50869-1,U-937,1,9,-8,28,20,25,57,506,13,15,20,716,-24,2152,-9
50869-1,U-937,1,34,13,-12,30,33,32,274,30,62,7,351,14,5,36
50869-1,U-937,1,17,-17,10,-14,45,81,2488,14,56,26,1502,43,4928,33
50869-1,U-937,1,22,3,38,9,5,29,197,15,20,40,433,35,2,17
50869-1,U-937,1,35,6,19,28,23,52,127,-9,41,12,970,-36,1328,7
50869-1,U-937,1,16,-5,10,42,72,45,37,55,37,-30,64,-29,114,14
50869-1,U-937,1,53,-3,-2,24,41,44,107,44,33,53,429,5,214,-13
50869-1,U-937,1,10,11,15,-32,4,13,60,-12,20,28,76,-20,32,0
50869-1,U-937,1,43,1,24,-1,39,77,154,50,65,57,420,-11,72,22
50869-1,U-937,1,15,38,14,-4,70,79,142,11,36,25,197,18,1,37
50869-1,U-937,1,59,16,-16,36,48,12,152,4,34,45,212,24,6,26
50869-1,U-937,1,63,8,27,3,36,6,1451,48,69,33,551,41,1973,22
50869-1,U-937,1,2,-20,12,-10,38,77,742,50,32,58,534,33,8649,12
50869-1,U-937,1,48,-11,-14,19,26,79,189,55,56,29,185,16,18,39
50869-1,U-937,1,50,-1,15,21,53,83,1797,21,59,21,1078,19,977,13
50869-1,U-937,1,46,11,12,20,40,72,786,106,26,25,1084,49,3227,-2
50869-1,U-937,1,38,20,28,16,44,21,446,49,39,53,239,2,916,-9
50869-1,U-937,1,43,3,-3,21,44,44,83,11,30,34,175,-6,38,-1
50869-1,U-937,1,1,-3,43,-13,60,80,274,41,10,23,228,3,2349,4
50869-1,U-937,1,93,19,37,-6,53,119,233,6,64,23,175,68,11,29
50869-1,U-937,1,18,7,63,1,61,90,10488,39,40,34,2552,-18,3904,11
50869-1,U-937,1,20,25,25,8,73,70,4231,96,79,351,6065,84,2609,2
50869-1,U-937,1,20,16,24,19,45,72,948,52,57,22,357,36,1931,29
50869-1,U-937,1,72,6,-5,32,11,43,9755,17,94,38,4644,-53,2158,30
50869-1,U-937,1,105,28,-8,16,36,39,205,30,79,61,991,28,146,6
50869-1,U-937,1,53,9,5,31,19,80,187,35,97,77,951,13,152,33
50869-1,U-937,1,69,1,37,33,31,4,98,60,42,46,303,20,85,17
50869-1,U-937,1,20,11,16,37,51,62,14,7,52,53,1388,-5,130,10
50869-1,U-937,1,80,13,32,35,15,36,86,33,54,28,325,-3,2494,20
50869-1,U-937,1,85,20,23,32,36,10,159,51,76,25,317,39,107,12
50869-1,U-937,1,57,21,8,53,46,87,172,41,38,43,4193,40,361,19
50869-1,U-937,1,71,-6,13,-10,49,86,898,60,44,44,1893,30,126,21
50869-1,U-937,1,26,-10,25,9,36,51,78,20,-8,3,2530,7,711,12
50869-1,U-937,1,25,-14,39,45,42,76,131,49,66,56,2622,1,390,16
50869-1,U-937,1,35,9,17,6,80,54,3023,15,58,38,1772,-52,703,-4
50869-1,U-937,1,-8,27,-10,39,67,62,1392,36,22,42,3259,-16,1188,15
50869-1,U-937,1,55,13,27,18,37,44,1507,63,46,26,980,-33,850,54
50869-1,U-937,1,51,19,23,27,71,66,3329,76,61,57,2243,24,1239,21
50869-1,U-937,1,77,14,12,32,66,80,406,49,43,48,4648,7,574,30
50869-1,U-937,1,44,16,23,44,62,54,1769,5,73,71,5641,20,1036,46
50869-1,U-937,1,50,5,50,17,85,63,5058,2,47,164,4310,46,2015,18
50869-1,U-937,1,57,6,-4,93,33,68,303,46,61,24,877,-13,1404,19
50869-1,U-937,1,71,31,54,97,77,109,1651,42,45,85,1662,103,591,72
50869-1,U-937,1,98,45,74,83,122,182,3398,84,158,95,2720,24,359,73
50869-1,U-937,1,-35,-40,102,9,107,96,2738,35,121,1310,14832,120,4261,-14
50869-1,U-937,1,93,-5,57,81,101,100,13891,84,70,123,4044,-49,3004,69
50869-1,U-937,1,58,0,11,64,127,53,1475,38,51,95,1989,-13,945,58
