Cell Line HMS LINCS ID,Cell Line Name,Cell Count,FI_GMCSF,FI_IFN-y,FI_IL-1B,FI_IL-2,FI_IL-4,FI_IL-6,FI_IL-8,FI_IL-10,FI_IL-12,FI_MCP-1,FI_RANTES,FI_TGF-a,FI_TNF-a,FI_TNF-b
50869-1,U-937,1,0,19,0,-18,20,21,1013,40,28,47,1752,28,913,-21
50869-1,U-937,1,-3,5,17,-3,-15,46,499,22,3,32,1911,-51,1522,7
50869-1,U-937,1,16,-7,46,-28,37,52,589,12,47,32,463,3,13,1
50869-1,U-937,1,17,42,6,20,35,46,2128,36,37,11,2250,1,522,3
50869-1,U-937,1,2,-2,-14,-44,1,21,423,-12,21,33,132,2,12,16
50869-1,U-937,1,23,19,-1,25,19,34,238,6,34,22,229,0,25,23
50869-1,U-937,1,32,88,4,52,19,22,186,30,3,-3,223,4,148,53
50869-1,U-937,1,82,27,21,30,23,17,46,15,6,-7,205,-31,822,18
50869-1,U-937,1,59,32,28,44,1,31,181,35,27,21,609,-13,196,39
50869-1,U-937,1,67,3,-10,8,1,8,721,13,32,106,1009,-54,83,1
50869-1,U-937,1,104,8,14,27,19,53,232,32,15,31,742,7,41,27
50869-1,U-937,1,44,-16,24,51,6,29,130,46,15,39,99,5,13,6
50869-1,U-937,1,63,-3,-2,20,3,86,202,43,-9,83,119,18,-11,-9
50869-1,U-937,1,59,-1,2,1,-15,73,197,44,64,66,517,-6,238,-2
50869-1,U-937,1,31,11,23,29,7,35,116,18,0,36,160,1,18,22
50869-1,U-937,1,55,6,38,12,5,22,68,34,51,18,190,39,47,12
50869-1,U-937,1,-5,27,-5,-1,15,21,27,4,32,24,321,23,483,-11
50869-1,U-937,1,36,12,15,-4,12,29,52,-22,20,36,212,-18,47,4
50869-1,U-937,1,58,7,37,23,51,52,119,36,3,39,210,0,348,11
50869-1,U-937,1,-7,11,6,-6,-24,0,21,46,14,0,193,-5,166,28
50869-1,U-937,1,28,5,66,5,33,45,72,-5,14,36,318,31,184,-12
50869-1,U-937,1,45,47,34,39,44,42,103,-36,20,55,779,-9,101,25
50869-1,U-937,1,45,24,32,38,11,25,74,-27,14,8,89,0,1,20
50869-1,U-937,1,52,26,-2,16,15,18,51,10,-5,22,106,-5,1,-22
50869-1,U-937,1,89,0,16,24,19,29,342,17,45,39,849,-4,254,24
50869-1,U-937,1,24,48,16,11,18,28,4148,24,6,203,2013,7,53,21
50869-1,U-937,1,38,20,-23,37,34,14,454,6,5,58,2140,5,17,8
50869-1,U-937,1,-8,-8,7,10,23,38,2118,10,-18,64,1736,2,13,4
50869-1,U-937,1,98,-7,23,45,1,26,423,33,44,48,411,-37,134,0
50869-1,U-937,1,80,18,12,92,37,56,5419,28,49,73,2172,43,977,24
50869-1,U-937,1,52,27,27,39,-24,68,5794,8,62,32,1701,29,603,21
50869-1,U-937,1,31,14,39,45,13,43,287,64,27,48,1845,-16,288,1
50869-1,U-937,1,57,27,22,27,14,30,1866,48,23,32,1784,8,58,4
50869-1,U-937,1,28,12,-21,34,-3,40,1223,36,55,51,1487,-24,653,-18
50869-1,U-937,1,22,11,-14,13,6,-3,527,10,-13,416,4623,-10,90,3
50869-1,U-937,1,5,-7,-3,-6,-4,52,927,27,58,600,3801,-25,189,0
50869-1,U-937,1,18,-4,15,3,10,15,586,42,30,20,5454,-13,245,28
50869-1,U-937,1,33,-8,31,19,-14,29,479,47,47,-2,4409,-19,1234,-4
50869-1,U-937,1,49,0,-3,-12,17,20,1095,24,51,496,6856,21,937,7
50869-1,U-937,1,17,23,-6,-4,8,21,469,13,-2,64,1347,-31,50,-22
50869-1,U-937,1,26,12,34,3,18,608,10290,10,42,58,1102,-53,7105,-16
50869-1,U-937,1,79,32,22,-3,32,27,779,28,48,8,2012,-9,123,19
50869-1,U-937,1,14,-8,28,42,34,41,602,-6,30,23,1401,-10,282,16
50869-1,U-937,1,11,18,16,24,47,21,619,16,28,5,544,-7,667,11
50869-1,U-937,1,0,-4,26,14,-14,46,246,16,14,18,1033,-16,1984,-1
50869-1,U-937,1,-2,-3,9,18,31,69,348,17,12,65,402,-20,410,6
50869-1,U-937,1,7,19,30,-8,5,5,229,24,-7,5,771,-14,1051,-1
50869-1,U-937,1,-9,7,23,-1,24,22,296,7,-7,20,224,-42,2867,13
50869-1,U-937,1,37,25,4,20,22,57,145,16,16,-16,237,-9,0,-10
50869-1,U-937,1,21,39,44,65,-13,30,910,29,51,80,1907,7,1393,40
