Cell Line HMS LINCS ID,Cell Line Name,Time Point,Time Point Unit,Variable,PC1 Loading,PC2 Loading
50112,C32,48,hr,p-p90RSK(T573),-0.23117,-1.26180
50112,C32,48,hr,p-AKT(T308),-1.38240,-0.71257
50112,C32,48,hr,p-AKT(S473),-0.06169,0.24372
50112,C32,48,hr,p-mTOR(S2448),NaN,NaN
50112,C32,48,hr,p-p70S6K(T421/S424),1.45920,0.03585
50112,C32,48,hr,p-p70S6K(T389),NaN,NaN
50112,C32,48,hr,p-S6(S235/236),2.80110,0.52063
50112,C32,48,hr,p-AMPK(T172),-2.48460,-0.50713
50112,C32,48,hr,p-JNK(T183/Y185),-0.21890,-0.72903
50112,C32,48,hr,Total c-Jun,0.28580,0.66921
50112,C32,48,hr,p-cJun(S63),NaN,NaN
50112,C32,48,hr,p-P38(T180/Y182),-0.73956,-0.55135
50112,C32,48,hr,p-HSP27(S82),NaN,NaN
50112,C32,48,hr,p-NFKB(S536),0.18830,0.73950
50112,C32,48,hr,Bim,-2.68240,-0.47847
50112,C32,48,hr,cPARP,-2.89870,-1.43150
50112,C32,48,hr,p-Histone H3(S10),5.71940,1.28640
50112,C32,48,hr,p27 Kip1,-2.36070,-0.94268
50149,COLO 858,1,hr,pMEK(S217/221),3.82990,2.66990
50149,COLO 858,1,hr,pERK(T202/Y204),12.50400,-0.90222
50149,COLO 858,1,hr,p-p90RSK(S380),0.47004,0.11736
50149,COLO 858,1,hr,p-p90RSK(T573),0.62030,-0.23203
50149,COLO 858,1,hr,p-AKT(T308),1.17420,-0.87423
50149,COLO 858,1,hr,p-AKT(S473),0.69756,-0.71854
50149,COLO 858,1,hr,p-mTOR(S2448),0.77642,-0.09959
50149,COLO 858,1,hr,p-p70S6K(T421/S424),1.62610,0.13255
50149,COLO 858,1,hr,p-p70S6K(T389),0.03065,0.40397
50149,COLO 858,1,hr,p-S6(S235/236),2.22050,-0.56086
50149,COLO 858,1,hr,p-AMPK(T172),0.21348,0.11065
50149,COLO 858,1,hr,p-JNK(T183/Y185),0.57658,-0.03524
50149,COLO 858,1,hr,Total c-Jun,2.08940,-0.11417
50149,COLO 858,1,hr,p-cJun(S63),0.99136,-0.42151
50149,COLO 858,1,hr,p-P38(T180/Y182),3.30130,0.90980
50149,COLO 858,1,hr,p-HSP27(S82),0.22950,0.02995
50149,COLO 858,1,hr,p-NFKB(S536),0.75914,-0.50125
50149,COLO 858,1,hr,Bim,2.01710,-1.17000
50149,COLO 858,1,hr,cPARP,1.06030,-0.72282
50149,COLO 858,1,hr,p-Histone H3(S10),0.59000,-0.69893
50149,COLO 858,1,hr,p27 Kip1,0.63745,0.21879
50149,COLO 858,5,hr,pMEK(S217/221),2.16380,1.40920
50149,COLO 858,5,hr,pERK(T202/Y204),6.41020,-2.35040
50149,COLO 858,5,hr,p-p90RSK(S380),-0.44924,-0.68745
50149,COLO 858,5,hr,p-p90RSK(T573),-1.55450,-1.09160
50149,COLO 858,5,hr,p-AKT(T308),-2.31750,-1.28180
50149,COLO 858,5,hr,p-AKT(S473),-3.01000,-1.17560
50149,COLO 858,5,hr,p-mTOR(S2448),-1.53260,-1.13250
50149,COLO 858,5,hr,p-p70S6K(T421/S424),-1.01780,-1.25000
50149,COLO 858,5,hr,p-p70S6K(T389),1.04630,-0.45845
50149,COLO 858,5,hr,p-S6(S235/236),2.45650,0.20765
50149,COLO 858,5,hr,p-AMPK(T172),-0.81962,-1.10390
50149,COLO 858,5,hr,p-JNK(T183/Y185),-1.51330,-0.98711
50149,COLO 858,5,hr,Total c-Jun,-0.12139,-0.41216
50149,COLO 858,5,hr,p-cJun(S63),-0.71648,-0.37460
50149,COLO 858,5,hr,p-P38(T180/Y182),-0.47735,0.95568
50149,COLO 858,5,hr,p-HSP27(S82),0.08489,-0.69765
50149,COLO 858,5,hr,p-NFKB(S536),-0.36829,-0.24340
50149,COLO 858,5,hr,Bim,-2.56010,-1.58120
50149,COLO 858,5,hr,cPARP,-1.73090,-0.15150
50149,COLO 858,5,hr,p-Histone H3(S10),-1.59700,-0.22481
50149,COLO 858,5,hr,p27 Kip1,-1.52820,-1.37250
50149,COLO 858,10,hr,pMEK(S217/221),4.40250,1.94370
50149,COLO 858,10,hr,pERK(T202/Y204),12.92900,-1.04130
50149,COLO 858,10,hr,p-p90RSK(S380),0.92633,-0.23783
50149,COLO 858,10,hr,p-p90RSK(T573),0.51395,-0.86021
50149,COLO 858,10,hr,p-AKT(T308),0.57911,-0.87183
50149,COLO 858,10,hr,p-AKT(S473),0.23483,-0.98610
50149,COLO 858,10,hr,p-mTOR(S2448),0.83416,-0.75395
50149,COLO 858,10,hr,p-p70S6K(T421/S424),1.70800,-0.85358
50149,COLO 858,10,hr,p-p70S6K(T389),1.83820,-0.01272
50149,COLO 858,10,hr,p-S6(S235/236),7.34130,0.20442
50149,COLO 858,10,hr,p-AMPK(T172),1.75930,-0.34219
50149,COLO 858,10,hr,p-JNK(T183/Y185),0.41111,-0.50502
50149,COLO 858,10,hr,Total c-Jun,2.95680,-0.12191
50149,COLO 858,10,hr,p-cJun(S63),1.01350,-0.38110
50149,COLO 858,10,hr,p-P38(T180/Y182),2.62340,0.86053
50149,COLO 858,10,hr,p-HSP27(S82),0.09046,-0.22953
50149,COLO 858,10,hr,p-NFKB(S536),2.47130,-0.76557
50149,COLO 858,10,hr,Bim,-0.23085,-1.16470
50149,COLO 858,10,hr,cPARP,1.47780,-0.42932
50149,COLO 858,10,hr,p-Histone H3(S10),0.72294,-0.45642
50149,COLO 858,10,hr,p27 Kip1,-0.44752,-0.96292
50149,COLO 858,24,hr,pMEK(S217/221),3.31280,1.63530
50149,COLO 858,24,hr,pERK(T202/Y204),5.07030,-1.90490
50149,COLO 858,24,hr,p-p90RSK(S380),-0.26238,-0.25880
50149,COLO 858,24,hr,p-p90RSK(T573),-0.52574,-0.62227
50149,COLO 858,24,hr,p-AKT(T308),-3.39600,-0.51217
50149,COLO 858,24,hr,p-AKT(S473),-2.96270,-0.36599
50149,COLO 858,24,hr,p-mTOR(S2448),-0.66628,-0.73247
50149,COLO 858,24,hr,p-p70S6K(T421/S424),0.09485,-0.58913
50149,COLO 858,24,hr,p-p70S6K(T389),2.34360,-0.18622
50149,COLO 858,24,hr,p-S6(S235/236),7.59350,0.55136
50149,COLO 858,24,hr,p-AMPK(T172),-0.57698,-0.62992
50149,COLO 858,24,hr,p-JNK(T183/Y185),-2.60770,-0.69431
50149,COLO 858,24,hr,Total c-Jun,-1.56820,-0.92227
50149,COLO 858,24,hr,p-cJun(S63),-1.45390,-0.76056
