Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration (uM),Time Point (hr),Total Cell Count Before Treatment,Total Cell Count After Treatment,Total Control Cell Count,Relative Cell Count,Normalized Growth Rate Inhibition Value,Assay Plate,Assay Well
51124-1,MCF 10A-H2B-mCherry,,,0,2.49,771.67,876,867,1.0095,1.1150,MN20160304_L01,C17
51124-1,MCF 10A-H2B-mCherry,,,0,2.49,771.67,877,867,1.0107,1.1293,MN20160304_L01,D21
51124-1,MCF 10A-H2B-mCherry,,,0,2.49,771.67,896,867,1.0326,1.4166,MN20160304_L01,D22
51124-1,MCF 10A-H2B-mCherry,,,0,2.49,771.67,975,867,1.1236,2.9808,MN20160304_L01,E04
51124-1,MCF 10A-H2B-mCherry,,,0,2.49,771.67,835,867,0.9623,0.5935,MN20160304_L01,F09
51124-1,MCF 10A-H2B-mCherry,,,0,2.49,771.67,901,867,1.0383,1.4974,MN20160304_L01,F16
51124-1,MCF 10A-H2B-mCherry,,,0,2.49,771.67,823,867,0.9484,0.4629,MN20160304_L01,F17
51124-1,MCF 10A-H2B-mCherry,,,0,2.49,771.67,739,867,0.8516,-0.2255,MN20160304_L01,F18
51124-1,MCF 10A-H2B-mCherry,,,0,2.49,771.67,835,867,0.9623,0.5935,MN20160304_L01,G12
51124-1,MCF 10A-H2B-mCherry,,,0,2.49,771.67,763,867,0.8793,-0.0646,MN20160304_L01,G14
51124-1,MCF 10A-H2B-mCherry,,,0,2.49,771.67,837,867,0.9646,0.6161,MN20160304_L01,H09
51124-1,MCF 10A-H2B-mCherry,,,0,2.49,771.67,885,867,1.0199,1.2466,MN20160304_L01,K05
51124-1,MCF 10A-H2B-mCherry,,,0,2.49,771.67,952,867,1.0971,2.4572,MN20160304_L01,K09
51124-1,MCF 10A-H2B-mCherry,,,0,2.49,771.67,940,867,1.0833,2.2077,MN20160304_L01,K16
51124-1,MCF 10A-H2B-mCherry,,,0,4.71,771.67,965,956,1.0090,1.0588,MN20160304_L01,C17
51124-1,MCF 10A-H2B-mCherry,,,0,4.71,771.67,976,956,1.0205,1.1356,MN20160304_L01,D21
51124-1,MCF 10A-H2B-mCherry,,,0,4.71,771.67,968,956,1.0122,1.0796,MN20160304_L01,D22
51124-1,MCF 10A-H2B-mCherry,,,0,4.71,771.67,1111,956,1.1617,2.2453,MN20160304_L01,E04
51124-1,MCF 10A-H2B-mCherry,,,0,4.71,771.67,901,956,0.9421,0.6495,MN20160304_L01,F09
51124-1,MCF 10A-H2B-mCherry,,,0,4.71,771.67,983,956,1.0278,1.1855,MN20160304_L01,F16
51124-1,MCF 10A-H2B-mCherry,,,0,4.71,771.67,942,956,0.9850,0.9045,MN20160304_L01,F17
51124-1,MCF 10A-H2B-mCherry,,,0,4.71,771.67,818,956,0.8553,0.2072,MN20160304_L01,F18
51124-1,MCF 10A-H2B-mCherry,,,0,4.71,771.67,902,956,0.9431,0.6555,MN20160304_L01,G12
51124-1,MCF 10A-H2B-mCherry,,,0,4.71,771.67,874,956,0.9139,0.4951,MN20160304_L01,G14
51124-1,MCF 10A-H2B-mCherry,,,0,4.71,771.67,946,956,0.9892,0.9308,MN20160304_L01,H09
51124-1,MCF 10A-H2B-mCherry,,,0,4.71,771.67,969,956,1.0132,1.0865,MN20160304_L01,K05
51124-1,MCF 10A-H2B-mCherry,,,0,4.71,771.67,1080,956,1.1293,1.9618,MN20160304_L01,K09
51124-1,MCF 10A-H2B-mCherry,,,0,4.71,771.67,1053,956,1.1010,1.7293,MN20160304_L01,K16
51124-1,MCF 10A-H2B-mCherry,,,0,6.94,771.67,1096,1045,1.0487,1.2295,MN20160304_L01,C17
51124-1,MCF 10A-H2B-mCherry,,,0,6.94,771.67,1063,1045,1.0171,1.0790,MN20160304_L01,D21
51124-1,MCF 10A-H2B-mCherry,,,0,6.94,771.67,1053,1045,1.0075,1.0346,MN20160304_L01,D22
51124-1,MCF 10A-H2B-mCherry,,,0,6.94,771.67,1185,1045,1.1338,1.6649,MN20160304_L01,E04
51124-1,MCF 10A-H2B-mCherry,,,0,6.94,771.67,988,1045,0.9453,0.7589,MN20160304_L01,F09
51124-1,MCF 10A-H2B-mCherry,,,0,6.94,771.67,1058,1045,1.0123,1.0567,MN20160304_L01,F16
51124-1,MCF 10A-H2B-mCherry,,,0,6.94,771.67,1006,1045,0.9626,0.8330,MN20160304_L01,F17
51124-1,MCF 10A-H2B-mCherry,,,0,6.94,771.67,897,1045,0.8583,0.4105,MN20160304_L01,F18
51124-1,MCF 10A-H2B-mCherry,,,0,6.94,771.67,993,1045,0.9501,0.7793,MN20160304_L01,G12
51124-1,MCF 10A-H2B-mCherry,,,0,6.94,771.67,958,1045,0.9166,0.6393,MN20160304_L01,G14
51124-1,MCF 10A-H2B-mCherry,,,0,6.94,771.67,1020,1045,0.9760,0.8918,MN20160304_L01,H09
51124-1,MCF 10A-H2B-mCherry,,,0,6.94,771.67,1072,1045,1.0257,1.1195,MN20160304_L01,K05
51124-1,MCF 10A-H2B-mCherry,,,0,6.94,771.67,1191,1045,1.1396,1.6958,MN20160304_L01,K09
51124-1,MCF 10A-H2B-mCherry,,,0,6.94,771.67,1159,1045,1.1090,1.5332,MN20160304_L01,K16
51124-1,MCF 10A-H2B-mCherry,,,0,9.16,771.67,1189,1138,1.0444,1.1608,MN20160304_L01,C17
51124-1,MCF 10A-H2B-mCherry,,,0,9.16,771.67,1154,1138,1.0136,1.0488,MN20160304_L01,D21
51124-1,MCF 10A-H2B-mCherry,,,0,9.16,771.67,1126,1138,0.9890,0.9610,MN20160304_L01,D22
51124-1,MCF 10A-H2B-mCherry,,,0,9.16,771.67,1262,1138,1.1085,1.4029,MN20160304_L01,E04
51124-1,MCF 10A-H2B-mCherry,,,0,9.16,771.67,1089,1138,0.9565,0.8477,MN20160304_L01,F09
51124-1,MCF 10A-H2B-mCherry,,,0,9.16,771.67,1159,1138,1.0180,1.0646,MN20160304_L01,F16
51124-1,MCF 10A-H2B-mCherry,,,0,9.16,771.67,1112,1138,0.9767,0.9178,MN20160304_L01,F17
51124-1,MCF 10A-H2B-mCherry,,,0,9.16,771.67,989,1138,0.8687,0.5562,MN20160304_L01,F18
51124-1,MCF 10A-H2B-mCherry,,,0,9.16,771.67,1081,1138,0.9495,0.8235,MN20160304_L01,G12
51124-1,MCF 10A-H2B-mCherry,,,0,9.16,771.67,1032,1138,0.9065,0.6788,MN20160304_L01,G14
51124-1,MCF 10A-H2B-mCherry,,,0,9.16,771.67,1108,1138,0.9732,0.9055,MN20160304_L01,H09
51124-1,MCF 10A-H2B-mCherry,,,0,9.16,771.67,1171,1138,1.0285,1.1029,MN20160304_L01,K05
51124-1,MCF 10A-H2B-mCherry,,,0,9.16,771.67,1289,1138,1.1322,1.4953,MN20160304_L01,K09
51124-1,MCF 10A-H2B-mCherry,,,0,9.16,771.67,1265,1138,1.1111,1.4131,MN20160304_L01,K16
51124-1,MCF 10A-H2B-mCherry,,,0,11.56,771.67,1306,1280,1.0198,1.0544,MN20160304_L01,C17
51124-1,MCF 10A-H2B-mCherry,,,0,11.56,771.67,1266,1280,0.9886,0.9688,MN20160304_L01,D21
51124-1,MCF 10A-H2B-mCherry,,,0,11.56,771.67,1248,1280,0.9745,0.9306,MN20160304_L01,D22
51124-1,MCF 10A-H2B-mCherry,,,0,11.56,771.67,1479,1280,1.1549,1.4357,MN20160304_L01,E04
51124-1,MCF 10A-H2B-mCherry,,,0,11.56,771.67,1223,1280,0.9550,0.8779,MN20160304_L01,F09
51124-1,MCF 10A-H2B-mCherry,,,0,11.56,771.67,1342,1280,1.0479,1.1323,MN20160304_L01,F16
51124-1,MCF 10A-H2B-mCherry,,,0,11.56,771.67,1279,1280,0.9987,0.9965,MN20160304_L01,F17
51124-1,MCF 10A-H2B-mCherry,,,0,11.56,771.67,1124,1280,0.8777,0.6730,MN20160304_L01,F18
51124-1,MCF 10A-H2B-mCherry,,,0,11.56,771.67,1190,1280,0.9292,0.8089,MN20160304_L01,G12
51124-1,MCF 10A-H2B-mCherry,,,0,11.56,771.67,1140,1280,0.8902,0.7057,MN20160304_L01,G14
51124-1,MCF 10A-H2B-mCherry,,,0,11.56,771.67,1264,1280,0.9870,0.9646,MN20160304_L01,H09
51124-1,MCF 10A-H2B-mCherry,,,0,11.56,771.67,1317,1280,1.0284,1.0781,MN20160304_L01,K05
51124-1,MCF 10A-H2B-mCherry,,,0,11.56,771.67,1439,1280,1.1237,1.3460,MN20160304_L01,K09
51124-1,MCF 10A-H2B-mCherry,,,0,11.56,771.67,1431,1280,1.1174,1.3281,MN20160304_L01,K16
51124-1,MCF 10A-H2B-mCherry,,,0,13.78,771.67,1513,1459,1.0365,1.0795,MN20160304_L01,C17
51124-1,MCF 10A-H2B-mCherry,,,0,13.78,771.67,1435,1459,0.9831,0.9632,MN20160304_L01,D21
51124-1,MCF 10A-H2B-mCherry,,,0,13.78,771.67,1410,1459,0.9659,0.9260,MN20160304_L01,D22
51124-1,MCF 10A-H2B-mCherry,,,0,13.78,771.67,1645,1459,1.1269,1.2775,MN20160304_L01,E04
51124-1,MCF 10A-H2B-mCherry,,,0,13.78,771.67,1350,1459,0.9248,0.8371,MN20160304_L01,F09
51124-1,MCF 10A-H2B-mCherry,,,0,13.78,771.67,1532,1459,1.0495,1.1079,MN20160304_L01,F16
51124-1,MCF 10A-H2B-mCherry,,,0,13.78,771.67,1488,1459,1.0194,1.0421,MN20160304_L01,F17
51124-1,MCF 10A-H2B-mCherry,,,0,13.78,771.67,1275,1459,0.8734,0.7264,MN20160304_L01,F18
51124-1,MCF 10A-H2B-mCherry,,,0,13.78,771.67,1408,1459,0.9646,0.9230,MN20160304_L01,G12
51124-1,MCF 10A-H2B-mCherry,,,0,13.78,771.67,1276,1459,0.8741,0.7278,MN20160304_L01,G14
51124-1,MCF 10A-H2B-mCherry,,,0,13.78,771.67,1413,1459,0.9680,0.9305,MN20160304_L01,H09
51124-1,MCF 10A-H2B-mCherry,,,0,13.78,771.67,1479,1459,1.0132,1.0287,MN20160304_L01,K05
51124-1,MCF 10A-H2B-mCherry,,,0,13.78,771.67,1539,1459,1.0543,1.1183,MN20160304_L01,K09
51124-1,MCF 10A-H2B-mCherry,,,0,13.78,771.67,1635,1459,1.1201,1.2624,MN20160304_L01,K16
51124-1,MCF 10A-H2B-mCherry,,,0,16.00,771.67,1593,1585,1.0047,1.0091,MN20160304_L01,C17
51124-1,MCF 10A-H2B-mCherry,,,0,16.00,771.67,1577,1585,0.9946,0.9897,MN20160304_L01,D21
51124-1,MCF 10A-H2B-mCherry,,,0,16.00,771.67,1566,1585,0.9877,0.9763,MN20160304_L01,D22
51124-1,MCF 10A-H2B-mCherry,,,0,16.00,771.67,1796,1585,1.1328,1.2550,MN20160304_L01,E04
51124-1,MCF 10A-H2B-mCherry,,,0,16.00,771.67,1461,1585,0.9215,0.8486,MN20160304_L01,F09
51124-1,MCF 10A-H2B-mCherry,,,0,16.00,771.67,1646,1585,1.0382,1.0734,MN20160304_L01,F16
51124-1,MCF 10A-H2B-mCherry,,,0,16.00,771.67,1634,1585,1.0306,1.0589,MN20160304_L01,F17
51124-1,MCF 10A-H2B-mCherry,,,0,16.00,771.67,1413,1585,0.8912,0.7901,MN20160304_L01,F18
51124-1,MCF 10A-H2B-mCherry,,,0,16.00,771.67,1533,1585,0.9669,0.9362,MN20160304_L01,G12
51124-1,MCF 10A-H2B-mCherry,,,0,16.00,771.67,1439,1585,0.9076,0.8218,MN20160304_L01,G14
51124-1,MCF 10A-H2B-mCherry,,,0,16.00,771.67,1529,1585,0.9644,0.9314,MN20160304_L01,H09
51124-1,MCF 10A-H2B-mCherry,,,0,16.00,771.67,1606,1585,1.0129,1.0249,MN20160304_L01,K05
51124-1,MCF 10A-H2B-mCherry,,,0,16.00,771.67,1727,1585,1.0892,1.1715,MN20160304_L01,K09
51124-1,MCF 10A-H2B-mCherry,,,0,16.00,771.67,1824,1585,1.1504,1.2888,MN20160304_L01,K16
51124-1,MCF 10A-H2B-mCherry,,,0,18.22,771.67,1785,1741,1.0251,1.0426,MN20160304_L01,C17
51124-1,MCF 10A-H2B-mCherry,,,0,18.22,771.67,1698,1741,0.9751,0.9575,MN20160304_L01,D21
51124-1,MCF 10A-H2B-mCherry,,,0,18.22,771.67,1730,1741,0.9935,0.9889,MN20160304_L01,D22
51124-1,MCF 10A-H2B-mCherry,,,0,18.22,771.67,1936,1741,1.1118,1.1889,MN20160304_L01,E04
51124-1,MCF 10A-H2B-mCherry,,,0,18.22,771.67,1607,1741,0.9228,0.8678,MN20160304_L01,F09
51124-1,MCF 10A-H2B-mCherry,,,0,18.22,771.67,1788,1741,1.0268,1.0455,MN20160304_L01,F16
51124-1,MCF 10A-H2B-mCherry,,,0,18.22,771.67,1799,1741,1.0331,1.0562,MN20160304_L01,F17
51124-1,MCF 10A-H2B-mCherry,,,0,18.22,771.67,1544,1741,0.8867,0.8052,MN20160304_L01,F18
51124-1,MCF 10A-H2B-mCherry,,,0,18.22,771.67,1718,1741,0.9866,0.9771,MN20160304_L01,G12
51124-1,MCF 10A-H2B-mCherry,,,0,18.22,771.67,1557,1741,0.8941,0.8182,MN20160304_L01,G14
51124-1,MCF 10A-H2B-mCherry,,,0,18.22,771.67,1689,1741,0.9699,0.9487,MN20160304_L01,H09
51124-1,MCF 10A-H2B-mCherry,,,0,18.22,771.67,1724,1741,0.9900,0.9830,MN20160304_L01,K05
51124-1,MCF 10A-H2B-mCherry,,,0,18.22,771.67,1942,1741,1.1152,1.1946,MN20160304_L01,K09
51124-1,MCF 10A-H2B-mCherry,,,0,18.22,771.67,1937,1741,1.1123,1.1898,MN20160304_L01,K16
51124-1,MCF 10A-H2B-mCherry,,,0,20.44,771.67,1957,1910,1.0241,1.0368,MN20160304_L01,C17
51124-1,MCF 10A-H2B-mCherry,,,0,20.44,771.67,1845,1910,0.9655,0.9471,MN20160304_L01,D21
51124-1,MCF 10A-H2B-mCherry,,,0,20.44,771.67,1962,1910,1.0268,1.0408,MN20160304_L01,D22
51124-1,MCF 10A-H2B-mCherry,,,0,20.44,771.67,2115,1910,1.1068,1.1613,MN20160304_L01,E04
51124-1,MCF 10A-H2B-mCherry,,,0,20.44,771.67,1786,1910,0.9347,0.8993,MN20160304_L01,F09
51124-1,MCF 10A-H2B-mCherry,,,0,20.44,771.67,1960,1910,1.0257,1.0392,MN20160304_L01,F16
51124-1,MCF 10A-H2B-mCherry,,,0,20.44,771.67,1942,1910,1.0163,1.0249,MN20160304_L01,F17
51124-1,MCF 10A-H2B-mCherry,,,0,20.44,771.67,1684,1910,0.8813,0.8158,MN20160304_L01,F18
51124-1,MCF 10A-H2B-mCherry,,,0,20.44,771.67,1858,1910,0.9723,0.9576,MN20160304_L01,G12
51124-1,MCF 10A-H2B-mCherry,,,0,20.44,771.67,1729,1910,0.9048,0.8528,MN20160304_L01,G14
51124-1,MCF 10A-H2B-mCherry,,,0,20.44,771.67,1860,1910,0.9734,0.9592,MN20160304_L01,H09
51124-1,MCF 10A-H2B-mCherry,,,0,20.44,771.67,1903,1910,0.9959,0.9937,MN20160304_L01,K05
51124-1,MCF 10A-H2B-mCherry,,,0,20.44,771.67,2143,1910,1.1215,1.1832,MN20160304_L01,K09
51124-1,MCF 10A-H2B-mCherry,,,0,20.44,771.67,2094,1910,1.0958,1.1449,MN20160304_L01,K16
51124-1,MCF 10A-H2B-mCherry,,,0,22.66,771.67,2219,2141,1.0362,1.0489,MN20160304_L01,C17
51124-1,MCF 10A-H2B-mCherry,,,0,22.66,771.67,2082,2141,0.9722,0.9621,MN20160304_L01,D21
51124-1,MCF 10A-H2B-mCherry,,,0,22.66,771.67,2205,2141,1.0297,1.0401,MN20160304_L01,D22
51124-1,MCF 10A-H2B-mCherry,,,0,22.66,771.67,2338,2141,1.0918,1.1229,MN20160304_L01,E04
51124-1,MCF 10A-H2B-mCherry,,,0,22.66,771.67,1987,2141,0.9279,0.9008,MN20160304_L01,F09
51124-1,MCF 10A-H2B-mCherry,,,0,22.66,771.67,2199,2141,1.0269,1.0363,MN20160304_L01,F16
51124-1,MCF 10A-H2B-mCherry,,,0,22.66,771.67,2130,2141,0.9946,0.9927,MN20160304_L01,F17
51124-1,MCF 10A-H2B-mCherry,,,0,22.66,771.67,1883,2141,0.8793,0.8327,MN20160304_L01,F18
51124-1,MCF 10A-H2B-mCherry,,,0,22.66,771.67,2098,2141,0.9797,0.9723,MN20160304_L01,G12
51124-1,MCF 10A-H2B-mCherry,,,0,22.66,771.67,1901,2141,0.8877,0.8446,MN20160304_L01,G14
51124-1,MCF 10A-H2B-mCherry,,,0,22.66,771.67,2105,2141,0.9830,0.9768,MN20160304_L01,H09
51124-1,MCF 10A-H2B-mCherry,,,0,22.66,771.67,2094,2141,0.9778,0.9698,MN20160304_L01,K05
51124-1,MCF 10A-H2B-mCherry,,,0,22.66,771.67,2408,2141,1.1244,1.1658,MN20160304_L01,K09
51124-1,MCF 10A-H2B-mCherry,,,0,22.66,771.67,2359,2141,1.1016,1.1358,MN20160304_L01,K16
51124-1,MCF 10A-H2B-mCherry,,,0,24.89,771.67,2447,2397,1.0205,1.0250,MN20160304_L01,C17
51124-1,MCF 10A-H2B-mCherry,,,0,24.89,771.67,2351,2397,0.9805,0.9761,MN20160304_L01,D21
51124-1,MCF 10A-H2B-mCherry,,,0,24.89,771.67,2392,2397,0.9976,0.9971,MN20160304_L01,D22
51124-1,MCF 10A-H2B-mCherry,,,0,24.89,771.67,2624,2397,1.0944,1.1134,MN20160304_L01,E04
51124-1,MCF 10A-H2B-mCherry,,,0,24.89,771.67,2235,2397,0.9321,0.9159,MN20160304_L01,F09
51124-1,MCF 10A-H2B-mCherry,,,0,24.89,771.67,2480,2397,1.0343,1.0417,MN20160304_L01,F16
51124-1,MCF 10A-H2B-mCherry,,,0,24.89,771.67,2434,2397,1.0151,1.0184,MN20160304_L01,F17
51124-1,MCF 10A-H2B-mCherry,,,0,24.89,771.67,2169,2397,0.9046,0.8811,MN20160304_L01,F18
51124-1,MCF 10A-H2B-mCherry,,,0,24.89,771.67,2346,2397,0.9784,0.9735,MN20160304_L01,G12
51124-1,MCF 10A-H2B-mCherry,,,0,24.89,771.67,2168,2397,0.9042,0.8806,MN20160304_L01,G14
51124-1,MCF 10A-H2B-mCherry,,,0,24.89,771.67,2349,2397,0.9797,0.9750,MN20160304_L01,H09
51124-1,MCF 10A-H2B-mCherry,,,0,24.89,771.67,2383,2397,0.9939,0.9925,MN20160304_L01,K05
51124-1,MCF 10A-H2B-mCherry,,,0,24.89,771.67,2685,2397,1.1198,1.1433,MN20160304_L01,K09
51124-1,MCF 10A-H2B-mCherry,,,0,24.89,771.67,2685,2397,1.1198,1.1433,MN20160304_L01,K16
51124-1,MCF 10A-H2B-mCherry,,,0,27.11,771.67,2722,2675,1.0175,1.0195,MN20160304_L01,C17
51124-1,MCF 10A-H2B-mCherry,,,0,27.11,771.67,2573,2675,0.9618,0.9571,MN20160304_L01,D21
51124-1,MCF 10A-H2B-mCherry,,,0,27.11,771.67,2619,2675,0.9790,0.9765,MN20160304_L01,D22
51124-1,MCF 10A-H2B-mCherry,,,0,27.11,771.67,2957,2675,1.1054,1.1149,MN20160304_L01,E04
51124-1,MCF 10A-H2B-mCherry,,,0,27.11,771.67,2443,2675,0.9132,0.9013,MN20160304_L01,F09
51124-1,MCF 10A-H2B-mCherry,,,0,27.11,771.67,2874,2675,1.0743,1.0816,MN20160304_L01,F16
51124-1,MCF 10A-H2B-mCherry,,,0,27.11,771.67,2735,2675,1.0224,1.0248,MN20160304_L01,F17
51124-1,MCF 10A-H2B-mCherry,,,0,27.11,771.67,2411,2675,0.9013,0.8874,MN20160304_L01,F18
51124-1,MCF 10A-H2B-mCherry,,,0,27.11,771.67,2673,2675,0.9992,0.9991,MN20160304_L01,G12
51124-1,MCF 10A-H2B-mCherry,,,0,27.11,771.67,2446,2675,0.9144,0.9026,MN20160304_L01,G14
51124-1,MCF 10A-H2B-mCherry,,,0,27.11,771.67,2590,2675,0.9682,0.9643,MN20160304_L01,H09
51124-1,MCF 10A-H2B-mCherry,,,0,27.11,771.67,2615,2675,0.9775,0.9748,MN20160304_L01,K05
51124-1,MCF 10A-H2B-mCherry,,,0,27.11,771.67,2933,2675,1.0964,1.1053,MN20160304_L01,K09
51124-1,MCF 10A-H2B-mCherry,,,0,27.11,771.67,2959,2675,1.1061,1.1157,MN20160304_L01,K16
51124-1,MCF 10A-H2B-mCherry,,,0,29.33,771.67,2990,2939,1.0172,1.0178,MN20160304_L01,C17
51124-1,MCF 10A-H2B-mCherry,,,0,29.33,771.67,2881,2939,0.9801,0.9793,MN20160304_L01,D21
51124-1,MCF 10A-H2B-mCherry,,,0,29.33,771.67,2876,2939,0.9784,0.9775,MN20160304_L01,D22
51124-1,MCF 10A-H2B-mCherry,,,0,29.33,771.67,3292,2939,1.1200,1.1210,MN20160304_L01,E04
51124-1,MCF 10A-H2B-mCherry,,,0,29.33,771.67,2719,2939,0.9250,0.9208,MN20160304_L01,F09
51124-1,MCF 10A-H2B-mCherry,,,0,29.33,771.67,3186,2939,1.0839,1.0853,MN20160304_L01,F16
51124-1,MCF 10A-H2B-mCherry,,,0,29.33,771.67,3004,2939,1.0220,1.0227,MN20160304_L01,F17
51124-1,MCF 10A-H2B-mCherry,,,0,29.33,771.67,2648,2939,0.9009,0.8947,MN20160304_L01,F18
51124-1,MCF 10A-H2B-mCherry,,,0,29.33,771.67,2894,2939,0.9846,0.9839,MN20160304_L01,G12
51124-1,MCF 10A-H2B-mCherry,,,0,29.33,771.67,2650,2939,0.9016,0.8954,MN20160304_L01,G14
51124-1,MCF 10A-H2B-mCherry,,,0,29.33,771.67,2822,2939,0.9601,0.9582,MN20160304_L01,H09
51124-1,MCF 10A-H2B-mCherry,,,0,29.33,771.67,2862,2939,0.9737,0.9725,MN20160304_L01,K05
51124-1,MCF 10A-H2B-mCherry,,,0,29.33,771.67,3252,2939,1.1064,1.1076,MN20160304_L01,K09
51124-1,MCF 10A-H2B-mCherry,,,0,29.33,771.67,3246,2939,1.1043,1.1055,MN20160304_L01,K16
51124-1,MCF 10A-H2B-mCherry,,,0,31.55,771.67,3276,3196,1.0248,1.0240,MN20160304_L01,C17
51124-1,MCF 10A-H2B-mCherry,,,0,31.55,771.67,3143,3196,0.9832,0.9835,MN20160304_L01,D21
51124-1,MCF 10A-H2B-mCherry,,,0,31.55,771.67,3168,3196,0.9910,0.9912,MN20160304_L01,D22
51124-1,MCF 10A-H2B-mCherry,,,0,31.55,771.67,3522,3196,1.1017,1.0968,MN20160304_L01,E04
51124-1,MCF 10A-H2B-mCherry,,,0,31.55,771.67,3034,3196,0.9491,0.9497,MN20160304_L01,F09
51124-1,MCF 10A-H2B-mCherry,,,0,31.55,771.67,3417,3196,1.0689,1.0661,MN20160304_L01,F16
51124-1,MCF 10A-H2B-mCherry,,,0,31.55,771.67,3264,3196,1.0210,1.0204,MN20160304_L01,F17
51124-1,MCF 10A-H2B-mCherry,,,0,31.55,771.67,2931,3196,0.9169,0.9171,MN20160304_L01,F18
51124-1,MCF 10A-H2B-mCherry,,,0,31.55,771.67,3089,3196,0.9663,0.9668,MN20160304_L01,G12
51124-1,MCF 10A-H2B-mCherry,,,0,31.55,771.67,2918,3196,0.9128,0.9130,MN20160304_L01,G14
51124-1,MCF 10A-H2B-mCherry,,,0,31.55,771.67,3079,3196,0.9632,0.9637,MN20160304_L01,H09
51124-1,MCF 10A-H2B-mCherry,,,0,31.55,771.67,3138,3196,0.9816,0.9820,MN20160304_L01,K05
51124-1,MCF 10A-H2B-mCherry,,,0,31.55,771.67,3564,3196,1.1149,1.1089,MN20160304_L01,K09
51124-1,MCF 10A-H2B-mCherry,,,0,31.55,771.67,3540,3196,1.1074,1.1020,MN20160304_L01,K16
51124-1,MCF 10A-H2B-mCherry,,,0,33.78,771.67,3584,3499,1.0241,1.0220,MN20160304_L01,C17
51124-1,MCF 10A-H2B-mCherry,,,0,33.78,771.67,3411,3499,0.9747,0.9766,MN20160304_L01,D21
51124-1,MCF 10A-H2B-mCherry,,,0,33.78,771.67,3486,3499,0.9961,0.9964,MN20160304_L01,D22
51124-1,MCF 10A-H2B-mCherry,,,0,33.78,771.67,3844,3499,1.0984,1.0879,MN20160304_L01,E04
51124-1,MCF 10A-H2B-mCherry,,,0,33.78,771.67,3303,3499,0.9438,0.9477,MN20160304_L01,F09
51124-1,MCF 10A-H2B-mCherry,,,0,33.78,771.67,3712,3499,1.0607,1.0548,MN20160304_L01,F16
51124-1,MCF 10A-H2B-mCherry,,,0,33.78,771.67,3568,3499,1.0195,1.0178,MN20160304_L01,F17
51124-1,MCF 10A-H2B-mCherry,,,0,33.78,771.67,3195,3499,0.9130,0.9182,MN20160304_L01,F18
51124-1,MCF 10A-H2B-mCherry,,,0,33.78,771.67,3448,3499,0.9853,0.9864,MN20160304_L01,G12
51124-1,MCF 10A-H2B-mCherry,,,0,33.78,771.67,3187,3499,0.9107,0.9160,MN20160304_L01,G14
51124-1,MCF 10A-H2B-mCherry,,,0,33.78,771.67,3347,3499,0.9564,0.9595,MN20160304_L01,H09
51124-1,MCF 10A-H2B-mCherry,,,0,33.78,771.67,3441,3499,0.9833,0.9846,MN20160304_L01,K05
51124-1,MCF 10A-H2B-mCherry,,,0,33.78,771.67,3914,3499,1.1184,1.1053,MN20160304_L01,K09
51124-1,MCF 10A-H2B-mCherry,,,0,33.78,771.67,3907,3499,1.1164,1.1036,MN20160304_L01,K16
51124-1,MCF 10A-H2B-mCherry,,,0,36.00,771.67,3991,3884,1.0274,1.0233,MN20160304_L01,C17
51124-1,MCF 10A-H2B-mCherry,,,0,36.00,771.67,3768,3884,0.9700,0.9740,MN20160304_L01,D21
51124-1,MCF 10A-H2B-mCherry,,,0,36.00,771.67,3855,3884,0.9923,0.9934,MN20160304_L01,D22
51124-1,MCF 10A-H2B-mCherry,,,0,36.00,771.67,4163,3884,1.0716,1.0602,MN20160304_L01,E04
51124-1,MCF 10A-H2B-mCherry,,,0,36.00,771.67,3662,3884,0.9427,0.9500,MN20160304_L01,F09
51124-1,MCF 10A-H2B-mCherry,,,0,36.00,771.67,4093,3884,1.0536,1.0453,MN20160304_L01,F16
51124-1,MCF 10A-H2B-mCherry,,,0,36.00,771.67,3960,3884,1.0194,1.0165,MN20160304_L01,F17
51124-1,MCF 10A-H2B-mCherry,,,0,36.00,771.67,3570,3884,0.9190,0.9288,MN20160304_L01,F18
51124-1,MCF 10A-H2B-mCherry,,,0,36.00,771.67,3880,3884,0.9988,0.9990,MN20160304_L01,G12
51124-1,MCF 10A-H2B-mCherry,,,0,36.00,771.67,3493,3884,0.8992,0.9109,MN20160304_L01,G14
51124-1,MCF 10A-H2B-mCherry,,,0,36.00,771.67,3773,3884,0.9712,0.9751,MN20160304_L01,H09
51124-1,MCF 10A-H2B-mCherry,,,0,36.00,771.67,3758,3884,0.9674,0.9718,MN20160304_L01,K05
51124-1,MCF 10A-H2B-mCherry,,,0,36.00,771.67,4342,3884,1.1177,1.0978,MN20160304_L01,K09
51124-1,MCF 10A-H2B-mCherry,,,0,36.00,771.67,4314,3884,1.1105,1.0919,MN20160304_L01,K16
51124-1,MCF 10A-H2B-mCherry,,,0,38.22,771.67,4431,4299,1.0306,1.0244,MN20160304_L01,C17
51124-1,MCF 10A-H2B-mCherry,,,0,38.22,771.67,4176,4299,0.9713,0.9766,MN20160304_L01,D21
51124-1,MCF 10A-H2B-mCherry,,,0,38.22,771.67,4225,4299,0.9826,0.9859,MN20160304_L01,D22
51124-1,MCF 10A-H2B-mCherry,,,0,38.22,771.67,4523,4299,1.0520,1.0413,MN20160304_L01,E04
