Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Time Point (hr),Time Interval (hr),GR50,GEC50,GRmax,GRinf,GR Hill Coefficient,GR_AOC
51124-1,MCF 10A-H2B-mCherry,10142-101-4,Trametinib,76.90,11.9,Inf,Inf,0.2209,0.2209,0.0000,0.3859
51124-1,MCF 10A-H2B-mCherry,10142-101-4,Trametinib,80.31,11.9,Inf,Inf,0.1537,0.1537,0.0000,0.4652
51124-1,MCF 10A-H2B-mCherry,10142-101-4,Trametinib,85.43,11.9,Inf,Inf,0.0455,0.0455,0.0000,0.6300
51124-1,MCF 10A-H2B-mCherry,10142-101-4,Trametinib,85.43,12.0,Inf,Inf,0.0802,0.0802,0.0000,0.6023
51124-1,MCF 10A-H2B-mCherry,10142-101-4,Trametinib,89.69,11.9,Inf,Inf,-0.1007,-0.1007,0.0000,0.7813
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,15.08,11.9,0.692,0.9855,-0.3793,-0.3371,1.5502,0.4019
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,16.79,11.9,0.597,0.8322,-0.3837,-0.3140,1.5509,0.4157
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,18.49,11.9,0.5769,0.7432,-0.3615,-0.2481,1.6710,0.4087
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,20.19,11.9,0.6033,0.8014,-0.3633,-0.2584,1.6052,0.4060
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,21.90,11.9,0.5423,0.8664,-0.2962,-0.3081,1.5323,0.4241
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,23.60,11.9,0.5562,0.8818,-0.2455,-0.3180,1.2379,0.4408
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,25.30,11.9,0.5083,0.8386,-0.2192,-0.3315,1.1633,0.4556
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,27.00,11.9,0.5682,0.7559,-0.2144,-0.2450,1.4849,0.4363
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,28.71,11.9,0.629,1.0433,-0.2095,-0.3356,1.1665,0.4172
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,30.41,11.9,0.7329,1.0073,-0.1849,-0.2655,1.4478,0.3993
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,32.11,11.9,0.8119,1.0372,-0.1621,-0.2219,1.5568,0.3772
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,33.82,11.9,0.8263,1.0452,-0.1749,-0.2229,1.5727,0.3726
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,35.52,11.9,0.8203,1.1159,-0.1907,-0.2614,1.4527,0.3801
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,37.23,11.9,0.9484,1.2769,-0.2149,-0.2660,1.5742,0.3599
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,38.93,11.9,1.1,1.306,-0.1733,-0.1916,1.9670,0.3264
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,40.63,11.9,1.1841,1.3562,-0.1480,-0.1647,2.5578,0.3101
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,42.33,11.9,1.146,1.4165,-0.1745,-0.2133,1.8752,0.3130
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,44.03,11.9,1.1254,1.4872,-0.1917,-0.2391,1.9009,0.3215
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,45.74,11.9,1.2871,1.7456,-0.1825,-0.2649,1.8103,0.3021
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,47.45,11.9,1.449,1.8444,-0.1922,-0.2247,2.0346,0.2603
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,49.15,11.9,1.5433,1.8836,-0.1670,-0.2035,2.2201,0.2379
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,50.86,11.9,1.6427,2.2275,-0.1772,-0.2769,2.5033,0.2296
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,52.56,11.9,1.7015,2.2119,-0.2009,-0.2374,3.2129,0.2049
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,54.25,11.9,2.1006,2.42,-0.1151,-0.1804,2.8861,0.1820
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,55.97,11.9,2.1119,2.3545,-0.1381,-0.1723,3.1644,0.1856
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,57.67,11.9,2.3384,2.6827,-0.0950,-0.1809,2.9370,0.1725
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,59.37,11.9,2.1848,2.392,-0.0905,-0.1195,2.4477,0.1781
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,61.08,11.9,2.3764,2.5438,-0.1126,-0.0963,2.3719,0.1658
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,62.78,11.9,2.7049,2.7752,-0.0004,-0.0435,2.2956,0.1473
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,64.49,11.9,3.3049,3.3509,-0.1239,-0.0516,5.0000,0.1317
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,66.19,11.9,3.8965,3.9966,-0.0930,-0.0813,5.0000,0.1174
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,67.89,11.9,4.2349,4.3812,-0.0390,-0.0945,5.0000,0.1111
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,69.60,11.9,4.6605,4.5982,0.1156,0.0327,5.0000,0.1150
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,71.30,11.9,Inf,Inf,0.0118,0.0118,0.0000,0.1999
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,73.49,11.9,Inf,Inf,-0.1017,-0.1017,0.0000,0.3738
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,76.90,11.9,Inf,Inf,-0.0732,-0.0732,0.0000,0.4695
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,80.31,11.9,Inf,Inf,-0.0761,-0.0761,0.0000,0.6257
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,85.43,11.9,Inf,Inf,0.1827,0.1827,0.0000,0.6413
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,85.43,12.0,Inf,Inf,0.1293,0.1293,0.0000,0.6446
51124-1,MCF 10A-H2B-mCherry,10282-101-4,Vorinostat,89.69,11.9,Inf,Inf,0.5920,0.5920,0.0000,0.6243
