Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration,Small Mol Conc Unit,LJP Library Plate,Replicate,Assay Well,Timepoint,Timepoint Unit,Total Cell Count Before Treatment,Total Cell Count After Treatment,Total Control Cell Count,Relative Cell Count,Normalized Growth Rate Inhibition Value
50029-3,MCF7,10006-101-1,AZD7762,0.12,uM,LJP6,3,L05,72,hr,1209,1733,4121,0.4205,0.2255
50029-3,MCF7,10006-101-1,AZD7762,0.37,uM,LJP6,1,L04,72,hr,1209,1379,3823,0.3607,0.0822
50029-3,MCF7,10006-101-1,AZD7762,0.37,uM,LJP6,2,L04,72,hr,1209,1499,4093,0.3662,0.1297
50029-3,MCF7,10006-101-1,AZD7762,0.37,uM,LJP6,3,L04,72,hr,1209,1483,4121,0.3599,0.1221
50029-3,MCF7,10006-101-1,AZD7762,1.11,uM,LJP6,1,L03,72,hr,1209,1132,3823,0.2961,-0.0391
50029-3,MCF7,10006-101-1,AZD7762,1.11,uM,LJP6,2,L03,72,hr,1209,1147,4093,0.2802,-0.0297
50029-3,MCF7,10006-101-1,AZD7762,1.11,uM,LJP6,3,L03,72,hr,1209,1273,4121,0.3089,0.0293
50029-3,MCF7,10006-101-1,AZD7762,3.33,uM,LJP6,1,L02,72,hr,1209,967,3823,0.2529,-0.1261
50029-3,MCF7,10006-101-1,AZD7762,3.33,uM,LJP6,2,L02,72,hr,1209,1021,4093,0.2494,-0.0919
50029-3,MCF7,10006-101-1,AZD7762,3.33,uM,LJP6,3,L02,72,hr,1209,992,4121,0.2407,-0.1061
50029-3,MCF7,10006-101-1,AZD7762,10,uM,LJP6,1,L01,72,hr,1209,689,3823,0.1802,-0.2875
50029-3,MCF7,10006-101-1,AZD7762,10,uM,LJP6,2,L01,72,hr,1209,614,4093,0.1500,-0.3199
50029-3,MCF7,10006-101-1,AZD7762,10,uM,LJP6,3,L01,72,hr,1209,549,4121,0.1332,-0.3602
50029-3,MCF7,10007-101-1,AZD8055,0.04,uM,LJP6,1,A12,72,hr,1209,1100,3823,0.2877,-0.0556
50029-3,MCF7,10007-101-1,AZD8055,0.04,uM,LJP6,2,A12,72,hr,1209,1244,4093,0.3039,0.0161
50029-3,MCF7,10007-101-1,AZD8055,0.04,uM,LJP6,3,A12,72,hr,1209,1254,4121,0.3043,0.0206
