Cell Line HMS LINCS ID,Cell Line Name,Time Point,Time Point Unit,Variable,PC1 Loading,PC2 Loading
50112,C32,1,hr,p-p90RSK(S380),NaN,NaN
50112,C32,1,hr,p-p90RSK(T573),-0.08305,1.01290
50112,C32,1,hr,p-AKT(T308),-0.02290,-1.29110
50112,C32,1,hr,p-AKT(S473),-1.28370,-2.03900
50112,C32,1,hr,p-mTOR(S2448),NaN,NaN
50112,C32,1,hr,p-p70S6K(T421/S424),1.30180,-0.26785
50112,C32,1,hr,p-p70S6K(T389),NaN,NaN
50112,C32,1,hr,p-S6(S235/236),1.61560,-0.33704
50112,C32,1,hr,p-AMPK(T172),-0.72271,-0.59999
50112,C32,1,hr,p-JNK(T183/Y185),0.71127,-1.03380
50112,C32,1,hr,Total c-Jun,1.22180,0.50708
50112,C32,1,hr,p-cJun(S63),NaN,NaN
50112,C32,1,hr,p-P38(T180/Y182),1.92970,0.38577
50112,C32,1,hr,p-HSP27(S82),NaN,NaN
50112,C32,1,hr,p-NFKB(S536),1.42320,-0.02375
50112,C32,1,hr,Bim,-0.20113,-0.07848
50112,C32,1,hr,cPARP,0.92314,-0.40636
50112,C32,1,hr,p-Histone H3(S10),-0.57917,0.30645
50112,C32,1,hr,p27 Kip1,0.24919,0.42253
50112,C32,5,hr,p-p90RSK(S380),NaN,NaN
50112,C32,5,hr,p-p90RSK(T573),-1.64240,1.46240
50112,C32,5,hr,p-AKT(T308),-1.74290,-0.33436
50112,C32,5,hr,p-AKT(S473),-3.46650,0.08197
50112,C32,5,hr,p-mTOR(S2448),NaN,NaN
50112,C32,5,hr,p-p70S6K(T421/S424),1.37550,-0.30846
50112,C32,5,hr,p-p70S6K(T389),NaN,NaN
50112,C32,5,hr,p-S6(S235/236),3.07550,-0.63138
50112,C32,5,hr,p-AMPK(T172),-1.86480,0.11278
50112,C32,5,hr,p-JNK(T183/Y185),-0.87770,-1.21210
50112,C32,5,hr,Total c-Jun,4.28680,-0.87148
50112,C32,5,hr,p-cJun(S63),NaN,NaN
50112,C32,5,hr,p-P38(T180/Y182),-0.57949,1.41810
50112,C32,5,hr,p-HSP27(S82),NaN,NaN
50112,C32,5,hr,p-NFKB(S536),2.29440,0.20441
50112,C32,5,hr,Bim,-2.63110,-0.01033
50112,C32,5,hr,cPARP,0.52546,-0.38647
50112,C32,5,hr,p-Histone H3(S10),-1.29620,0.23172
50112,C32,5,hr,p27 Kip1,-1.15200,0.24865
50112,C32,10,hr,p-p90RSK(S380),NaN,NaN
50112,C32,10,hr,p-p90RSK(T573),-1.31020,-0.00316
50112,C32,10,hr,p-AKT(T308),-2.62680,0.88985
50112,C32,10,hr,p-AKT(S473),-3.92050,1.35650
50112,C32,10,hr,p-mTOR(S2448),NaN,NaN
50112,C32,10,hr,p-p70S6K(T421/S424),1.95890,-0.31223
50112,C32,10,hr,p-p70S6K(T389),NaN,NaN
50112,C32,10,hr,p-S6(S235/236),3.84100,-0.76963
50112,C32,10,hr,p-AMPK(T172),-1.34300,0.31521
50112,C32,10,hr,p-JNK(T183/Y185),-0.14121,-1.12140
50112,C32,10,hr,Total c-Jun,6.72650,-0.50940
50112,C32,10,hr,p-cJun(S63),NaN,NaN
50112,C32,10,hr,p-P38(T180/Y182),-1.32110,0.46039
50112,C32,10,hr,p-HSP27(S82),NaN,NaN
50112,C32,10,hr,p-NFKB(S536),2.62660,-0.12647
50112,C32,10,hr,Bim,-2.40770,0.07521
50112,C32,10,hr,cPARP,-0.36970,-0.03616
50112,C32,10,hr,p-Histone H3(S10),-1.12370,0.01814
50112,C32,10,hr,p27 Kip1,-2.46360,0.15328
50112,C32,24,hr,p-p90RSK(S380),NaN,NaN
50112,C32,24,hr,p-p90RSK(T573),1.36760,0.88628
50112,C32,24,hr,p-AKT(T308),-4.62320,0.65157
50112,C32,24,hr,p-AKT(S473),-3.68530,2.31110
50112,C32,24,hr,p-mTOR(S2448),NaN,NaN
50112,C32,24,hr,p-p70S6K(T421/S424),4.78250,-0.01794
50112,C32,24,hr,p-p70S6K(T389),NaN,NaN
50112,C32,24,hr,p-S6(S235/236),4.76950,-0.83978
50112,C32,24,hr,p-AMPK(T172),-3.69990,-0.02243
50112,C32,24,hr,p-JNK(T183/Y185),-1.73310,-0.88435
50112,C32,24,hr,Total c-Jun,4.77070,0.93542
50112,C32,24,hr,p-cJun(S63),NaN,NaN
50112,C32,24,hr,p-P38(T180/Y182),-2.78950,0.70934
50112,C32,24,hr,p-HSP27(S82),NaN,NaN
50112,C32,24,hr,p-NFKB(S536),-0.00147,0.85416
50112,C32,24,hr,Bim,-5.80310,0.97812
50112,C32,24,hr,cPARP,-3.12430,-1.44320
50112,C32,24,hr,p-Histone H3(S10),3.41060,0.32607
50112,C32,24,hr,p27 Kip1,-6.36380,0.34918
50112,C32,48,hr,p-p90RSK(S380),NaN,NaN
50112,C32,48,hr,p-p90RSK(T573),-1.30300,-1.19070
50112,C32,48,hr,p-AKT(T308),-7.52260,0.08243
50112,C32,48,hr,p-AKT(S473),-0.36254,2.71710
