Small Molecule HMS LINCS ID,Small Molecule Name,Cell Line HMS LINCS ID,Cell Line Name,Protein HMS LINCS ID,Protein Name
10188-101-1,BX795,51099-1,NGP,200777,"p38d,p38g"
10188-101-1,BX795,51099-1,NGP,200779,KS6B1
10188-101-1,BX795,51099-1,NGP,200782,KS6B2
10188-101-1,BX795,51099-1,NGP,200969,PAN3
10188-101-1,BX795,51099-1,NGP,200785,"PCTAIRE2,PCTAIRE3"
10188-101-1,BX795,51099-1,NGP,200973,PEK
10188-101-1,BX795,51099-1,NGP,200787,CDK14
10188-101-1,BX795,51099-1,NGP,201092,PHKg1
10188-101-1,BX795,51099-1,NGP,200789,"PI4KA,PI4KAP2"
10188-101-1,BX795,51099-1,NGP,200790,PI4KB
10188-101-1,BX795,51099-1,NGP,200975,PIK3C2B
10188-101-1,BX795,51099-1,NGP,200793,PIK3C3
10188-101-1,BX795,51099-1,NGP,200795,PIK3CB
10188-101-1,BX795,51099-1,NGP,200797,PIP4K2A
10188-101-1,BX795,51099-1,NGP,200982,PIP4K2B
10188-101-1,BX795,51099-1,NGP,200799,PI42C
10188-101-1,BX795,51099-1,NGP,200800,FYV1
10188-101-1,BX795,51099-1,NGP,200801,PITSLRE
10188-101-1,BX795,51099-1,NGP,200988,PKD3
10188-101-1,BX795,51099-1,NGP,200809,PKR
10188-101-1,BX795,51099-1,NGP,200810,PLK1
10188-101-1,BX795,51099-1,NGP,201043,PRP4
10188-101-1,BX795,51099-1,NGP,200812,PRPK
10188-101-1,BX795,51099-1,NGP,200813,RAF1
10188-101-1,BX795,51099-1,NGP,200999,RIPK1
10188-101-1,BX795,51099-1,NGP,201045,RSK1 domain1
10188-101-1,BX795,51099-1,NGP,200819,RSK1_domain2
10188-101-1,BX795,51099-1,NGP,200815,"RSK1,RSK2,RSK3_domain1"
10188-101-1,BX795,51099-1,NGP,200821,RSK2_domain2
10188-101-1,BX795,51099-1,NGP,200824,RSK3_domain1
10188-101-1,BX795,51099-1,NGP,201098,RSK4 domain1
10188-101-1,BX795,51099-1,NGP,200825,RSKL1_domain1
10188-101-1,BX795,51099-1,NGP,200829,SLK
10188-101-1,BX795,51099-1,NGP,200830,SMG1
10188-101-1,BX795,51099-1,NGP,201076,SNRK
10188-101-1,BX795,51099-1,NGP,201013,SRPK1
10188-101-1,BX795,51099-1,NGP,200833,STLK5
10188-101-1,BX795,51099-1,NGP,200736,"MAP3K7,TAK1"
10188-101-1,BX795,51099-1,NGP,200834,"TAO1,TAOK3"
10188-101-1,BX795,51099-1,NGP,200835,TAOK2
10188-101-1,BX795,51099-1,NGP,200836,TBK1
