Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration (uM),Time Point (hr),Mean Total Cell Count Before Treatment,Mean Total Cell Count After Treatment,Mean Total Control Cell Count,Mean Relative Cell Count,Mean Normalized Growth Rate Inhibition Value
51124-1,MCF 10A-H2B-mCherry,,,0,2.30,56.33,289,255,1.1363,0.5556
51124-1,MCF 10A-H2B-mCherry,,,0,4.00,56.33,332,303,1.0950,0.5104
51124-1,MCF 10A-H2B-mCherry,,,0,5.70,56.33,374,342,1.0928,0.4933
51124-1,MCF 10A-H2B-mCherry,,,0,7.40,56.33,419,385,1.0888,0.4805
51124-1,MCF 10A-H2B-mCherry,,,0,9.10,56.33,461,424,1.0884,0.4847
51124-1,MCF 10A-H2B-mCherry,,,0,10.80,56.33,500,465,1.0744,0.5066
51124-1,MCF 10A-H2B-mCherry,,,0,12.50,56.33,542,510,1.0621,0.5620
51124-1,MCF 10A-H2B-mCherry,,,0,14.20,56.33,625,634,0.9857,0.6573
51124-1,MCF 10A-H2B-mCherry,,,0,15.90,56.33,692,726,0.9536,0.6789
51124-1,MCF 10A-H2B-mCherry,,,0,17.60,56.33,796,868,0.9158,0.7069
51124-1,MCF 10A-H2B-mCherry,,,0,19.30,56.33,959,1090,0.8812,0.7299
51124-1,MCF 10A-H2B-mCherry,,,0,21.00,56.33,1107,1286,0.8614,0.7525
51124-1,MCF 10A-H2B-mCherry,,,0,22.80,56.33,1239,1460,0.8481,0.7653
51124-1,MCF 10A-H2B-mCherry,,,0,24.50,56.33,1367,1615,0.8452,0.7770
51124-1,MCF 10A-H2B-mCherry,,,0,26.20,56.33,1489,1764,0.8428,0.7848
51124-1,MCF 10A-H2B-mCherry,,,0,27.90,56.33,1609,1907,0.8422,0.7978
51124-1,MCF 10A-H2B-mCherry,,,0,29.60,56.33,1734,2050,0.8442,0.8053
51124-1,MCF 10A-H2B-mCherry,,,0,31.30,56.33,1902,2241,0.8473,0.8174
51124-1,MCF 10A-H2B-mCherry,,,0,33.00,56.33,2105,2479,0.8476,0.8278
51124-1,MCF 10A-H2B-mCherry,,,0,34.70,56.33,2306,2720,0.8463,0.8351
51124-1,MCF 10A-H2B-mCherry,,,0,36.40,56.33,2505,2958,0.8453,0.8396
51124-1,MCF 10A-H2B-mCherry,,,0,38.10,56.33,2686,3168,0.8461,0.8464
51124-1,MCF 10A-H2B-mCherry,,,0,39.80,56.33,2868,3393,0.8436,0.8496
51124-1,MCF 10A-H2B-mCherry,,,0,41.50,56.33,3091,3667,0.8413,0.8530
51124-1,MCF 10A-H2B-mCherry,,,0,43.20,56.33,3321,3942,0.8407,0.8572
51124-1,MCF 10A-H2B-mCherry,,,0,44.90,56.33,3562,4212,0.8439,0.8637
51124-1,MCF 10A-H2B-mCherry,,,0,46.60,56.33,3835,4538,0.8434,0.8645
51124-1,MCF 10A-H2B-mCherry,,,0,48.30,56.33,4128,4875,0.8453,0.8688
51124-1,MCF 10A-H2B-mCherry,,,0,50.00,56.33,4403,5234,0.8396,0.8691
51124-1,MCF 10A-H2B-mCherry,,,0,51.70,56.33,4668,5553,0.8389,0.8698
51124-1,MCF 10A-H2B-mCherry,,,0,53.40,56.33,4892,5809,0.8405,0.8734
51124-1,MCF 10A-H2B-mCherry,,,0,55.10,56.33,5132,6087,0.8414,0.8742
51124-1,MCF 10A-H2B-mCherry,,,0,56.80,56.33,5365,6354,0.8430,0.8743
51124-1,MCF 10A-H2B-mCherry,,,0,58.50,56.33,5583,6599,0.8448,0.8739
51124-1,MCF 10A-H2B-mCherry,,,0,60.20,56.33,5823,6852,0.8490,0.8748
51124-1,MCF 10A-H2B-mCherry,,,0,61.90,56.33,6033,7075,0.8518,0.8715
51124-1,MCF 10A-H2B-mCherry,,,0,63.60,56.33,6263,7339,0.8525,0.8659
51124-1,MCF 10A-H2B-mCherry,,,0,65.30,56.33,6476,7570,0.8547,0.8595
51124-1,MCF 10A-H2B-mCherry,,,0,67.00,56.33,6647,7731,0.8599,0.8618
51124-1,MCF 10A-H2B-mCherry,,,0,68.70,56.33,6802,7933,0.8579,0.8613
51124-1,MCF 10A-H2B-mCherry,,,0,70.50,56.33,6856,7990,0.8593,0.8459
51124-1,MCF 10A-H2B-mCherry,,,0,72.20,56.33,6924,8053,0.8615,0.8409
51124-1,MCF 10A-H2B-mCherry,,,0,73.90,56.33,7010,8150,0.8628,0.8540
51124-1,MCF 10A-H2B-mCherry,,,0,75.60,56.33,6957,7992,0.8718,0.8504
51124-1,MCF 10A-H2B-mCherry,,,0,77.30,56.33,7061,8135,0.8703,0.8386
51124-1,MCF 10A-H2B-mCherry,,,0,79.00,56.33,7033,8048,0.8758,0.8331
51124-1,MCF 10A-H2B-mCherry,,,0,80.70,56.33,7005,7920,0.8863,0.8302
51124-1,MCF 10A-H2B-mCherry,,,0,82.40,56.33,6989,7810,0.8961,0.8248
51124-1,MCF 10A-H2B-mCherry,,,0,84.10,56.33,6938,7655,0.9066,0.8253
51124-1,MCF 10A-H2B-mCherry,,,0,85.80,56.33,6932,7583,0.9146,0.8231
51124-1,MCF 10A-H2B-mCherry,,,0,87.50,56.33,6823,7334,0.9303,0.8189
51124-1,MCF 10A-H2B-mCherry,,,0,89.20,56.33,6825,7229,0.9439,0.8119
51124-1,MCF 10A-H2B-mCherry,,,0,90.90,56.33,6843,7174,0.9538,0.7976
51124-1,MCF 10A-H2B-mCherry,,,0,92.60,56.33,6855,7065,0.9702,0.7980
51124-1,MCF 10A-H2B-mCherry,,,0,94.30,56.33,6846,6924,0.9886,0.7945
51124-1,MCF 10A-H2B-mCherry,,,0,95.70,27.76,6674,6712,0.9942,0.7806
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,2.30,56.33,283,255,1.1029,0.6051
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,4.00,56.33,335,303,1.1039,0.5792
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,5.70,56.33,391,342,1.1408,0.5916
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,7.40,56.33,422,385,1.0940,0.5681
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,9.10,56.33,466,424,1.1007,0.5899
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,10.80,56.33,509,465,1.0977,0.6318
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,12.50,56.33,565,510,1.1116,0.7006
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,14.20,56.33,676,634,1.0712,0.7627
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,15.90,56.33,745,726,1.0320,0.7724
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,17.60,56.33,860,868,0.9933,0.7879
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,19.30,56.33,1020,1090,0.9523,0.7903
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,21.00,56.33,1152,1286,0.9072,0.7835
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,22.80,56.33,1223,1460,0.8424,0.7726
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,24.50,56.33,1405,1615,0.8758,0.7945
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,26.20,56.33,1522,1764,0.8679,0.8011
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,27.90,56.33,1633,1907,0.8620,0.8048
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,29.60,56.33,1771,2050,0.8677,0.8195
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,31.30,56.33,1934,2241,0.8668,0.8236
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,33.00,56.33,2140,2479,0.8669,0.8390
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,34.70,56.33,2333,2720,0.8616,0.8444
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,36.40,56.33,2508,2958,0.8518,0.8398
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,38.10,56.33,2698,3168,0.8553,0.8483
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,39.80,56.33,2892,3393,0.8552,0.8510
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,41.50,56.33,3071,3667,0.8410,0.8448
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,43.20,56.33,3295,3942,0.8382,0.8499
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,44.90,56.33,3561,4212,0.8468,0.8610
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,46.60,56.33,3856,4538,0.8518,0.8662
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,48.30,56.33,4123,4875,0.8487,0.8639
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,50.00,56.33,4353,5234,0.8334,0.8556
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,51.70,56.33,4637,5553,0.8363,0.8631
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,53.40,56.33,4904,5809,0.8458,0.8698
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,55.10,56.33,5061,6087,0.8330,0.8642
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,56.80,56.33,5250,6354,0.8285,0.8634
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,58.50,56.33,5471,6599,0.8314,0.8601
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,60.20,56.33,5670,6852,0.8308,0.8612
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,61.90,56.33,5848,7075,0.8296,0.8587
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,63.60,56.33,6018,7339,0.8214,0.8582
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,65.30,56.33,6143,7570,0.8126,0.8543
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,67.00,56.33,6343,7731,0.8218,0.8564
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,68.70,56.33,6386,7933,0.8050,0.8460
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,70.50,56.33,6445,7990,0.8058,0.8385
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,72.20,56.33,6525,8053,0.8084,0.8378
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,73.90,56.33,6619,8150,0.8101,0.8361
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,75.60,56.33,6681,7992,0.8324,0.8452
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,77.30,56.33,6678,8135,0.8160,0.8240
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,79.00,56.33,6747,8048,0.8319,0.8272
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,80.70,56.33,6786,7920,0.8493,0.8248
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,82.40,56.33,6773,7810,0.8591,0.8148
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,84.10,56.33,6930,7655,0.8961,0.8176
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,85.80,56.33,6886,7583,0.8997,0.7964
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,87.50,56.33,6942,7334,0.9397,0.8058
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,89.20,56.33,6944,7229,0.9551,0.7988
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,90.90,56.33,6936,7174,0.9616,0.7964
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,92.60,56.33,6892,7065,0.9714,0.7923
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,94.30,56.33,6753,6924,0.9736,0.7920
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,95.70,27.76,5343,6712,0.7960,0.6904
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,2.30,56.33,316,255,1.2535,0.5983
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,4.00,56.33,352,303,1.1625,0.5292
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,5.70,56.33,398,342,1.1634,0.5049
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,7.40,56.33,437,385,1.1361,0.4746
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,9.10,56.33,478,424,1.1271,0.4627
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,10.80,56.33,523,465,1.1259,0.5466
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,12.50,56.33,603,510,1.1837,0.7377
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,14.20,56.33,713,634,1.1303,0.7628
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,15.90,56.33,788,726,1.0941,0.7636
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,17.60,56.33,866,868,1.0019,0.7565
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,19.30,56.33,971,1090,0.9176,0.7317
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,21.00,56.33,1085,1286,0.8680,0.7263
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,22.80,56.33,1199,1460,0.8360,0.7418
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,24.50,56.33,1322,1615,0.8310,0.7598
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,26.20,56.33,1446,1764,0.8300,0.7707
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,27.90,56.33,1562,1907,0.8300,0.7863
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,29.60,56.33,1727,2050,0.8497,0.8077
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,31.30,56.33,1909,2241,0.8588,0.8200
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,33.00,56.33,2103,2479,0.8553,0.8306
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,34.70,56.33,2319,2720,0.8598,0.8396
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,36.40,56.33,2554,2958,0.8707,0.8480
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,38.10,56.33,2748,3168,0.8736,0.8545
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,39.80,56.33,2946,3393,0.8737,0.8561
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,41.50,56.33,3130,3667,0.8591,0.8559
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,43.20,56.33,3385,3942,0.8641,0.8616
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,44.90,56.33,3671,4212,0.8754,0.8775
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,46.60,56.33,3958,4538,0.8775,0.8800
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,48.30,56.33,4244,4875,0.8769,0.8798
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,50.00,56.33,4536,5234,0.8710,0.8849
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,51.70,56.33,4794,5553,0.8673,0.8845
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,53.40,56.33,5014,5809,0.8674,0.8867
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,55.10,56.33,5238,6087,0.8651,0.8864
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,56.80,56.33,5512,6354,0.8748,0.8917
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,58.50,56.33,5797,6599,0.8869,0.8948
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,60.20,56.33,6054,6852,0.8938,0.8979
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,61.90,56.33,6273,7075,0.8989,0.8994
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,63.60,56.33,6523,7339,0.9014,0.9017
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,65.30,56.33,6712,7570,0.8997,0.8988
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,67.00,56.33,6958,7731,0.9167,0.9022
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,68.70,56.33,7048,7933,0.9067,0.8977
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,70.50,56.33,7148,7990,0.9165,0.8976
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,72.20,56.33,7182,8053,0.9157,0.8964
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,73.90,56.33,7246,8150,0.9144,0.8955
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,75.60,56.33,7339,7992,0.9377,0.9040
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,77.30,56.33,7348,8135,0.9280,0.8982
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,79.00,56.33,7346,8048,0.9355,0.8981
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,80.70,56.33,7388,7920,0.9552,0.9023
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,82.40,56.33,7365,7810,0.9627,0.8956
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,84.10,56.33,7423,7655,0.9825,0.8983
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,85.80,56.33,7501,7583,1.0013,0.8984
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,87.50,56.33,7571,7334,1.0395,0.9035
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,89.20,56.33,7645,7229,1.0627,0.9038
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,90.90,56.33,7691,7174,1.0770,0.8998
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,92.60,56.33,7815,7065,1.1100,0.9084
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,94.30,56.33,7899,6924,1.1421,0.9103
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,95.70,27.76,8717,6712,1.2987,0.9937
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,2.30,56.33,266,255,1.0466,0.5284
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,4.00,56.33,312,303,1.0279,0.5250
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,5.70,56.33,360,342,1.0477,0.5323
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,7.40,56.33,396,385,1.0230,0.5112
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,9.10,56.33,431,424,1.0151,0.5195
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,10.80,56.33,468,465,1.0026,0.5126
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,12.50,56.33,501,510,0.9808,0.5500
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,14.20,56.33,536,634,0.8428,0.4931
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,15.90,56.33,573,726,0.7872,0.5436
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,17.60,56.33,634,868,0.7282,0.5980
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,19.30,56.33,729,1090,0.6702,0.6428
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,21.00,56.33,864,1286,0.6756,0.6957
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,22.80,56.33,956,1460,0.6576,0.7007
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,24.50,56.33,1102,1615,0.6850,0.7412
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,26.20,56.33,1207,1764,0.6868,0.7505
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,27.90,56.33,1326,1907,0.6982,0.7677
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,29.60,56.33,1452,2050,0.7098,0.7806
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,31.30,56.33,1622,2241,0.7243,0.7939
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,33.00,56.33,1800,2479,0.7269,0.8060
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,34.70,56.33,2001,2720,0.7358,0.8126
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,36.40,56.33,2211,2958,0.7468,0.8225
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,38.10,56.33,2416,3168,0.7599,0.8322
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,39.80,56.33,2592,3393,0.7617,0.8366
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,41.50,56.33,2769,3667,0.7539,0.8368
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,43.20,56.33,2976,3942,0.7540,0.8361
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,44.90,56.33,3226,4212,0.7639,0.8468
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,46.60,56.33,3489,4538,0.7681,0.8527
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,48.30,56.33,3720,4875,0.7620,0.8525
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,50.00,56.33,3991,5234,0.7607,0.8574
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,51.70,56.33,4224,5553,0.7588,0.8582
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,53.40,56.33,4474,5809,0.7683,0.8647
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,55.10,56.33,4736,6087,0.7768,0.8671
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,56.80,56.33,4978,6354,0.7828,0.8680
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,58.50,56.33,5209,6599,0.7892,0.8695
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,60.20,56.33,5431,6852,0.7942,0.8721
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,61.90,56.33,5683,7075,0.8055,0.8736
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,63.60,56.33,5872,7339,0.8025,0.8707
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,65.30,56.33,6122,7570,0.8108,0.8742
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,67.00,56.33,6249,7731,0.8137,0.8690
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,68.70,56.33,6374,7933,0.8078,0.8677
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,70.50,56.33,6438,7990,0.8122,0.8693
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,72.20,56.33,6364,8053,0.7977,0.8569
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,73.90,56.33,6350,8150,0.7889,0.8551
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,75.60,56.33,6377,7992,0.8034,0.8547
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,77.30,56.33,6564,8135,0.8132,0.8598
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,79.00,56.33,6533,8048,0.8171,0.8607
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,80.70,56.33,6553,7920,0.8317,0.8622
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,82.40,56.33,6620,7810,0.8492,0.8677
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,84.10,56.33,6577,7655,0.8584,0.8630
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,85.80,56.33,6763,7583,0.8908,0.8725
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,87.50,56.33,6741,7334,0.9172,0.8792
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,89.20,56.33,6752,7229,0.9321,0.8735
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,90.90,56.33,6755,7174,0.9401,0.8716
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,92.60,56.33,6740,7065,0.9525,0.8657
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,94.30,56.33,6762,6924,0.9758,0.8644
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,95.70,27.76,6148,6712,0.9159,0.8581
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.1,2.30,56.33,271,255,1.0558,0.5199
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.1,4.00,56.33,309,303,1.0123,0.4950
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.1,5.70,56.33,352,342,1.0212,0.4819
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.1,7.40,56.33,434,385,1.1265,0.5096
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.1,9.10,56.33,450,424,1.0592,0.5056
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.1,10.80,56.33,510,465,1.0966,0.5512
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.1,12.50,56.33,511,510,1.0007,0.5663
