Cell Line HMS LINCS ID,Cell Line Name,Protein HMS LINCS ID,Protein Name,Image,Protein Ligand Concentration,Conc unit,Time,Time unit,Measured Protein,Measured Protein Value
50576-2,184B5,200850,EGF,46016,100,ng/ml,90,minute,pJnk,86.995
50576-2,184B5,200850,EGF,45443,1,ng/ml,10,minute,pP38,199.533
50576-2,184B5,200850,EGF,45595,100,ng/ml,10,minute,pP38,244.291
50576-2,184B5,200850,EGF,45739,1,ng/ml,30,minute,pP38,210.154
50576-2,184B5,200850,EGF,45455,100,ng/ml,30,minute,pP38,257.131
50576-2,184B5,200850,EGF,45372,1,ng/ml,90,minute,pP38,208.428
50576-2,184B5,200850,EGF,45647,100,ng/ml,90,minute,pP38,216.456
50576-2,184B5,200851,EPR,45004,1,ng/ml,10,minute,pAkt,442.316
50576-2,184B5,200851,EPR,45132,100,ng/ml,10,minute,pAkt,895.699
50576-2,184B5,200851,EPR,45284,1,ng/ml,30,minute,pAkt,410.455
50576-2,184B5,200851,EPR,45232,100,ng/ml,30,minute,pAkt,529.950
50576-2,184B5,200851,EPR,45292,1,ng/ml,90,minute,pAkt,456.489
50576-2,184B5,200851,EPR,45080,100,ng/ml,90,minute,pAkt,582.104
50576-2,184B5,200851,EPR,44903,1,ng/ml,10,minute,pErk,1158.091
50576-2,184B5,200851,EPR,44827,100,ng/ml,10,minute,pErk,4931.991
50576-2,184B5,200851,EPR,44743,1,ng/ml,30,minute,pErk,1187.314
50576-2,184B5,200851,EPR,44855,100,ng/ml,30,minute,pErk,4177.165
50576-2,184B5,200851,EPR,44676,1,ng/ml,90,minute,pErk,1757.419
50576-2,184B5,200851,EPR,44931,100,ng/ml,90,minute,pErk,3162.385
50576-2,184B5,200851,EPR,46123,1,ng/ml,10,minute,pJnk,60.130
50576-2,184B5,200851,EPR,45892,100,ng/ml,10,minute,pJnk,84.559
50576-2,184B5,200851,EPR,45820,1,ng/ml,30,minute,pJnk,68.856
50576-2,184B5,200851,EPR,46028,100,ng/ml,30,minute,pJnk,64.941
50576-2,184B5,200851,EPR,45868,1,ng/ml,90,minute,pJnk,71.549
50576-2,184B5,200851,EPR,45772,100,ng/ml,90,minute,pJnk,49.203
50576-2,184B5,200851,EPR,45411,1,ng/ml,10,minute,pP38,183.847
50576-2,184B5,200851,EPR,45547,100,ng/ml,10,minute,pP38,224.742
50576-2,184B5,200851,EPR,45615,1,ng/ml,30,minute,pP38,189.268
50576-2,184B5,200851,EPR,45707,100,ng/ml,30,minute,pP38,206.304
50576-2,184B5,200851,EPR,45663,1,ng/ml,90,minute,pP38,208.197
50576-2,184B5,200851,EPR,45667,100,ng/ml,90,minute,pP38,214.068
50576-2,184B5,200860,FGF-1,45196,1,ng/ml,10,minute,pAkt,504.858
50576-2,184B5,200860,FGF-1,45000,100,ng/ml,10,minute,pAkt,568.918
50576-2,184B5,200860,FGF-1,45316,1,ng/ml,30,minute,pAkt,455.715
