Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration (uM),Time Point (hr),Mean Total Cell Count Before Treatment,Mean Total Cell Count After Treatment,Mean Total Control Cell Count,Mean Relative Cell Count,Mean Normalized Growth Rate Inhibition Value
51124-1,MCF 10A-H2B-mCherry,,,0,2.70,19.50,199,163,1.2297,0.5386
51124-1,MCF 10A-H2B-mCherry,,,0,4.60,19.50,334,295,1.1360,0.4798
51124-1,MCF 10A-H2B-mCherry,,,0,6.60,19.50,422,390,1.0817,0.4677
51124-1,MCF 10A-H2B-mCherry,,,0,8.60,19.50,469,442,1.0615,0.4827
51124-1,MCF 10A-H2B-mCherry,,,0,10.60,19.50,495,467,1.0591,0.5036
51124-1,MCF 10A-H2B-mCherry,,,0,12.50,19.50,521,495,1.0526,0.5283
51124-1,MCF 10A-H2B-mCherry,,,0,14.50,19.50,561,537,1.0448,0.5576
51124-1,MCF 10A-H2B-mCherry,,,0,16.50,19.50,633,626,1.0116,0.5903
51124-1,MCF 10A-H2B-mCherry,,,0,18.40,19.50,746,775,0.9621,0.6352
51124-1,MCF 10A-H2B-mCherry,,,0,20.40,19.50,878,951,0.9227,0.6510
51124-1,MCF 10A-H2B-mCherry,,,0,22.40,19.50,1016,1150,0.8832,0.6789
51124-1,MCF 10A-H2B-mCherry,,,0,24.30,19.50,1135,1322,0.8593,0.7043
51124-1,MCF 10A-H2B-mCherry,,,0,26.30,19.50,1260,1491,0.8455,0.7262
51124-1,MCF 10A-H2B-mCherry,,,0,28.30,19.50,1403,1665,0.8428,0.7457
51124-1,MCF 10A-H2B-mCherry,,,0,30.30,19.50,1582,1887,0.8387,0.7549
51124-1,MCF 10A-H2B-mCherry,,,0,32.20,19.50,1780,2123,0.8384,0.7606
51124-1,MCF 10A-H2B-mCherry,,,0,34.20,19.50,2035,2452,0.8296,0.7686
51124-1,MCF 10A-H2B-mCherry,,,0,36.20,19.50,2193,2641,0.8300,0.7705
51124-1,MCF 10A-H2B-mCherry,,,0,38.10,19.50,2374,2867,0.8278,0.7770
51124-1,MCF 10A-H2B-mCherry,,,0,40.10,19.50,2578,3104,0.8302,0.7803
51124-1,MCF 10A-H2B-mCherry,,,0,42.10,19.50,2873,3461,0.8299,0.7902
51124-1,MCF 10A-H2B-mCherry,,,0,44.00,19.50,3167,3824,0.8278,0.7941
51124-1,MCF 10A-H2B-mCherry,,,0,46.00,19.50,3444,4146,0.8308,0.7928
51124-1,MCF 10A-H2B-mCherry,,,0,48.00,19.50,3698,4441,0.8331,0.7975
51124-1,MCF 10A-H2B-mCherry,,,0,50.00,19.50,3953,4744,0.8338,0.7983
51124-1,MCF 10A-H2B-mCherry,,,0,51.90,19.50,4163,4974,0.8380,0.7922
51124-1,MCF 10A-H2B-mCherry,,,0,53.90,19.50,4385,5154,0.8529,0.7958
51124-1,MCF 10A-H2B-mCherry,,,0,55.90,19.50,4606,5348,0.8649,0.7923
51124-1,MCF 10A-H2B-mCherry,,,0,57.80,19.50,4815,5483,0.8836,0.7884
51124-1,MCF 10A-H2B-mCherry,,,0,59.80,19.50,4988,5578,0.8996,0.7868
51124-1,MCF 10A-H2B-mCherry,,,0,62.80,19.50,5103,5586,0.9185,0.7782
51124-1,MCF 10A-H2B-mCherry,,,0,64.70,19.50,5224,5643,0.9311,0.7674
51124-1,MCF 10A-H2B-mCherry,,,0,66.70,19.50,5362,5728,0.9407,0.7598
51124-1,MCF 10A-H2B-mCherry,,,0,68.70,19.50,5458,5743,0.9549,0.7526
51124-1,MCF 10A-H2B-mCherry,,,0,70.70,19.50,5580,5784,0.9679,0.7431
51124-1,MCF 10A-H2B-mCherry,,,0,72.60,19.50,5701,5854,0.9758,0.7372
51124-1,MCF 10A-H2B-mCherry,,,0,74.60,19.50,5821,5927,0.9839,0.7269
51124-1,MCF 10A-H2B-mCherry,,,0,76.60,19.50,5881,5898,0.9982,0.7101
51124-1,MCF 10A-H2B-mCherry,,,0,78.50,19.50,5973,5949,1.0052,0.6913
51124-1,MCF 10A-H2B-mCherry,,,0,80.50,19.50,6060,6018,1.0076,0.6797
51124-1,MCF 10A-H2B-mCherry,,,0,82.50,19.50,6111,6031,1.0139,0.6735
51124-1,MCF 10A-H2B-mCherry,,,0,84.40,19.50,6159,6038,1.0204,0.6574
51124-1,MCF 10A-H2B-mCherry,,,0,86.40,19.50,6230,6081,1.0246,0.6404
51124-1,MCF 10A-H2B-mCherry,,,0,88.40,19.50,6266,6064,1.0332,0.6216
51124-1,MCF 10A-H2B-mCherry,,,0,90.40,19.50,6334,6097,1.0390,0.6151
51124-1,MCF 10A-H2B-mCherry,,,0,92.30,19.50,6410,6153,1.0419,0.6088
51124-1,MCF 10A-H2B-mCherry,,,0,94.30,19.50,6465,6154,1.0505,0.5767
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,2.70,19.50,235,163,1.4573,0.7034
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,4.60,19.50,379,295,1.2921,0.6071
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,6.60,19.50,460,390,1.1794,0.5843
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,8.60,19.50,506,442,1.1433,0.5776
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,10.60,19.50,538,467,1.1511,0.6152
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,12.50,19.50,563,495,1.1366,0.6069
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,14.50,19.50,602,537,1.1212,0.6041
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,16.50,19.50,664,626,1.0587,0.6464
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,18.40,19.50,760,775,0.9802,0.7217
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,20.40,19.50,897,951,0.9415,0.7511
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,22.40,19.50,1038,1150,0.9015,0.7642
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,24.30,19.50,1185,1322,0.8971,0.7715
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,26.30,19.50,1300,1491,0.8724,0.7777
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,28.30,19.50,1436,1665,0.8630,0.7860
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,30.30,19.50,1659,1887,0.8791,0.7831
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,32.20,19.50,1877,2123,0.8845,0.7953
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,34.20,19.50,2143,2452,0.8747,0.8124
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,36.20,19.50,2330,2641,0.8819,0.7980
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,38.10,19.50,2520,2867,0.8785,0.7943
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,40.10,19.50,2704,3104,0.8708,0.8026
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,42.10,19.50,2923,3461,0.8444,0.8033
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,44.00,19.50,3210,3824,0.8395,0.8074
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,46.00,19.50,3448,4146,0.8317,0.7909
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,48.00,19.50,3708,4441,0.8350,0.7833
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,50.00,19.50,4051,4744,0.8542,0.7998
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,51.90,19.50,4202,4974,0.8460,0.8039
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,53.90,19.50,4292,5154,0.8369,0.7839
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,55.90,19.50,4390,5348,0.8280,0.7909
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,57.80,19.50,4621,5483,0.8527,0.7931
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,59.80,19.50,4730,5578,0.8570,0.7748
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,62.80,19.50,4890,5586,0.8830,0.7707
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,64.70,19.50,4996,5643,0.8942,0.7384
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,66.70,19.50,5112,5728,0.8999,0.7340
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,68.70,19.50,5261,5743,0.9226,0.7259
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,70.70,19.50,5431,5784,0.9440,0.7239
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,72.60,19.50,5586,5854,0.9565,0.6667
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,74.60,19.50,5735,5927,0.9698,0.6864
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,76.60,19.50,5863,5898,0.9953,0.6751
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,78.50,19.50,5964,5949,1.0036,0.6363
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,80.50,19.50,6069,6018,1.0092,0.6308
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,82.50,19.50,6134,6031,1.0178,0.6211
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,84.40,19.50,6223,6038,1.0309,0.5790
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,86.40,19.50,6331,6081,1.0412,0.6081
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,88.40,19.50,6395,6064,1.0545,0.5643
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,90.40,19.50,6488,6097,1.0643,0.5925
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,92.30,19.50,6572,6153,1.0683,0.6046
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.0033333,94.30,19.50,6649,6154,1.0808,0.6175
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,2.70,19.50,234,163,1.4172,0.6174
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,4.60,19.50,368,295,1.2517,0.4971
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,6.60,19.50,475,390,1.2177,0.4897
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,8.60,19.50,526,442,1.1890,0.5344
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,10.60,19.50,549,467,1.1742,0.5747
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,12.50,19.50,574,495,1.1600,0.5820
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,14.50,19.50,624,537,1.1610,0.5976
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,16.50,19.50,687,626,1.0961,0.6264
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,18.40,19.50,807,775,1.0424,0.6793
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,20.40,19.50,986,951,1.0431,0.7051
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,22.40,19.50,1136,1150,0.9929,0.7006
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,24.30,19.50,1254,1322,0.9458,0.7102
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,26.30,19.50,1375,1491,0.9209,0.7200
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,28.30,19.50,1525,1665,0.9158,0.7417
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,30.30,19.50,1708,1887,0.9054,0.7374
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,32.20,19.50,1902,2123,0.8967,0.7425
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,34.20,19.50,2173,2452,0.8885,0.7647
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,36.20,19.50,2347,2641,0.8898,0.7531
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,38.10,19.50,2579,2867,0.9005,0.7657
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,40.10,19.50,2827,3104,0.9108,0.7781
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,42.10,19.50,3091,3461,0.8937,0.7787
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,44.00,19.50,3375,3824,0.8838,0.7730
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,46.00,19.50,3672,4146,0.8856,0.7638
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,48.00,19.50,3992,4441,0.8985,0.7678
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,50.00,19.50,4207,4744,0.8856,0.7684
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,51.90,19.50,4461,4974,0.8949,0.7722
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,53.90,19.50,4650,5154,0.8993,0.7597
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,55.90,19.50,4947,5348,0.9216,0.7668
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,57.80,19.50,5237,5483,0.9516,0.7710
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,59.80,19.50,5464,5578,0.9750,0.7636
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,62.80,19.50,5651,5586,1.0070,0.7566
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,64.70,19.50,5800,5643,1.0245,0.7468
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,66.70,19.50,5908,5728,1.0288,0.7376
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,68.70,19.50,6171,5743,1.0706,0.7476
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,70.70,19.50,6220,5784,1.0724,0.7359
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,72.60,19.50,6282,5854,1.0710,0.7263
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,74.60,19.50,6310,5927,1.0638,0.7205
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,76.60,19.50,6276,5898,1.0637,0.7046
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,78.50,19.50,6346,5949,1.0667,0.6853
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,80.50,19.50,6339,6018,1.0535,0.6829
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,82.50,19.50,6327,6031,1.0498,0.6613
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,84.40,19.50,6300,6038,1.0439,0.6263
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,86.40,19.50,6369,6081,1.0477,0.6200
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,88.40,19.50,6389,6064,1.0536,0.5949
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,90.40,19.50,6446,6097,1.0573,0.5819
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,92.30,19.50,6489,6153,1.0545,0.5587
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.01,94.30,19.50,6544,6154,1.0630,0.5437
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,2.70,19.50,214,163,1.3164,0.6413
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,4.60,19.50,323,295,1.0968,0.5135
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,6.60,19.50,408,390,1.0458,0.5061
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,8.60,19.50,446,442,1.0100,0.5309
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,10.60,19.50,472,467,1.0107,0.5463
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,12.50,19.50,506,495,1.0215,0.5363
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,14.50,19.50,543,537,1.0105,0.5421
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,16.50,19.50,599,626,0.9554,0.5045
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,18.40,19.50,673,775,0.8685,0.5562
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,20.40,19.50,759,951,0.7981,0.5414
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,22.40,19.50,852,1150,0.7410,0.5777
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,24.30,19.50,929,1322,0.7034,0.5772
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,26.30,19.50,1030,1491,0.6912,0.6068
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,28.30,19.50,1141,1665,0.6855,0.6144
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,30.30,19.50,1306,1887,0.6924,0.6138
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,32.20,19.50,1473,2123,0.6941,0.6288
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,34.20,19.50,1603,2452,0.6554,0.6259
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,36.20,19.50,1744,2641,0.6612,0.6266
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,38.10,19.50,1884,2867,0.6580,0.6342
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,40.10,19.50,2047,3104,0.6599,0.6390
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,42.10,19.50,2267,3461,0.6556,0.6501
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,44.00,19.50,2558,3824,0.6703,0.6520
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,46.00,19.50,2914,4146,0.7029,0.6610
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,48.00,19.50,3133,4441,0.7046,0.6533
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,50.00,19.50,3350,4744,0.7046,0.6562
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,51.90,19.50,3586,4974,0.7188,0.6723
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,53.90,19.50,3800,5154,0.7359,0.6828
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,55.90,19.50,3994,5348,0.7480,0.6747
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,57.80,19.50,4220,5483,0.7741,0.6687
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,59.80,19.50,4507,5578,0.8128,0.6789
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,62.80,19.50,4686,5586,0.8439,0.6890
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,64.70,19.50,4866,5643,0.8687,0.6972
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,66.70,19.50,4931,5728,0.8672,0.6824
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,68.70,19.50,5102,5743,0.8952,0.6935
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,70.70,19.50,5259,5784,0.9148,0.6848
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,72.60,19.50,5362,5854,0.9199,0.6705
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,74.60,19.50,5533,5927,0.9378,0.6748
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,76.60,19.50,5700,5898,0.9688,0.6761
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,78.50,19.50,5799,5949,0.9772,0.6679
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,80.50,19.50,5905,6018,0.9832,0.6499
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,82.50,19.50,6020,6031,0.9998,0.6420
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,84.40,19.50,6106,6038,1.0123,0.6222
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,86.40,19.50,6218,6081,1.0230,0.6269
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,88.40,19.50,6307,6064,1.0402,0.6077
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,90.40,19.50,6443,6097,1.0568,0.6131
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,92.30,19.50,6530,6153,1.0612,0.6209
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.031667,94.30,19.50,6672,6154,1.0840,0.6023
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.1,2.70,19.50,199,163,1.2200,0.5600
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.1,4.60,19.50,310,295,1.0527,0.4823
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.1,6.60,19.50,394,390,1.0103,0.4702
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.1,8.60,19.50,407,442,0.9198,0.4583
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.1,10.60,19.50,436,467,0.9323,0.4827
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.1,12.50,19.50,469,495,0.9477,0.4963
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.1,14.50,19.50,483,537,0.8997,0.5171
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.1,16.50,19.50,593,626,0.9498,0.5319
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.1,18.40,19.50,695,775,0.8984,0.6169
51124-1,MCF 10A-H2B-mCherry,10233-101-4,Alpelisib,0.1,20.40,19.50,796,951,0.8424,0.6537
