Small Molecule HMS LINCS ID,Small Molecule Name,Cell Line HMS LINCS ID,Cell Line Name,Drug Concentration,Conc Unit,Time Point,Time Point Unit,Total Number of Cells (Nuclei),Number of Apoptotic Cells,Relative Viability,Mean Relative Viability,Apoptosis Fraction,Mean Apoptosis Fraction,Replicate
10068-101-1,Vemurafenib,50475-1,RVH-421,0.0032,uM,72,hr,8629,285,0.9561,0.9572,0.0330,0.0342,4
10068-101-1,Vemurafenib,50475-1,RVH-421,0.0100,uM,24,hr,1306,74,0.8913,0.9365,0.0567,0.0545,1
10068-101-1,Vemurafenib,50475-1,RVH-421,0.0100,uM,24,hr,1432,75,0.9817,0.9365,0.0524,0.0545,2
10068-101-1,Vemurafenib,50475-1,RVH-421,0.0100,uM,24,hr,,,,,,,3
10068-101-1,Vemurafenib,50475-1,RVH-421,0.0100,uM,24,hr,,,,,,,4
10068-101-1,Vemurafenib,50475-1,RVH-421,0.0100,uM,48,hr,1879,86,0.9368,0.9068,0.0458,0.0508,1
10068-101-1,Vemurafenib,50475-1,RVH-421,0.0100,uM,48,hr,1638,102,0.8026,0.9068,0.0623,0.0508,2
10068-101-1,Vemurafenib,50475-1,RVH-421,0.0100,uM,48,hr,1811,90,0.8992,0.9068,0.0497,0.0508,3
10068-101-1,Vemurafenib,50475-1,RVH-421,0.0100,uM,48,hr,1982,90,0.9886,0.9068,0.0454,0.0508,4
10068-101-1,Vemurafenib,50475-1,RVH-421,0.0100,uM,72,hr,8743,312,0.9661,1.0156,0.0357,0.0343,1
10068-101-1,Vemurafenib,50475-1,RVH-421,0.0100,uM,72,hr,9463,361,1.0430,1.0156,0.0381,0.0343,2
10068-101-1,Vemurafenib,50475-1,RVH-421,0.0100,uM,72,hr,9119,274,1.0135,1.0156,0.0300,0.0343,3
10068-101-1,Vemurafenib,50475-1,RVH-421,0.0100,uM,72,hr,9386,311,1.0399,1.0156,0.0331,0.0343,4
10068-101-1,Vemurafenib,50475-1,RVH-421,0.0316,uM,24,hr,1320,58,0.9130,0.9933,0.0439,0.0463,1
10068-101-1,Vemurafenib,50475-1,RVH-421,0.0316,uM,24,hr,1560,76,1.0736,0.9933,0.0487,0.0463,2
10068-101-1,Vemurafenib,50475-1,RVH-421,0.0316,uM,24,hr,,,,,,,3
10068-101-1,Vemurafenib,50475-1,RVH-421,0.0316,uM,24,hr,,,,,,,4
10068-101-1,Vemurafenib,50475-1,RVH-421,0.0316,uM,48,hr,1745,111,0.8538,0.9319,0.0636,0.0538,1
10068-101-1,Vemurafenib,50475-1,RVH-421,0.0316,uM,48,hr,1784,119,0.8700,0.9319,0.0667,0.0538,2
10068-101-1,Vemurafenib,50475-1,RVH-421,0.0316,uM,48,hr,1997,88,0.9975,0.9319,0.0441,0.0538,3
10068-101-1,Vemurafenib,50475-1,RVH-421,0.0316,uM,48,hr,2008,82,1.0063,0.9319,0.0408,0.0538,4
10068-101-1,Vemurafenib,50475-1,RVH-421,0.0316,uM,72,hr,9475,331,1.0478,0.9594,0.0349,0.0341,1
10068-101-1,Vemurafenib,50475-1,RVH-421,0.0316,uM,72,hr,9218,329,1.0186,0.9594,0.0357,0.0341,2
10068-101-1,Vemurafenib,50475-1,RVH-421,0.0316,uM,72,hr,8383,277,0.9289,0.9594,0.0330,0.0341,3
10068-101-1,Vemurafenib,50475-1,RVH-421,0.0316,uM,72,hr,7598,248,0.8422,0.9594,0.0326,0.0341,4
10068-101-1,Vemurafenib,50475-1,RVH-421,0.1000,uM,24,hr,1386,63,0.9571,1.0016,0.0455,0.0489,1
10068-101-1,Vemurafenib,50475-1,RVH-421,0.1000,uM,24,hr,1526,80,1.0461,1.0016,0.0524,0.0489,2
10068-101-1,Vemurafenib,50475-1,RVH-421,0.1000,uM,24,hr,,,,,,,3
10068-101-1,Vemurafenib,50475-1,RVH-421,0.1000,uM,24,hr,,,,,,,4
10068-101-1,Vemurafenib,50475-1,RVH-421,0.1000,uM,48,hr,1801,124,0.8762,0.8875,0.0689,0.0604,1
10068-101-1,Vemurafenib,50475-1,RVH-421,0.1000,uM,48,hr,1839,146,0.8846,0.8875,0.0794,0.0604,2
10068-101-1,Vemurafenib,50475-1,RVH-421,0.1000,uM,48,hr,1759,96,0.8689,0.8875,0.0546,0.0604,3
10068-101-1,Vemurafenib,50475-1,RVH-421,0.1000,uM,48,hr,1832,71,0.9201,0.8875,0.0388,0.0604,4
10068-101-1,Vemurafenib,50475-1,RVH-421,0.1000,uM,72,hr,8801,279,0.9765,0.9093,0.0317,0.0335,1
10068-101-1,Vemurafenib,50475-1,RVH-421,0.1000,uM,72,hr,8551,280,0.9478,0.9093,0.0327,0.0335,2
10068-101-1,Vemurafenib,50475-1,RVH-421,0.1000,uM,72,hr,8091,269,0.8963,0.9093,0.0332,0.0335,3
10068-101-1,Vemurafenib,50475-1,RVH-421,0.1000,uM,72,hr,7393,267,0.8166,0.9093,0.0361,0.0335,4
10068-101-1,Vemurafenib,50475-1,RVH-421,0.3160,uM,24,hr,1630,83,1.1191,1.0663,0.0509,0.0609,1
10068-101-1,Vemurafenib,50475-1,RVH-421,0.3160,uM,24,hr,1508,107,1.0135,1.0663,0.0710,0.0609,2
10068-101-1,Vemurafenib,50475-1,RVH-421,0.3160,uM,24,hr,,,,,,,3
10068-101-1,Vemurafenib,50475-1,RVH-421,0.3160,uM,24,hr,,,,,,,4
10068-101-1,Vemurafenib,50475-1,RVH-421,0.3160,uM,48,hr,1579,110,0.7676,0.7780,0.0697,0.0622,1
10068-101-1,Vemurafenib,50475-1,RVH-421,0.3160,uM,48,hr,1737,126,0.8418,0.7780,0.0725,0.0622,2
10068-101-1,Vemurafenib,50475-1,RVH-421,0.3160,uM,48,hr,1556,86,0.7681,0.7780,0.0553,0.0622,3
10068-101-1,Vemurafenib,50475-1,RVH-421,0.3160,uM,48,hr,1482,76,0.7346,0.7780,0.0513,0.0622,4
10068-101-1,Vemurafenib,50475-1,RVH-421,0.3160,uM,72,hr,6409,289,0.7013,0.6742,0.0451,0.0444,1
10068-101-1,Vemurafenib,50475-1,RVH-421,0.3160,uM,72,hr,6565,285,0.7196,0.6742,0.0434,0.0444,2
10068-101-1,Vemurafenib,50475-1,RVH-421,0.3160,uM,72,hr,5923,269,0.6479,0.6742,0.0454,0.0444,3
10068-101-1,Vemurafenib,50475-1,RVH-421,0.3160,uM,72,hr,5732,251,0.6281,0.6742,0.0438,0.0444,4
10068-101-1,Vemurafenib,50475-1,RVH-421,1.0000,uM,24,hr,1457,67,1.0056,1.0363,0.0460,0.0547,1
10068-101-1,Vemurafenib,50475-1,RVH-421,1.0000,uM,24,hr,1575,100,1.0671,1.0363,0.0635,0.0547,2
10068-101-1,Vemurafenib,50475-1,RVH-421,1.0000,uM,24,hr,,,,,,,3
10068-101-1,Vemurafenib,50475-1,RVH-421,1.0000,uM,24,hr,,,,,,,4
10068-101-1,Vemurafenib,50475-1,RVH-421,1.0000,uM,48,hr,1414,104,0.6845,0.6843,0.0736,0.0737,1
10068-101-1,Vemurafenib,50475-1,RVH-421,1.0000,uM,48,hr,1435,116,0.6892,0.6843,0.0808,0.0737,2
10068-101-1,Vemurafenib,50475-1,RVH-421,1.0000,uM,48,hr,1352,99,0.6547,0.6843,0.0732,0.0737,3
10068-101-1,Vemurafenib,50475-1,RVH-421,1.0000,uM,48,hr,1455,98,0.7090,0.6843,0.0674,0.0737,4
10068-101-1,Vemurafenib,50475-1,RVH-421,1.0000,uM,72,hr,4722,233,0.5144,0.5393,0.0493,0.0453,1
10068-101-1,Vemurafenib,50475-1,RVH-421,1.0000,uM,72,hr,5439,213,0.5988,0.5393,0.0392,0.0453,2
10068-101-1,Vemurafenib,50475-1,RVH-421,1.0000,uM,72,hr,4984,227,0.5451,0.5393,0.0455,0.0453,3
10068-101-1,Vemurafenib,50475-1,RVH-421,1.0000,uM,72,hr,4568,216,0.4987,0.5393,0.0473,0.0453,4
10068-101-1,Vemurafenib,50475-1,RVH-421,3.1600,uM,24,hr,1184,76,0.8016,0.8229,0.0642,0.0664,1
10068-101-1,Vemurafenib,50475-1,RVH-421,3.1600,uM,24,hr,1253,86,0.8442,0.8229,0.0686,0.0664,2
10068-101-1,Vemurafenib,50475-1,RVH-421,3.1600,uM,24,hr,,,,,,,3
10068-101-1,Vemurafenib,50475-1,RVH-421,3.1600,uM,24,hr,,,,,,,4
10068-101-1,Vemurafenib,50475-1,RVH-421,3.1600,uM,48,hr,1075,121,0.4985,0.5028,0.1126,0.0864,1
10068-101-1,Vemurafenib,50475-1,RVH-421,3.1600,uM,48,hr,1213,128,0.5669,0.5028,0.1055,0.0864,2
10068-101-1,Vemurafenib,50475-1,RVH-421,3.1600,uM,48,hr,958,67,0.4656,0.5028,0.0699,0.0864,3
10068-101-1,Vemurafenib,50475-1,RVH-421,3.1600,uM,48,hr,975,56,0.4802,0.5028,0.0574,0.0864,4
10068-101-1,Vemurafenib,50475-1,RVH-421,3.1600,uM,72,hr,4072,294,0.4329,0.4525,0.0722,0.0682,1
10068-101-1,Vemurafenib,50475-1,RVH-421,3.1600,uM,72,hr,4470,378,0.4689,0.4525,0.0846,0.0682,2
10068-101-1,Vemurafenib,50475-1,RVH-421,3.1600,uM,72,hr,4197,196,0.4585,0.4525,0.0467,0.0682,3
10068-101-1,Vemurafenib,50475-1,RVH-421,3.1600,uM,72,hr,4216,293,0.4495,0.4525,0.0695,0.0682,4
,,50475-1,RVH-421,0.0000,uM,24,hr,1296,64,0.8913,,0.0494,,1
,,50475-1,RVH-421,0.0000,uM,24,hr,1470,71,1.0121,,0.0483,,1
,,50475-1,RVH-421,0.0000,uM,24,hr,1512,69,1.0439,,0.0456,,1
,,50475-1,RVH-421,0.0000,uM,24,hr,1556,82,1.0663,,0.0527,,1
,,50475-1,RVH-421,0.0000,uM,24,hr,1565,73,1.0794,,0.0466,,1
,,50475-1,RVH-421,0.0000,uM,24,hr,1579,63,1.0967,,0.0399,,1
,,50475-1,RVH-421,0.0000,uM,24,hr,1587,87,1.0851,,0.0548,,1
,,50475-1,RVH-421,0.0000,uM,24,hr,1200,61,0.8240,,0.0508,,2
,,50475-1,RVH-421,0.0000,uM,24,hr,1363,78,0.9296,,0.0572,,2
,,50475-1,RVH-421,0.0000,uM,24,hr,1395,73,0.9564,,0.0523,,2
,,50475-1,RVH-421,0.0000,uM,24,hr,1416,63,0.9788,,0.0445,,2
,,50475-1,RVH-421,0.0000,uM,24,hr,1427,69,0.9824,,0.0484,,2
,,50475-1,RVH-421,0.0000,uM,24,hr,1438,86,0.9781,,0.0598,,2
,,50475-1,RVH-421,0.0000,uM,24,hr,1541,84,1.0540,,0.0545,,2
,,50475-1,RVH-421,0.0000,uM,24,hr,,,,,,,3
,,50475-1,RVH-421,0.0000,uM,24,hr,,,,,,,3
,,50475-1,RVH-421,0.0000,uM,24,hr,,,,,,,3
,,50475-1,RVH-421,0.0000,uM,24,hr,,,,,,,3
,,50475-1,RVH-421,0.0000,uM,24,hr,,,,,,,3
,,50475-1,RVH-421,0.0000,uM,24,hr,,,,,,,3
,,50475-1,RVH-421,0.0000,uM,24,hr,,,,,,,3
,,50475-1,RVH-421,0.0000,uM,24,hr,,,,,,,4
,,50475-1,RVH-421,0.0000,uM,24,hr,,,,,,,4
,,50475-1,RVH-421,0.0000,uM,24,hr,,,,,,,4
,,50475-1,RVH-421,0.0000,uM,24,hr,,,,,,,4
,,50475-1,RVH-421,0.0000,uM,24,hr,,,,,,,4
,,50475-1,RVH-421,0.0000,uM,24,hr,,,,,,,4
,,50475-1,RVH-421,0.0000,uM,24,hr,,,,,,,4
,,50475-1,RVH-421,0.0000,uM,48,hr,1690,143,0.8083,,0.0846,,1
,,50475-1,RVH-421,0.0000,uM,48,hr,1814,83,0.9045,,0.0458,,1
,,50475-1,RVH-421,0.0000,uM,48,hr,2097,117,1.0346,,0.0558,,1
,,50475-1,RVH-421,0.0000,uM,48,hr,2153,133,1.0555,,0.0618,,1
,,50475-1,RVH-421,0.0000,uM,48,hr,2214,127,1.0905,,0.0574,,1
,,50475-1,RVH-421,0.0000,uM,48,hr,2229,128,1.0978,,0.0574,,1
,,50475-1,RVH-421,0.0000,uM,48,hr,2329,110,1.1594,,0.0472,,1
,,50475-1,RVH-421,0.0000,uM,48,hr,1613,111,0.7848,,0.0688,,2
,,50475-1,RVH-421,0.0000,uM,48,hr,1924,133,0.9358,,0.0691,,2
,,50475-1,RVH-421,0.0000,uM,48,hr,1927,126,0.9410,,0.0654,,2
,,50475-1,RVH-421,0.0000,uM,48,hr,2080,138,1.0147,,0.0663,,2
,,50475-1,RVH-421,0.0000,uM,48,hr,2084,120,1.0262,,0.0576,,2
,,50475-1,RVH-421,0.0000,uM,48,hr,2160,133,1.0591,,0.0616,,2
,,50475-1,RVH-421,0.0000,uM,48,hr,2352,115,1.1688,,0.0489,,2
,,50475-1,RVH-421,0.0000,uM,48,hr,1830,96,0.9060,,0.0525,,3
,,50475-1,RVH-421,0.0000,uM,48,hr,1944,105,0.9609,,0.0540,,3
,,50475-1,RVH-421,0.0000,uM,48,hr,2078,101,1.0330,,0.0486,,3
,,50475-1,RVH-421,0.0000,uM,48,hr,2155,96,1.0758,,0.0445,,3
,,50475-1,RVH-421,0.0000,uM,48,hr,2163,106,1.0748,,0.0490,,3
,,50475-1,RVH-421,0.0000,uM,48,hr,2201,127,1.0837,,0.0577,,3
,,50475-1,RVH-421,0.0000,uM,48,hr,2329,107,1.1610,,0.0459,,3
,,50475-1,RVH-421,0.0000,uM,48,hr,1983,86,0.9912,,0.0434,,4
,,50475-1,RVH-421,0.0000,uM,48,hr,1999,112,0.9860,,0.0560,,4
,,50475-1,RVH-421,0.0000,uM,48,hr,2024,99,1.0058,,0.0489,,4
,,50475-1,RVH-421,0.0000,uM,48,hr,2026,102,1.0053,,0.0503,,4
,,50475-1,RVH-421,0.0000,uM,48,hr,2051,97,1.0210,,0.0473,,4
,,50475-1,RVH-421,0.0000,uM,48,hr,2054,116,1.0126,,0.0565,,4
,,50475-1,RVH-421,0.0000,uM,48,hr,2135,81,1.0732,,0.0379,,4
,,50475-1,RVH-421,0.0000,uM,72,hr,8760,319,0.9673,,0.0364,,1
,,50475-1,RVH-421,0.0000,uM,72,hr,8777,318,0.9693,,0.0362,,1
,,50475-1,RVH-421,0.0000,uM,72,hr,9171,300,1.0165,,0.0327,,1
,,50475-1,RVH-421,0.0000,uM,72,hr,9303,373,1.0233,,0.0401,,1
,,50475-1,RVH-421,0.0000,uM,72,hr,9372,401,1.0280,,0.0428,,1
,,50475-1,RVH-421,0.0000,uM,72,hr,9644,315,1.0690,,0.0327,,1
,,50475-1,RVH-421,0.0000,uM,72,hr,9811,389,1.0797,,0.0396,,1
,,50475-1,RVH-421,0.0000,uM,72,hr,8549,265,0.9493,,0.0310,,2
,,50475-1,RVH-421,0.0000,uM,72,hr,8969,339,0.9889,,0.0378,,2
,,50475-1,RVH-421,0.0000,uM,72,hr,9109,324,1.0067,,0.0356,,2
,,50475-1,RVH-421,0.0000,uM,72,hr,9200,327,1.0168,,0.0355,,2
,,50475-1,RVH-421,0.0000,uM,72,hr,9231,298,1.0236,,0.0323,,2
,,50475-1,RVH-421,0.0000,uM,72,hr,9307,342,1.0273,,0.0367,,2
,,50475-1,RVH-421,0.0000,uM,72,hr,9484,344,1.0473,,0.0363,,2
,,50475-1,RVH-421,0.0000,uM,72,hr,8509,308,0.9398,,0.0362,,3
,,50475-1,RVH-421,0.0000,uM,72,hr,8766,342,0.9653,,0.0390,,3
,,50475-1,RVH-421,0.0000,uM,72,hr,9150,403,1.0023,,0.0440,,3
,,50475-1,RVH-421,0.0000,uM,72,hr,9252,333,1.0220,,0.0360,,3
,,50475-1,RVH-421,0.0000,uM,72,hr,9253,347,1.0205,,0.0375,,3
,,50475-1,RVH-421,0.0000,uM,72,hr,9463,329,1.0467,,0.0348,,3
,,50475-1,RVH-421,0.0000,uM,72,hr,9682,354,1.0689,,0.0366,,3
,,50475-1,RVH-421,0.0000,uM,72,hr,8073,275,0.8936,,0.0341,,4
,,50475-1,RVH-421,0.0000,uM,72,hr,8254,247,0.9175,,0.0299,,4
,,50475-1,RVH-421,0.0000,uM,72,hr,8638,285,0.9572,,0.0330,,4
,,50475-1,RVH-421,0.0000,uM,72,hr,8670,289,0.9604,,0.0333,,4
,,50475-1,RVH-421,0.0000,uM,72,hr,9256,343,1.0213,,0.0371,,4
,,50475-1,RVH-421,0.0000,uM,72,hr,9350,519,1.0119,,0.0555,,4
,,50475-1,RVH-421,0.0000,uM,72,hr,9409,307,1.0430,,0.0326,,4
10046-101-1,SB590885,50567-1,WM-115,0.0032,uM,24,hr,699,36,1.2662,1.0581,0.0515,0.0434,1
10046-101-1,SB590885,50567-1,WM-115,0.0032,uM,24,hr,613,25,1.1230,1.0581,0.0408,0.0434,2
10046-101-1,SB590885,50567-1,WM-115,0.0032,uM,24,hr,480,19,0.8804,1.0581,0.0396,0.0434,3
10046-101-1,SB590885,50567-1,WM-115,0.0032,uM,24,hr,526,22,0.9626,1.0581,0.0418,0.0434,4
10046-101-1,SB590885,50567-1,WM-115,0.0032,uM,48,hr,796,34,1.5384,1.3136,0.0427,0.0470,1
10046-101-1,SB590885,50567-1,WM-115,0.0032,uM,48,hr,802,34,1.5505,1.3136,0.0424,0.0470,2
10046-101-1,SB590885,50567-1,WM-115,0.0032,uM,48,hr,447,25,0.8520,1.3136,0.0559,0.0470,3
10046-101-1,SB590885,50567-1,WM-115,0.0032,uM,48,hr,,,,,,,4
10046-101-1,SB590885,50567-1,WM-115,0.0032,uM,72,hr,2978,92,0.9520,1.0272,0.0309,0.0298,1
10046-101-1,SB590885,50567-1,WM-115,0.0032,uM,72,hr,3145,88,1.0084,1.0272,0.0280,0.0298,2
10046-101-1,SB590885,50567-1,WM-115,0.0032,uM,72,hr,3313,105,1.0582,1.0272,0.0317,0.0298,3
10046-101-1,SB590885,50567-1,WM-115,0.0032,uM,72,hr,3402,97,1.0902,1.0272,0.0285,0.0298,4
10046-101-1,SB590885,50567-1,WM-115,0.0100,uM,24,hr,545,18,1.0065,1.3340,0.0330,0.0337,1
10046-101-1,SB590885,50567-1,WM-115,0.0100,uM,24,hr,623,20,1.1516,1.3340,0.0321,0.0337,2
10046-101-1,SB590885,50567-1,WM-115,0.0100,uM,24,hr,849,30,1.5642,1.3340,0.0353,0.0337,3
10046-101-1,SB590885,50567-1,WM-115,0.0100,uM,24,hr,875,30,1.6138,1.3340,0.0343,0.0337,4
10046-101-1,SB590885,50567-1,WM-115,0.0100,uM,48,hr,961,30,1.8796,1.4728,0.0312,0.0376,1
10046-101-1,SB590885,50567-1,WM-115,0.0100,uM,48,hr,955,31,1.8655,1.4728,0.0325,0.0376,2
10046-101-1,SB590885,50567-1,WM-115,0.0100,uM,48,hr,489,22,0.9428,1.4728,0.0450,0.0376,3
10046-101-1,SB590885,50567-1,WM-115,0.0100,uM,48,hr,622,26,1.2033,1.4728,0.0418,0.0376,4
10046-101-1,SB590885,50567-1,WM-115,0.0100,uM,72,hr,3158,109,1.0058,1.0167,0.0345,0.0310,1
10046-101-1,SB590885,50567-1,WM-115,0.0100,uM,72,hr,3167,96,1.0130,1.0167,0.0303,0.0310,2
10046-101-1,SB590885,50567-1,WM-115,0.0100,uM,72,hr,3216,80,1.0345,1.0167,0.0249,0.0310,3
10046-101-1,SB590885,50567-1,WM-115,0.0100,uM,72,hr,3182,109,1.0137,1.0167,0.0343,0.0310,4
10046-101-1,SB590885,50567-1,WM-115,0.0316,uM,24,hr,617,39,1.1039,1.3555,0.0632,0.0512,1
10046-101-1,SB590885,50567-1,WM-115,0.0316,uM,24,hr,566,40,1.0046,1.3555,0.0707,0.0512,2
10046-101-1,SB590885,50567-1,WM-115,0.0316,uM,24,hr,834,29,1.5374,1.3555,0.0348,0.0512,3
10046-101-1,SB590885,50567-1,WM-115,0.0316,uM,24,hr,965,35,1.7762,1.3555,0.0363,0.0512,4
10046-101-1,SB590885,50567-1,WM-115,0.0316,uM,48,hr,966,35,1.8796,1.5379,0.0362,0.0402,1
10046-101-1,SB590885,50567-1,WM-115,0.0316,uM,48,hr,866,29,1.6898,1.5379,0.0335,0.0402,2
10046-101-1,SB590885,50567-1,WM-115,0.0316,uM,48,hr,592,31,1.1326,1.5379,0.0524,0.0402,3
10046-101-1,SB590885,50567-1,WM-115,0.0316,uM,48,hr,747,29,1.4496,1.5379,0.0388,0.0402,4
10046-101-1,SB590885,50567-1,WM-115,0.0316,uM,72,hr,2824,103,0.8976,0.8889,0.0365,0.0346,1
10046-101-1,SB590885,50567-1,WM-115,0.0316,uM,72,hr,2766,94,0.8814,0.8889,0.0340,0.0346,2
10046-101-1,SB590885,50567-1,WM-115,0.0316,uM,72,hr,2744,91,0.8751,0.8889,0.0332,0.0346,3
10046-101-1,SB590885,50567-1,WM-115,0.0316,uM,72,hr,2831,98,0.9015,0.8889,0.0346,0.0346,4
10046-101-1,SB590885,50567-1,WM-115,0.1000,uM,24,hr,608,36,1.0924,1.3994,0.0592,0.0473,1
10046-101-1,SB590885,50567-1,WM-115,0.1000,uM,24,hr,646,29,1.1784,1.3994,0.0449,0.0473,2
10046-101-1,SB590885,50567-1,WM-115,0.1000,uM,24,hr,784,34,1.4324,1.3994,0.0434,0.0473,3
10046-101-1,SB590885,50567-1,WM-115,0.1000,uM,24,hr,1035,43,1.8946,1.3994,0.0415,0.0473,4
10046-101-1,SB590885,50567-1,WM-115,0.1000,uM,48,hr,838,33,1.6252,1.4415,0.0394,0.0491,1
10046-101-1,SB590885,50567-1,WM-115,0.1000,uM,48,hr,834,43,1.5969,1.4415,0.0516,0.0491,2
10046-101-1,SB590885,50567-1,WM-115,0.1000,uM,48,hr,527,26,1.0115,1.4415,0.0493,0.0491,3
10046-101-1,SB590885,50567-1,WM-115,0.1000,uM,48,hr,804,45,1.5323,1.4415,0.0560,0.0491,4
10046-101-1,SB590885,50567-1,WM-115,0.1000,uM,72,hr,2351,97,0.7435,0.7729,0.0413,0.0452,1
10046-101-1,SB590885,50567-1,WM-115,0.1000,uM,72,hr,2367,85,0.7528,0.7729,0.0359,0.0452,2
10046-101-1,SB590885,50567-1,WM-115,0.1000,uM,72,hr,2512,128,0.7864,0.7729,0.0510,0.0452,3
10046-101-1,SB590885,50567-1,WM-115,0.1000,uM,72,hr,2588,136,0.8088,0.7729,0.0526,0.0452,4
10046-101-1,SB590885,50567-1,WM-115,0.3160,uM,24,hr,548,24,1.0008,1.3541,0.0438,0.0461,1
10046-101-1,SB590885,50567-1,WM-115,0.3160,uM,24,hr,726,40,1.3102,1.3541,0.0551,0.0461,2
10046-101-1,SB590885,50567-1,WM-115,0.3160,uM,24,hr,808,30,1.4859,1.3541,0.0371,0.0461,3
10046-101-1,SB590885,50567-1,WM-115,0.3160,uM,24,hr,891,43,1.6196,1.3541,0.0483,0.0461,4
10046-101-1,SB590885,50567-1,WM-115,0.3160,uM,48,hr,865,50,1.6454,1.4198,0.0578,0.0688,1
10046-101-1,SB590885,50567-1,WM-115,0.3160,uM,48,hr,818,42,1.5667,1.4198,0.0513,0.0688,2
10046-101-1,SB590885,50567-1,WM-115,0.3160,uM,48,hr,569,46,1.0559,1.4198,0.0808,0.0688,3
10046-101-1,SB590885,50567-1,WM-115,0.3160,uM,48,hr,764,65,1.4112,1.4198,0.0851,0.0688,4
10046-101-1,SB590885,50567-1,WM-115,0.3160,uM,72,hr,2067,164,0.6277,0.6835,0.0793,0.0689,1
10046-101-1,SB590885,50567-1,WM-115,0.3160,uM,72,hr,2101,99,0.6604,0.6835,0.0471,0.0689,2
10046-101-1,SB590885,50567-1,WM-115,0.3160,uM,72,hr,2314,157,0.7115,0.6835,0.0678,0.0689,3
10046-101-1,SB590885,50567-1,WM-115,0.3160,uM,72,hr,2423,197,0.7343,0.6835,0.0813,0.0689,4
10046-101-1,SB590885,50567-1,WM-115,1.0000,uM,24,hr,649,74,1.0982,1.1516,0.1140,0.0874,1
10046-101-1,SB590885,50567-1,WM-115,1.0000,uM,24,hr,585,45,1.0313,1.1516,0.0769,0.0874,2
10046-101-1,SB590885,50567-1,WM-115,1.0000,uM,24,hr,759,50,1.3541,1.1516,0.0659,0.0874,3
10046-101-1,SB590885,50567-1,WM-115,1.0000,uM,24,hr,648,60,1.1230,1.1516,0.0926,0.0874,4
10046-101-1,SB590885,50567-1,WM-115,1.0000,uM,48,hr,598,51,1.1043,0.9721,0.0853,0.1007,1
10046-101-1,SB590885,50567-1,WM-115,1.0000,uM,48,hr,544,47,1.0034,0.9721,0.0864,0.1007,2
10046-101-1,SB590885,50567-1,WM-115,1.0000,uM,48,hr,422,57,0.7369,0.9721,0.1351,0.1007,3
10046-101-1,SB590885,50567-1,WM-115,1.0000,uM,48,hr,572,55,1.0438,0.9721,0.0962,0.1007,4
10046-101-1,SB590885,50567-1,WM-115,1.0000,uM,72,hr,1953,316,0.5400,0.5839,0.1618,0.1444,1
10046-101-1,SB590885,50567-1,WM-115,1.0000,uM,72,hr,1871,283,0.5238,0.5839,0.1513,0.1444,2
10046-101-1,SB590885,50567-1,WM-115,1.0000,uM,72,hr,2281,330,0.6436,0.5839,0.1447,0.1444,3
10046-101-1,SB590885,50567-1,WM-115,1.0000,uM,72,hr,2163,259,0.6281,0.5839,0.1197,0.1444,4
10046-101-1,SB590885,50567-1,WM-115,3.1600,uM,24,hr,723,92,1.2051,1.2839,0.1273,0.0958,1
10046-101-1,SB590885,50567-1,WM-115,3.1600,uM,24,hr,669,78,1.1287,1.2839,0.1166,0.0958,2
10046-101-1,SB590885,50567-1,WM-115,3.1600,uM,24,hr,874,62,1.5508,1.2839,0.0709,0.0958,3
10046-101-1,SB590885,50567-1,WM-115,3.1600,uM,24,hr,703,48,1.2510,1.2839,0.0683,0.0958,4
10046-101-1,SB590885,50567-1,WM-115,3.1600,uM,48,hr,507,59,0.9045,0.6829,0.1164,0.1306,1
10046-101-1,SB590885,50567-1,WM-115,3.1600,uM,48,hr,456,58,0.8035,0.6829,0.1272,0.1306,2
10046-101-1,SB590885,50567-1,WM-115,3.1600,uM,48,hr,266,42,0.4522,0.6829,0.1579,0.1306,3
10046-101-1,SB590885,50567-1,WM-115,3.1600,uM,48,hr,322,39,0.5713,0.6829,0.1211,0.1306,4
10046-101-1,SB590885,50567-1,WM-115,3.1600,uM,72,hr,1981,349,0.5383,0.5728,0.1762,0.1576,1
10046-101-1,SB590885,50567-1,WM-115,3.1600,uM,72,hr,1850,286,0.5159,0.5728,0.1546,0.1576,2
10046-101-1,SB590885,50567-1,WM-115,3.1600,uM,72,hr,2178,349,0.6033,0.5728,0.1602,0.1576,3
10046-101-1,SB590885,50567-1,WM-115,3.1600,uM,72,hr,2232,311,0.6337,0.5728,0.1393,0.1576,4
10049-101-1,PLX-4720,50567-1,WM-115,0.0032,uM,24,hr,677,28,1.2395,1.1430,0.0414,0.0488,1
10049-101-1,PLX-4720,50567-1,WM-115,0.0032,uM,24,hr,624,27,1.1402,1.1430,0.0433,0.0488,2
10049-101-1,PLX-4720,50567-1,WM-115,0.0032,uM,24,hr,533,27,0.9664,1.1430,0.0507,0.0488,3
10049-101-1,PLX-4720,50567-1,WM-115,0.0032,uM,24,hr,683,41,1.2261,1.1430,0.0600,0.0488,4
10049-101-1,PLX-4720,50567-1,WM-115,0.0032,uM,48,hr,933,35,1.8130,1.2547,0.0375,0.0421,1
10049-101-1,PLX-4720,50567-1,WM-115,0.0032,uM,48,hr,910,31,1.7746,1.2547,0.0341,0.0421,2
10049-101-1,PLX-4720,50567-1,WM-115,0.0032,uM,48,hr,355,18,0.6804,1.2547,0.0507,0.0421,3
