Small Molecule HMS LINCS ID,Small Molecule Name,Cell Line HMS LINCS ID,Cell Line Name,Drug Concentration,Conc Unit,Time Point,Time Point Unit,Total Number of Cells (Nuclei),Number of Apoptotic Cells,Relative Viability,Mean Relative Viability,Apoptosis Fraction,Mean Apoptosis Fraction,Replicate
10068-101-1,Vemurafenib,50112-1,C32,0.0032,uM,72,hr,2388,172,0.9675,1.0406,0.0720,0.0761,1
10068-101-1,Vemurafenib,50112-1,C32,0.0032,uM,72,hr,2310,172,0.9335,1.0406,0.0745,0.0761,2
10068-101-1,Vemurafenib,50112-1,C32,0.0032,uM,72,hr,2987,190,1.2212,1.0406,0.0636,0.0761,3
10068-101-1,Vemurafenib,50112-1,C32,0.0032,uM,72,hr,2631,248,1.0404,1.0406,0.0943,0.0761,4
10068-101-1,Vemurafenib,50112-1,C32,0.0100,uM,24,hr,1944,298,0.9517,0.9946,0.1533,0.1387,1
10068-101-1,Vemurafenib,50112-1,C32,0.0100,uM,24,hr,1920,301,0.9360,0.9946,0.1568,0.1387,2
10068-101-1,Vemurafenib,50112-1,C32,0.0100,uM,24,hr,2002,267,1.0031,0.9946,0.1334,0.1387,3
10068-101-1,Vemurafenib,50112-1,C32,0.0100,uM,24,hr,2117,236,1.0875,0.9946,0.1115,0.1387,4
10068-101-1,Vemurafenib,50112-1,C32,0.0100,uM,48,hr,2050,364,0.8204,0.9013,0.1776,0.1730,1
10068-101-1,Vemurafenib,50112-1,C32,0.0100,uM,48,hr,1745,350,0.6788,0.9013,0.2006,0.1730,2
10068-101-1,Vemurafenib,50112-1,C32,0.0100,uM,48,hr,2712,412,1.1191,0.9013,0.1519,0.1730,3
10068-101-1,Vemurafenib,50112-1,C32,0.0100,uM,48,hr,2420,392,0.9868,0.9013,0.1620,0.1730,4
10068-101-1,Vemurafenib,50112-1,C32,0.0100,uM,72,hr,2574,221,1.0273,1.0714,0.0859,0.0907,1
10068-101-1,Vemurafenib,50112-1,C32,0.0100,uM,72,hr,2619,251,1.0339,1.0714,0.0958,0.0907,2
